trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,bb,20,4307.000000,215.350000,deeplstm,20,4290.000000,214.50
2,bb,20,4648.000000,232.400000,deeplstm,20,4599.000000,229.95
3,bb,20,4953.000000,247.650000,deeplstm,20,4098.000000,204.90
4,bb,20,5190.000000,259.500000,deeplstm,20,5155.000000,257.75
5,bb,20,6960.000000,348.000000,deeplstm,20,2304.000000,115.20
6,bb,20,3997.000000,199.850000,deeplstm,20,5891.000000,294.55
7,bb,20,4021.000000,201.050000,deeplstm,20,4169.000000,208.45
8,bb,20,4390.000000,219.500000,deeplstm,20,3281.000000,164.05
9,bb,20,4837.000000,241.850000,deeplstm,20,4912.000000,245.60
10,bb,20,5252.000000,262.600000,deeplstm,20,2060.000000,103.00
11,bb,20,4265.000000,213.250000,deeplstm,20,4714.000000,235.70
12,bb,20,5214.000000,260.700000,deeplstm,20,3141.000000,157.05
13,bb,20,4228.000000,211.400000,deeplstm,20,3545.000000,177.25
14,bb,20,4104.000000,205.200000,deeplstm,20,4340.000000,217.00
15,bb,20,4310.000000,215.500000,deeplstm,20,4344.000000,217.20
16,bb,20,5234.000000,261.700000,deeplstm,20,3816.000000,190.80
17,bb,20,5266.000000,263.300000,deeplstm,20,2148.000000,107.40
18,bb,20,4740.000000,237.000000,deeplstm,20,4691.000000,234.55
19,bb,20,4989.000000,249.450000,deeplstm,20,4584.000000,229.20
20,bb,20,6711.000000,335.550000,deeplstm,20,4549.000000,227.45
21,bb,20,4519.000000,225.950000,deeplstm,20,2975.000000,148.75
22,bb,20,4229.000000,211.450000,deeplstm,20,4115.000000,205.75
23,bb,20,3958.000000,197.900000,deeplstm,20,4210.000000,210.50
24,bb,20,6121.000000,306.050000,deeplstm,20,2905.000000,145.25
25,bb,20,4599.000000,229.950000,deeplstm,20,2693.000000,134.65
26,bb,20,6116.000000,305.800000,deeplstm,20,2946.000000,147.30
27,bb,20,4862.000000,243.100000,deeplstm,20,5014.000000,250.70
28,bb,20,5205.000000,260.250000,deeplstm,20,4031.000000,201.55
29,bb,20,3722.000000,186.100000,deeplstm,20,4785.000000,239.25
30,bb,20,5197.000000,259.850000,deeplstm,20,2888.000000,144.40
31,bb,20,4605.000000,230.250000,deeplstm,20,5532.000000,276.60
32,bb,20,5307.000000,265.350000,deeplstm,20,3401.000000,170.05
33,bb,20,5269.000000,263.450000,deeplstm,20,3889.000000,194.45
34,bb,20,5057.000000,252.850000,deeplstm,20,4131.000000,206.55
35,bb,20,3969.000000,198.450000,deeplstm,20,3841.000000,192.05
36,bb,20,3483.000000,174.150000,deeplstm,20,4860.000000,243.00
37,bb,20,3899.000000,194.950000,deeplstm,20,3244.000000,162.20
38,bb,20,6832.000000,341.600000,deeplstm,20,3273.000000,163.65
39,bb,20,5002.000000,250.100000,deeplstm,20,3696.000000,184.80
40,bb,20,4613.000000,230.650000,deeplstm,20,1914.000000,95.70
41,bb,20,3986.000000,199.300000,deeplstm,20,4484.000000,224.20
42,bb,20,4121.000000,206.050000,deeplstm,20,6318.000000,315.90
43,bb,20,5035.000000,251.750000,deeplstm,20,4522.000000,226.10
44,bb,20,6215.000000,310.750000,deeplstm,20,5358.000000,267.90
45,bb,20,6535.000000,326.750000,deeplstm,20,3026.000000,151.30
46,bb,20,3875.000000,193.750000,deeplstm,20,4933.000000,246.65
47,bb,20,3960.000000,198.000000,deeplstm,20,4012.000000,200.60
48,bb,20,4568.000000,228.400000,deeplstm,20,5170.000000,258.50
49,bb,20,4744.000000,237.200000,deeplstm,20,1968.000000,98.40
50,bb,20,4747.000000,237.350000,deeplstm,20,2180.000000,109.00
51,bb,20,5678.000000,283.900000,deeplstm,20,3467.000000,173.35
52,bb,20,5543.000000,277.150000,deeplstm,20,1804.000000,90.20
53,bb,20,3973.000000,198.650000,deeplstm,20,2423.000000,121.15
54,bb,20,3826.000000,191.300000,deeplstm,20,3675.000000,183.75
55,bb,20,4730.000000,236.500000,deeplstm,20,3601.000000,180.05
56,bb,20,4277.000000,213.850000,deeplstm,20,4773.000000,238.65
57,bb,20,4751.000000,237.550000,deeplstm,20,5056.000000,252.80
58,bb,20,3872.000000,193.600000,deeplstm,20,3236.000000,161.80
59,bb,20,3292.000000,164.600000,deeplstm,20,3926.000000,196.30
60,bb,20,5713.000000,285.650000,deeplstm,20,3567.000000,178.35
61,bb,20,6540.000000,327.000000,deeplstm,20,4315.000000,215.75
62,bb,20,7353.000000,367.650000,deeplstm,20,4089.000000,204.45
63,bb,20,5059.000000,252.950000,deeplstm,20,4721.000000,236.05
64,bb,20,3890.000000,194.500000,deeplstm,20,3060.000000,153.00
65,bb,20,5275.000000,263.750000,deeplstm,20,5800.000000,290.00
66,bb,20,4074.000000,203.700000,deeplstm,20,4118.000000,205.90
67,bb,20,3845.000000,192.250000,deeplstm,20,5260.000000,263.00
68,bb,20,5866.000000,293.300000,deeplstm,20,1792.000000,89.60
69,bb,20,3930.000000,196.500000,deeplstm,20,3487.000000,174.35
70,bb,20,4621.000000,231.050000,deeplstm,20,4844.000000,242.20
71,bb,20,4032.000000,201.600000,deeplstm,20,4593.000000,229.65
72,bb,20,3557.000000,177.850000,deeplstm,20,5202.000000,260.10
73,bb,20,5552.000000,277.600000,deeplstm,20,4339.000000,216.95
74,bb,20,4960.000000,248.000000,deeplstm,20,5426.000000,271.30
75,bb,20,4659.000000,232.950000,deeplstm,20,3981.000000,199.05
76,bb,20,4702.000000,235.100000,deeplstm,20,6762.000000,338.10
77,bb,20,6318.000000,315.900000,deeplstm,20,1602.000000,80.10
78,bb,20,3643.000000,182.150000,deeplstm,20,4831.000000,241.55
79,bb,20,6132.000000,306.600000,deeplstm,20,2606.000000,130.30
80,bb,20,4374.000000,218.700000,deeplstm,20,4175.000000,208.75
81,bb,20,5128.000000,256.400000,deeplstm,20,2439.000000,121.95
82,bb,20,4325.000000,216.250000,deeplstm,20,5791.000000,289.55
83,bb,20,4165.000000,208.250000,deeplstm,20,4119.000000,205.95
84,bb,20,4549.000000,227.450000,deeplstm,20,3716.000000,185.80
85,bb,20,4756.000000,237.800000,deeplstm,20,4934.000000,246.70
86,bb,20,4839.000000,241.950000,deeplstm,20,2100.000000,105.00
87,bb,20,4414.000000,220.700000,deeplstm,20,2590.000000,129.50
88,bb,20,4596.000000,229.800000,deeplstm,20,3080.000000,154.00
89,bb,20,3399.000000,169.950000,deeplstm,20,2612.000000,130.60
90,bb,20,6122.000000,306.100000,deeplstm,20,3566.000000,178.30
91,bb,20,4790.000000,239.500000,deeplstm,20,4246.000000,212.30
92,bb,20,4949.000000,247.450000,deeplstm,20,4812.000000,240.60
93,bb,20,3960.000000,198.000000,deeplstm,20,5183.000000,259.15
94,bb,20,4308.000000,215.400000,deeplstm,20,3879.000000,193.95
