trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,bb,20,4605.000000,230.250000,deepxgb,20,3805.000000,190.25
2,bb,20,4856.000000,242.800000,deepxgb,20,5980.000000,299.00
3,bb,20,3030.000000,151.500000,deepxgb,20,4657.000000,232.85
4,bb,20,3786.000000,189.300000,deepxgb,20,3826.000000,191.30
5,bb,20,4176.000000,208.800000,deepxgb,20,6521.000000,326.05
6,bb,20,5360.000000,268.000000,deepxgb,20,4276.000000,213.80
7,bb,20,5211.000000,260.550000,deepxgb,20,3308.000000,165.40
8,bb,20,5680.000000,284.000000,deepxgb,20,4950.000000,247.50
9,bb,20,6247.000000,312.350000,deepxgb,20,6894.000000,344.70
10,bb,20,5796.000000,289.800000,deepxgb,20,5997.000000,299.85
11,bb,20,3920.000000,196.000000,deepxgb,20,3955.000000,197.75
12,bb,20,3341.000000,167.050000,deepxgb,20,5228.000000,261.40
13,bb,20,4012.000000,200.600000,deepxgb,20,3964.000000,198.20
14,bb,20,5303.000000,265.150000,deepxgb,20,6144.000000,307.20
15,bb,20,4210.000000,210.500000,deepxgb,20,5157.000000,257.85
16,bb,20,4751.000000,237.550000,deepxgb,20,5306.000000,265.30
17,bb,20,5259.000000,262.950000,deepxgb,20,5352.000000,267.60
18,bb,20,4512.000000,225.600000,deepxgb,20,6699.000000,334.95
19,bb,20,4262.000000,213.100000,deepxgb,20,4470.000000,223.50
20,bb,20,3929.000000,196.450000,deepxgb,20,5102.000000,255.10
21,bb,20,4924.000000,246.200000,deepxgb,20,6423.000000,321.15
22,bb,20,4335.000000,216.750000,deepxgb,20,5026.000000,251.30
23,bb,20,4751.000000,237.550000,deepxgb,20,2369.000000,118.45
24,bb,20,4543.000000,227.150000,deepxgb,20,5534.000000,276.70
25,bb,20,4041.000000,202.050000,deepxgb,20,4458.000000,222.90
26,bb,20,3375.000000,168.750000,deepxgb,20,5189.000000,259.45
27,bb,20,4908.000000,245.400000,deepxgb,20,6824.000000,341.20
28,bb,20,5175.000000,258.750000,deepxgb,20,6324.000000,316.20
29,bb,20,4007.000000,200.350000,deepxgb,20,5408.000000,270.40
30,bb,20,3448.000000,172.400000,deepxgb,20,4018.000000,200.90
31,bb,20,4197.000000,209.850000,deepxgb,20,4019.000000,200.95
32,bb,20,5310.000000,265.500000,deepxgb,20,3454.000000,172.70
33,bb,20,4287.000000,214.350000,deepxgb,20,4589.000000,229.45
34,bb,20,4810.000000,240.500000,deepxgb,20,3654.000000,182.70
35,bb,20,3813.000000,190.650000,deepxgb,20,4479.000000,223.95
36,bb,20,5265.000000,263.250000,deepxgb,20,4464.000000,223.20
37,bb,20,6318.000000,315.900000,deepxgb,20,2399.000000,119.95
38,bb,20,4763.000000,238.150000,deepxgb,20,2667.000000,133.35
39,bb,20,5800.000000,290.000000,deepxgb,20,5550.000000,277.50
40,bb,20,3046.000000,152.300000,deepxgb,20,4890.000000,244.50
41,bb,20,5233.000000,261.650000,deepxgb,20,2795.000000,139.75
42,bb,20,3143.000000,157.150000,deepxgb,20,5375.000000,268.75
