trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,macd,20,3036.000000,151.800000,deeplstm,20,4336.000000,216.80
2,macd,20,3928.000000,196.400000,deeplstm,20,1426.000000,71.30
3,macd,20,2802.000000,140.100000,deeplstm,20,4387.000000,219.35
4,macd,20,3525.000000,176.250000,deeplstm,20,1702.000000,85.10
5,macd,20,5548.000000,277.400000,deeplstm,20,2211.000000,110.55
6,macd,20,4661.000000,233.050000,deeplstm,20,2554.000000,127.70
7,macd,20,5326.000000,266.300000,deeplstm,20,2362.000000,118.10
8,macd,20,4542.000000,227.100000,deeplstm,20,3409.000000,170.45
9,macd,20,4547.000000,227.350000,deeplstm,20,5378.000000,268.90
10,macd,20,5462.000000,273.100000,deeplstm,20,3318.000000,165.90
11,macd,20,5657.000000,282.850000,deeplstm,20,3472.000000,173.60
12,macd,20,4601.000000,230.050000,deeplstm,20,2756.000000,137.80
13,macd,20,3739.000000,186.950000,deeplstm,20,4272.000000,213.60
14,macd,20,6373.000000,318.650000,deeplstm,20,5762.000000,288.10
15,macd,20,3803.000000,190.150000,deeplstm,20,2437.000000,121.85
16,macd,20,4386.000000,219.300000,deeplstm,20,4154.000000,207.70
17,macd,20,5603.000000,280.150000,deeplstm,20,3062.000000,153.10
18,macd,20,3359.000000,167.950000,deeplstm,20,4315.000000,215.75
19,macd,20,5536.000000,276.800000,deeplstm,20,5880.000000,294.00
20,macd,20,4326.000000,216.300000,deeplstm,20,3405.000000,170.25
21,macd,20,5635.000000,281.750000,deeplstm,20,3357.000000,167.85
22,macd,20,5200.000000,260.000000,deeplstm,20,2234.000000,111.70
23,macd,20,4649.000000,232.450000,deeplstm,20,5629.000000,281.45
24,macd,20,6064.000000,303.200000,deeplstm,20,3957.000000,197.85
25,macd,20,3922.000000,196.100000,deeplstm,20,5142.000000,257.10
26,macd,20,4655.000000,232.750000,deeplstm,20,5674.000000,283.70
27,macd,20,4747.000000,237.350000,deeplstm,20,6484.000000,324.20
28,macd,20,4207.000000,210.350000,deeplstm,20,5307.000000,265.35
29,macd,20,5210.000000,260.500000,deeplstm,20,4043.000000,202.15
30,macd,20,5234.000000,261.700000,deeplstm,20,4813.000000,240.65
31,macd,20,3781.000000,189.050000,deeplstm,20,5320.000000,266.00
32,macd,20,4477.000000,223.850000,deeplstm,20,5629.000000,281.45
33,macd,20,4846.000000,242.300000,deeplstm,20,5348.000000,267.40
34,macd,20,6392.000000,319.600000,deeplstm,20,5330.000000,266.50
35,macd,20,4623.000000,231.150000,deeplstm,20,3707.000000,185.35
36,macd,20,6266.000000,313.300000,deeplstm,20,3991.000000,199.55
37,macd,20,4637.000000,231.850000,deeplstm,20,4481.000000,224.05
38,macd,20,4826.000000,241.300000,deeplstm,20,2848.000000,142.40
39,macd,20,6625.000000,331.250000,deeplstm,20,5277.000000,263.85
40,macd,20,5483.000000,274.150000,deeplstm,20,5551.000000,277.55
41,macd,20,6702.000000,335.100000,deeplstm,20,2879.000000,143.95
42,macd,20,5713.000000,285.650000,deeplstm,20,4547.000000,227.35
43,macd,20,6761.000000,338.050000,deeplstm,20,5995.000000,299.75
44,macd,20,6661.000000,333.050000,deeplstm,20,2719.000000,135.95
45,macd,20,5151.000000,257.550000,deeplstm,20,5807.000000,290.35
46,macd,20,5184.000000,259.200000,deeplstm,20,5349.000000,267.45
47,macd,20,4181.000000,209.050000,deeplstm,20,5570.000000,278.50
48,macd,20,3729.000000,186.450000,deeplstm,20,3751.000000,187.55
49,macd,20,4661.000000,233.050000,deeplstm,20,6243.000000,312.15
50,macd,20,5362.000000,268.100000,deeplstm,20,5441.000000,272.05
51,macd,20,4434.000000,221.700000,deeplstm,20,4591.000000,229.55
52,macd,20,4880.000000,244.000000,deeplstm,20,5904.000000,295.20
53,macd,20,5048.000000,252.400000,deeplstm,20,4986.000000,249.30
54,macd,20,5497.000000,274.850000,deeplstm,20,3454.000000,172.70
55,macd,20,5283.000000,264.150000,deeplstm,20,3490.000000,174.50
56,macd,20,5200.000000,260.000000,deeplstm,20,2027.000000,101.35
57,macd,20,5574.000000,278.700000,deeplstm,20,5233.000000,261.65
58,macd,20,4624.000000,231.200000,deeplstm,20,6057.000000,302.85
59,macd,20,3856.000000,192.800000,deeplstm,20,3319.000000,165.95
60,macd,20,5176.000000,258.800000,deeplstm,20,5616.000000,280.80
61,macd,20,4044.000000,202.200000,deeplstm,20,4720.000000,236.00
62,macd,20,3861.000000,193.050000,deeplstm,20,5811.000000,290.55
63,macd,20,5210.000000,260.500000,deeplstm,20,1659.000000,82.95
64,macd,20,6090.000000,304.500000,deeplstm,20,4968.000000,248.40
65,macd,20,5472.000000,273.600000,deeplstm,20,5952.000000,297.60
66,macd,20,5526.000000,276.300000,deeplstm,20,4987.000000,249.35
67,macd,20,5328.000000,266.400000,deeplstm,20,4418.000000,220.90
68,macd,20,5218.000000,260.900000,deeplstm,20,4984.000000,249.20
69,macd,20,5758.000000,287.900000,deeplstm,20,5693.000000,284.65
70,macd,20,6112.000000,305.600000,deeplstm,20,3316.000000,165.80
71,macd,20,7051.000000,352.550000,deeplstm,20,2407.000000,120.35
72,macd,20,3829.000000,191.450000,deeplstm,20,3845.000000,192.25
73,macd,20,4414.000000,220.700000,deeplstm,20,4635.000000,231.75
74,macd,20,4367.000000,218.350000,deeplstm,20,2574.000000,128.70
75,macd,20,3797.000000,189.850000,deeplstm,20,3814.000000,190.70
76,macd,20,4080.000000,204.000000,deeplstm,20,5441.000000,272.05
77,macd,20,5722.000000,286.100000,deeplstm,20,3199.000000,159.95
78,macd,20,4376.000000,218.800000,deeplstm,20,4892.000000,244.60
79,macd,20,3807.000000,190.350000,deeplstm,20,4721.000000,236.05
80,macd,20,3863.000000,193.150000,deeplstm,20,3914.000000,195.70
81,macd,20,5409.000000,270.450000,deeplstm,20,2996.000000,149.80
82,macd,20,4463.000000,223.150000,deeplstm,20,3641.000000,182.05
83,macd,20,4927.000000,246.350000,deeplstm,20,5512.000000,275.60
84,macd,20,4638.000000,231.900000,deeplstm,20,4876.000000,243.80
85,macd,20,3609.000000,180.450000,deeplstm,20,2919.000000,145.95
86,macd,20,4599.000000,229.950000,deeplstm,20,4411.000000,220.55
87,macd,20,7275.000000,363.750000,deeplstm,20,5202.000000,260.10
88,macd,20,5646.000000,282.300000,deeplstm,20,3187.000000,159.35
89,macd,20,5857.000000,292.850000,deeplstm,20,4026.000000,201.30
90,macd,20,4843.000000,242.150000,deeplstm,20,3652.000000,182.60
91,macd,20,4740.000000,237.000000,deeplstm,20,2039.000000,101.95
92,macd,20,7047.000000,352.350000,deeplstm,20,4944.000000,247.20
93,macd,20,4853.000000,242.650000,deeplstm,20,3478.000000,173.90
94,macd,20,4607.000000,230.350000,deeplstm,20,5621.000000,281.05
95,macd,20,3556.000000,177.800000,deeplstm,20,3520.000000,176.00
96,macd,20,3091.000000,154.550000,deeplstm,20,5401.000000,270.05
97,macd,20,2999.000000,149.950000,deeplstm,20,4812.000000,240.60
98,macd,20,6173.000000,308.650000,deeplstm,20,3611.000000,180.55
99,macd,20,6499.000000,324.950000,deeplstm,20,6000.000000,300.00
100,macd,20,5346.000000,267.300000,deeplstm,20,5895.000000,294.75
101,macd,20,5987.000000,299.350000,deeplstm,20,4636.000000,231.80
