trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,macd,20,5006.000000,250.300000,deepxgb,20,1276.000000,63.80
2,macd,20,4031.000000,201.550000,deepxgb,20,3127.000000,156.35
3,macd,20,5602.000000,280.100000,deepxgb,20,5538.000000,276.90
4,macd,20,5496.000000,274.800000,deepxgb,20,4823.000000,241.15
5,macd,20,4342.000000,217.100000,deepxgb,20,4601.000000,230.05
6,macd,20,3712.000000,185.600000,deepxgb,20,4013.000000,200.65
7,macd,20,5026.000000,251.300000,deepxgb,20,4947.000000,247.35
8,macd,20,4550.000000,227.500000,deepxgb,20,7052.000000,352.60
9,macd,20,4613.000000,230.650000,deepxgb,20,2625.000000,131.25
10,macd,20,5356.000000,267.800000,deepxgb,20,3097.000000,154.85
11,macd,20,3948.000000,197.400000,deepxgb,20,4092.000000,204.60
12,macd,20,3902.000000,195.100000,deepxgb,20,3806.000000,190.30
13,macd,20,4874.000000,243.700000,deepxgb,20,6343.000000,317.15
14,macd,20,4340.000000,217.000000,deepxgb,20,4123.000000,206.15
15,macd,20,5127.000000,256.350000,deepxgb,20,1486.000000,74.30
16,macd,20,4126.000000,206.300000,deepxgb,20,4618.000000,230.90
17,macd,20,3722.000000,186.100000,deepxgb,20,2095.000000,104.75
18,macd,20,4564.000000,228.200000,deepxgb,20,3510.000000,175.50
19,macd,20,5255.000000,262.750000,deepxgb,20,4444.000000,222.20
20,macd,20,3659.000000,182.950000,deepxgb,20,5362.000000,268.10
21,macd,20,2886.000000,144.300000,deepxgb,20,4987.000000,249.35
22,macd,20,3769.000000,188.450000,deepxgb,20,4040.000000,202.00
23,macd,20,5263.000000,263.150000,deepxgb,20,1716.000000,85.80
24,macd,20,4015.000000,200.750000,deepxgb,20,4176.000000,208.80
25,macd,20,6061.000000,303.050000,deepxgb,20,5208.000000,260.40
26,macd,20,4341.000000,217.050000,deepxgb,20,3694.000000,184.70
27,macd,20,4499.000000,224.950000,deepxgb,20,6892.000000,344.60
28,macd,20,3874.000000,193.700000,deepxgb,20,4337.000000,216.85
29,macd,20,4485.000000,224.250000,deepxgb,20,4464.000000,223.20
30,macd,20,5259.000000,262.950000,deepxgb,20,4344.000000,217.20
31,macd,20,4593.000000,229.650000,deepxgb,20,6188.000000,309.40
32,macd,20,3765.000000,188.250000,deepxgb,20,4241.000000,212.05
33,macd,20,3686.000000,184.300000,deepxgb,20,5021.000000,251.05
34,macd,20,4060.000000,203.000000,deepxgb,20,4763.000000,238.15
35,macd,20,4074.000000,203.700000,deepxgb,20,4747.000000,237.35
36,macd,20,3205.000000,160.250000,deepxgb,20,4284.000000,214.20
37,macd,20,3402.000000,170.100000,deepxgb,20,4684.000000,234.20
38,macd,20,4759.000000,237.950000,deepxgb,20,3019.000000,150.95
