trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvd,20,7068.000000,353.400000,deeplstm,20,3373.000000,168.65
2,obvd,20,4114.000000,205.700000,deeplstm,20,3799.000000,189.95
3,obvd,20,5380.000000,269.000000,deeplstm,20,5983.000000,299.15
4,obvd,20,6233.000000,311.650000,deeplstm,20,5227.000000,261.35
5,obvd,20,6184.000000,309.200000,deeplstm,20,3569.000000,178.45
6,obvd,20,5790.000000,289.500000,deeplstm,20,3754.000000,187.70
7,obvd,20,7520.000000,376.000000,deeplstm,20,4838.000000,241.90
8,obvd,20,4808.000000,240.400000,deeplstm,20,4460.000000,223.00
9,obvd,20,4095.000000,204.750000,deeplstm,20,4490.000000,224.50
10,obvd,20,4874.000000,243.700000,deeplstm,20,5709.000000,285.45
11,obvd,20,6787.000000,339.350000,deeplstm,20,3500.000000,175.00
12,obvd,20,6010.000000,300.500000,deeplstm,20,4437.000000,221.85
13,obvd,20,4592.000000,229.600000,deeplstm,20,3435.000000,171.75
14,obvd,20,6137.000000,306.850000,deeplstm,20,5941.000000,297.05
15,obvd,20,5957.000000,297.850000,deeplstm,20,7271.000000,363.55
16,obvd,20,5006.000000,250.300000,deeplstm,20,6408.000000,320.40
17,obvd,20,5979.000000,298.950000,deeplstm,20,6663.000000,333.15
18,obvd,20,5818.000000,290.900000,deeplstm,20,6195.000000,309.75
19,obvd,20,6232.000000,311.600000,deeplstm,20,5020.000000,251.00
20,obvd,20,3525.000000,176.250000,deeplstm,20,4959.000000,247.95
21,obvd,20,7159.000000,357.950000,deeplstm,20,5123.000000,256.15
22,obvd,20,6241.000000,312.050000,deeplstm,20,3737.000000,186.85
23,obvd,20,5659.000000,282.950000,deeplstm,20,4462.000000,223.10
24,obvd,20,4754.000000,237.700000,deeplstm,20,4754.000000,237.70
25,obvd,20,5527.000000,276.350000,deeplstm,20,2419.000000,120.95
26,obvd,20,5427.000000,271.350000,deeplstm,20,7401.000000,370.05
27,obvd,20,4721.000000,236.050000,deeplstm,20,6270.000000,313.50
28,obvd,20,5813.000000,290.650000,deeplstm,20,5120.000000,256.00
29,obvd,20,4700.000000,235.000000,deeplstm,20,5992.000000,299.60
30,obvd,20,6191.000000,309.550000,deeplstm,20,4210.000000,210.50
31,obvd,20,4160.000000,208.000000,deeplstm,20,4830.000000,241.50
32,obvd,20,4606.000000,230.300000,deeplstm,20,4866.000000,243.30
33,obvd,20,5954.000000,297.700000,deeplstm,20,4886.000000,244.30
34,obvd,20,6050.000000,302.500000,deeplstm,20,6930.000000,346.50
35,obvd,20,3973.000000,198.650000,deeplstm,20,5085.000000,254.25
36,obvd,20,4324.000000,216.200000,deeplstm,20,7003.000000,350.15
37,obvd,20,4454.000000,222.700000,deeplstm,20,3841.000000,192.05
38,obvd,20,4326.000000,216.300000,deeplstm,20,5874.000000,293.70
39,obvd,20,4339.000000,216.950000,deeplstm,20,2640.000000,132.00
40,obvd,20,5357.000000,267.850000,deeplstm,20,5932.000000,296.60
41,obvd,20,5373.000000,268.650000,deeplstm,20,3901.000000,195.05
42,obvd,20,5059.000000,252.950000,deeplstm,20,4660.000000,233.00
43,obvd,20,5136.000000,256.800000,deeplstm,20,5821.000000,291.05
44,obvd,20,4234.000000,211.700000,deeplstm,20,7910.000000,395.50
45,obvd,20,5771.000000,288.550000,deeplstm,20,2676.000000,133.80
46,obvd,20,4803.000000,240.150000,deeplstm,20,4649.000000,232.45
47,obvd,20,5143.000000,257.150000,deeplstm,20,4771.000000,238.55
48,obvd,20,5974.000000,298.700000,deeplstm,20,6248.000000,312.40
49,obvd,20,5099.000000,254.950000,deeplstm,20,5505.000000,275.25
50,obvd,20,6226.000000,311.300000,deeplstm,20,2377.000000,118.85
51,obvd,20,4739.000000,236.950000,deeplstm,20,6109.000000,305.45
52,obvd,20,5700.000000,285.000000,deeplstm,20,6138.000000,306.90
53,obvd,20,4816.000000,240.800000,deeplstm,20,6907.000000,345.35
54,obvd,20,5664.000000,283.200000,deeplstm,20,6749.000000,337.45
55,obvd,20,4376.000000,218.800000,deeplstm,20,5866.000000,293.30
56,obvd,20,4496.000000,224.800000,deeplstm,20,4685.000000,234.25
57,obvd,20,5202.000000,260.100000,deeplstm,20,2755.000000,137.75
58,obvd,20,5225.000000,261.250000,deeplstm,20,7705.000000,385.25
59,obvd,20,4324.000000,216.200000,deeplstm,20,2644.000000,132.20
60,obvd,20,5706.000000,285.300000,deeplstm,20,4712.000000,235.60
61,obvd,20,4098.000000,204.900000,deeplstm,20,4477.000000,223.85
62,obvd,20,4896.000000,244.800000,deeplstm,20,7620.000000,381.00
63,obvd,20,5414.000000,270.700000,deeplstm,20,1976.000000,98.80
64,obvd,20,4058.000000,202.900000,deeplstm,20,4401.000000,220.05
65,obvd,20,5225.000000,261.250000,deeplstm,20,6417.000000,320.85
66,obvd,20,4990.000000,249.500000,deeplstm,20,3330.000000,166.50
67,obvd,20,4356.000000,217.800000,deeplstm,20,3073.000000,153.65
68,obvd,20,4117.000000,205.850000,deeplstm,20,6379.000000,318.95
69,obvd,20,5558.000000,277.900000,deeplstm,20,4572.000000,228.60
70,obvd,20,4465.000000,223.250000,deeplstm,20,6121.000000,306.05
71,obvd,20,4836.000000,241.800000,deeplstm,20,3783.000000,189.15
72,obvd,20,4251.000000,212.550000,deeplstm,20,5270.000000,263.50
73,obvd,20,4888.000000,244.400000,deeplstm,20,5351.000000,267.55
74,obvd,20,3984.000000,199.200000,deeplstm,20,5845.000000,292.25
75,obvd,20,6571.000000,328.550000,deeplstm,20,4107.000000,205.35
76,obvd,20,7328.000000,366.400000,deeplstm,20,5861.000000,293.05
77,obvd,20,3944.000000,197.200000,deeplstm,20,5358.000000,267.90
78,obvd,20,5729.000000,286.450000,deeplstm,20,6809.000000,340.45
79,obvd,20,4256.000000,212.800000,deeplstm,20,3009.000000,150.45
80,obvd,20,4789.000000,239.450000,deeplstm,20,5192.000000,259.60
81,obvd,20,3939.000000,196.950000,deeplstm,20,4463.000000,223.15
82,obvd,20,7048.000000,352.400000,deeplstm,20,4571.000000,228.55
83,obvd,20,5239.000000,261.950000,deeplstm,20,4567.000000,228.35
84,obvd,20,4336.000000,216.800000,deeplstm,20,6358.000000,317.90
85,obvd,20,5707.000000,285.350000,deeplstm,20,5688.000000,284.40
86,obvd,20,5235.000000,261.750000,deeplstm,20,6012.000000,300.60
87,obvd,20,7107.000000,355.350000,deeplstm,20,4836.000000,241.80
88,obvd,20,5069.000000,253.450000,deeplstm,20,6020.000000,301.00
89,obvd,20,4602.000000,230.100000,deeplstm,20,3096.000000,154.80
90,obvd,20,6160.000000,308.000000,deeplstm,20,4036.000000,201.80
91,obvd,20,3935.000000,196.750000,deeplstm,20,5749.000000,287.45
92,obvd,20,4334.000000,216.700000,deeplstm,20,4914.000000,245.70
93,obvd,20,5460.000000,273.000000,deeplstm,20,4149.000000,207.45
94,obvd,20,5321.000000,266.050000,deeplstm,20,3163.000000,158.15
95,obvd,20,4817.000000,240.850000,deeplstm,20,6278.000000,313.90
96,obvd,20,5532.000000,276.600000,deeplstm,20,6542.000000,327.10
97,obvd,20,5273.000000,263.650000,deeplstm,20,6904.000000,345.20
98,obvd,20,4310.000000,215.500000,deeplstm,20,5762.000000,288.10
99,obvd,20,5196.000000,259.800000,deeplstm,20,4293.000000,214.65
100,obvd,20,5307.000000,265.350000,deeplstm,20,6305.000000,315.25
101,obvd,20,4002.000000,200.100000,deeplstm,20,6593.000000,329.65
102,obvd,20,3643.000000,182.150000,deeplstm,20,3893.000000,194.65
103,obvd,20,6496.000000,324.800000,deeplstm,20,5621.000000,281.05
104,obvd,20,4699.000000,234.950000,deeplstm,20,4228.000000,211.40
105,obvd,20,4101.000000,205.050000,deeplstm,20,5541.000000,277.05
106,obvd,20,4081.000000,204.050000,deeplstm,20,4444.000000,222.20
107,obvd,20,5819.000000,290.950000,deeplstm,20,3250.000000,162.50
108,obvd,20,5514.000000,275.700000,deeplstm,20,6728.000000,336.40
109,obvd,20,5634.000000,281.700000,deeplstm,20,3184.000000,159.20
110,obvd,20,6187.000000,309.350000,deeplstm,20,3620.000000,181.00
111,obvd,20,6004.000000,300.200000,deeplstm,20,6436.000000,321.80
112,obvd,20,3794.000000,189.700000,deeplstm,20,5257.000000,262.85
113,obvd,20,5242.000000,262.100000,deeplstm,20,3841.000000,192.05
114,obvd,20,4436.000000,221.800000,deeplstm,20,4326.000000,216.30
115,obvd,20,4701.000000,235.050000,deeplstm,20,5850.000000,292.50
116,obvd,20,5016.000000,250.800000,deeplstm,20,3968.000000,198.40
117,obvd,20,5514.000000,275.700000,deeplstm,20,4265.000000,213.25
118,obvd,20,6087.000000,304.350000,deeplstm,20,4743.000000,237.15
119,obvd,20,6121.000000,306.050000,deeplstm,20,5573.000000,278.65
120,obvd,20,5420.000000,271.000000,deeplstm,20,6216.000000,310.80
121,obvd,20,6282.000000,314.100000,deeplstm,20,7412.000000,370.60
122,obvd,20,4735.000000,236.750000,deeplstm,20,5907.000000,295.35
123,obvd,20,5121.000000,256.050000,deeplstm,20,6506.000000,325.30
124,obvd,20,3560.000000,178.000000,deeplstm,20,5378.000000,268.90
125,obvd,20,5109.000000,255.450000,deeplstm,20,6170.000000,308.50
126,obvd,20,4878.000000,243.900000,deeplstm,20,3183.000000,159.15
127,obvd,20,3569.000000,178.450000,deeplstm,20,4807.000000,240.35
128,obvd,20,5281.000000,264.050000,deeplstm,20,6535.000000,326.75
129,obvd,20,4619.000000,230.950000,deeplstm,20,5674.000000,283.70
130,obvd,20,5307.000000,265.350000,deeplstm,20,5921.000000,296.05
131,obvd,20,6484.000000,324.200000,deeplstm,20,5156.000000,257.80
132,obvd,20,4647.000000,232.350000,deeplstm,20,6070.000000,303.50
133,obvd,20,5622.000000,281.100000,deeplstm,20,3089.000000,154.45
134,obvd,20,5638.000000,281.900000,deeplstm,20,3946.000000,197.30
135,obvd,20,4911.000000,245.550000,deeplstm,20,4572.000000,228.60
136,obvd,20,5506.000000,275.300000,deeplstm,20,5797.000000,289.85
137,obvd,20,4313.000000,215.650000,deeplstm,20,3976.000000,198.80
138,obvd,20,3777.000000,188.850000,deeplstm,20,5830.000000,291.50
139,obvd,20,4368.000000,218.400000,deeplstm,20,4162.000000,208.10
140,obvd,20,6988.000000,349.400000,deeplstm,20,4275.000000,213.75
141,obvd,20,4829.000000,241.450000,deeplstm,20,5741.000000,287.05
142,obvd,20,4443.000000,222.150000,deeplstm,20,6828.000000,341.40
143,obvd,20,4818.000000,240.900000,deeplstm,20,5352.000000,267.60
144,obvd,20,5112.000000,255.600000,deeplstm,20,4549.000000,227.45
145,obvd,20,4800.000000,240.000000,deeplstm,20,5785.000000,289.25
146,obvd,20,3668.000000,183.400000,deeplstm,20,5333.000000,266.65
147,obvd,20,5480.000000,274.000000,deeplstm,20,7400.000000,370.00
148,obvd,20,4862.000000,243.100000,deeplstm,20,7383.000000,369.15
149,obvd,20,5002.000000,250.100000,deeplstm,20,3082.000000,154.10
150,obvd,20,5043.000000,252.150000,deeplstm,20,5859.000000,292.95
151,obvd,20,5981.000000,299.050000,deeplstm,20,3603.000000,180.15
152,obvd,20,5740.000000,287.000000,deeplstm,20,3730.000000,186.50
153,obvd,20,3522.000000,176.100000,deeplstm,20,5484.000000,274.20
154,obvd,20,4484.000000,224.200000,deeplstm,20,5171.000000,258.55
155,obvd,20,6822.000000,341.100000,deeplstm,20,4255.000000,212.75
156,obvd,20,5364.000000,268.200000,deeplstm,20,3616.000000,180.80
157,obvd,20,4977.000000,248.850000,deeplstm,20,6571.000000,328.55
158,obvd,20,4378.000000,218.900000,deeplstm,20,5225.000000,261.25
159,obvd,20,4501.000000,225.050000,deeplstm,20,4992.000000,249.60
160,obvd,20,3859.000000,192.950000,deeplstm,20,2751.000000,137.55
161,obvd,20,5476.000000,273.800000,deeplstm,20,5636.000000,281.80
162,obvd,20,5982.000000,299.100000,deeplstm,20,3960.000000,198.00
163,obvd,20,5536.000000,276.800000,deeplstm,20,4759.000000,237.95
164,obvd,20,5919.000000,295.950000,deeplstm,20,4146.000000,207.30
165,obvd,20,4439.000000,221.950000,deeplstm,20,3028.000000,151.40
166,obvd,20,4093.000000,204.650000,deeplstm,20,5918.000000,295.90
167,obvd,20,3398.000000,169.900000,deeplstm,20,6247.000000,312.35
168,obvd,20,4446.000000,222.300000,deeplstm,20,4116.000000,205.80
169,obvd,20,5054.000000,252.700000,deeplstm,20,4459.000000,222.95
170,obvd,20,5227.000000,261.350000,deeplstm,20,5041.000000,252.05
171,obvd,20,6399.000000,319.950000,deeplstm,20,5585.000000,279.25
172,obvd,20,5304.000000,265.200000,deeplstm,20,2821.000000,141.05
173,obvd,20,5350.000000,267.500000,deeplstm,20,4398.000000,219.90
174,obvd,20,3436.000000,171.800000,deeplstm,20,4825.000000,241.25
175,obvd,20,4174.000000,208.700000,deeplstm,20,5635.000000,281.75
176,obvd,20,4377.000000,218.850000,deeplstm,20,5488.000000,274.40
177,obvd,20,6218.000000,310.900000,deeplstm,20,3146.000000,157.30
178,obvd,20,5012.000000,250.600000,deeplstm,20,5281.000000,264.05
179,obvd,20,5700.000000,285.000000,deeplstm,20,4335.000000,216.75
180,obvd,20,4488.000000,224.400000,deeplstm,20,4666.000000,233.30
181,obvd,20,4152.000000,207.600000,deeplstm,20,5035.000000,251.75
182,obvd,20,4829.000000,241.450000,deeplstm,20,5603.000000,280.15
183,obvd,20,6633.000000,331.650000,deeplstm,20,4161.000000,208.05
184,obvd,20,6721.000000,336.050000,deeplstm,20,6124.000000,306.20
185,obvd,20,4936.000000,246.800000,deeplstm,20,2087.000000,104.35
186,obvd,20,3290.000000,164.500000,deeplstm,20,5781.000000,289.05
187,obvd,20,5281.000000,264.050000,deeplstm,20,7343.000000,367.15
188,obvd,20,5951.000000,297.550000,deeplstm,20,4833.000000,241.65
189,obvd,20,6442.000000,322.100000,deeplstm,20,3234.000000,161.70
190,obvd,20,4596.000000,229.800000,deeplstm,20,5423.000000,271.15
191,obvd,20,5273.000000,263.650000,deeplstm,20,6380.000000,319.00
192,obvd,20,4408.000000,220.400000,deeplstm,20,5785.000000,289.25
193,obvd,20,6113.000000,305.650000,deeplstm,20,3274.000000,163.70
194,obvd,20,4147.000000,207.350000,deeplstm,20,6212.000000,310.60
195,obvd,20,6127.000000,306.350000,deeplstm,20,4529.000000,226.45
196,obvd,20,5548.000000,277.400000,deeplstm,20,2149.000000,107.45
197,obvd,20,4907.000000,245.350000,deeplstm,20,4050.000000,202.50
198,obvd,20,4734.000000,236.700000,deeplstm,20,5777.000000,288.85
199,obvd,20,6430.000000,321.500000,deeplstm,20,2552.000000,127.60
200,obvd,20,4286.000000,214.300000,deeplstm,20,5022.000000,251.10
201,obvd,20,5530.000000,276.500000,deeplstm,20,5281.000000,264.05
202,obvd,20,6526.000000,326.300000,deeplstm,20,3393.000000,169.65
203,obvd,20,5756.000000,287.800000,deeplstm,20,6923.000000,346.15
204,obvd,20,4621.000000,231.050000,deeplstm,20,5975.000000,298.75
205,obvd,20,4667.000000,233.350000,deeplstm,20,5004.000000,250.20
206,obvd,20,6158.000000,307.900000,deeplstm,20,7511.000000,375.55
207,obvd,20,6515.000000,325.750000,deeplstm,20,4573.000000,228.65
208,obvd,20,4708.000000,235.400000,deeplstm,20,6291.000000,314.55
209,obvd,20,3505.000000,175.250000,deeplstm,20,5805.000000,290.25
210,obvd,20,5284.000000,264.200000,deeplstm,20,9035.000000,451.75
211,obvd,20,5617.000000,280.850000,deeplstm,20,4223.000000,211.15
212,obvd,20,3854.000000,192.700000,deeplstm,20,4733.000000,236.65
213,obvd,20,6048.000000,302.400000,deeplstm,20,4323.000000,216.15
214,obvd,20,7286.000000,364.300000,deeplstm,20,4751.000000,237.55
215,obvd,20,4527.000000,226.350000,deeplstm,20,5550.000000,277.50
216,obvd,20,7017.000000,350.850000,deeplstm,20,3059.000000,152.95
217,obvd,20,6245.000000,312.250000,deeplstm,20,6938.000000,346.90
218,obvd,20,7388.000000,369.400000,deeplstm,20,3661.000000,183.05
219,obvd,20,5061.000000,253.050000,deeplstm,20,4086.000000,204.30
220,obvd,20,5289.000000,264.450000,deeplstm,20,7765.000000,388.25
221,obvd,20,5392.000000,269.600000,deeplstm,20,6447.000000,322.35
222,obvd,20,5622.000000,281.100000,deeplstm,20,4912.000000,245.60
223,obvd,20,4663.000000,233.150000,deeplstm,20,6205.000000,310.25
224,obvd,20,5544.000000,277.200000,deeplstm,20,5751.000000,287.55
225,obvd,20,5581.000000,279.050000,deeplstm,20,7234.000000,361.70
226,obvd,20,4637.000000,231.850000,deeplstm,20,4210.000000,210.50
227,obvd,20,4993.000000,249.650000,deeplstm,20,4789.000000,239.45
228,obvd,20,3575.000000,178.750000,deeplstm,20,2502.000000,125.10
229,obvd,20,5454.000000,272.700000,deeplstm,20,8144.000000,407.20
230,obvd,20,4992.000000,249.600000,deeplstm,20,6896.000000,344.80
231,obvd,20,3521.000000,176.050000,deeplstm,20,6622.000000,331.10
232,obvd,20,5646.000000,282.300000,deeplstm,20,4851.000000,242.55
233,obvd,20,3366.000000,168.300000,deeplstm,20,4124.000000,206.20
234,obvd,20,5392.000000,269.600000,deeplstm,20,7641.000000,382.05
235,obvd,20,4579.000000,228.950000,deeplstm,20,5702.000000,285.10
236,obvd,20,3830.000000,191.500000,deeplstm,20,4282.000000,214.10
237,obvd,20,3419.000000,170.950000,deeplstm,20,4977.000000,248.85
238,obvd,20,5869.000000,293.450000,deeplstm,20,4892.000000,244.60
239,obvd,20,7020.000000,351.000000,deeplstm,20,4053.000000,202.65
240,obvd,20,5182.000000,259.100000,deeplstm,20,4222.000000,211.10
241,obvd,20,4801.000000,240.050000,deeplstm,20,6663.000000,333.15
242,obvd,20,4916.000000,245.800000,deeplstm,20,5684.000000,284.20
243,obvd,20,4724.000000,236.200000,deeplstm,20,5993.000000,299.65
244,obvd,20,5040.000000,252.000000,deeplstm,20,2197.000000,109.85
245,obvd,20,6365.000000,318.250000,deeplstm,20,4214.000000,210.70
246,obvd,20,4496.000000,224.800000,deeplstm,20,6153.000000,307.65
247,obvd,20,4833.000000,241.650000,deeplstm,20,5650.000000,282.50
248,obvd,20,4325.000000,216.250000,deeplstm,20,6125.000000,306.25
249,obvd,20,3592.000000,179.600000,deeplstm,20,5342.000000,267.10
250,obvd,20,4881.000000,244.050000,deeplstm,20,4414.000000,220.70
251,obvd,20,5774.000000,288.700000,deeplstm,20,7448.000000,372.40
252,obvd,20,4992.000000,249.600000,deeplstm,20,2435.000000,121.75
253,obvd,20,5888.000000,294.400000,deeplstm,20,2961.000000,148.05
254,obvd,20,3862.000000,193.100000,deeplstm,20,6509.000000,325.45
255,obvd,20,4644.000000,232.200000,deeplstm,20,5746.000000,287.30
256,obvd,20,4081.000000,204.050000,deeplstm,20,4974.000000,248.70
257,obvd,20,3988.000000,199.400000,deeplstm,20,5742.000000,287.10
258,obvd,20,4952.000000,247.600000,deeplstm,20,2852.000000,142.60
259,obvd,20,5098.000000,254.900000,deeplstm,20,3164.000000,158.20
260,obvd,20,7910.000000,395.500000,deeplstm,20,4863.000000,243.15
261,obvd,20,4682.000000,234.100000,deeplstm,20,6332.000000,316.60
