trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvd,20,6159.000000,307.950000,deepxgb,20,4753.000000,237.65
2,obvd,20,4805.000000,240.250000,deepxgb,20,5350.000000,267.50
3,obvd,20,5189.000000,259.450000,deepxgb,20,4493.000000,224.65
4,obvd,20,3910.000000,195.500000,deepxgb,20,3495.000000,174.75
5,obvd,20,3951.000000,197.550000,deepxgb,20,5278.000000,263.90
6,obvd,20,4233.000000,211.650000,deepxgb,20,4719.000000,235.95
7,obvd,20,5551.000000,277.550000,deepxgb,20,1667.000000,83.35
8,obvd,20,3722.000000,186.100000,deepxgb,20,4257.000000,212.85
9,obvd,20,4565.000000,228.250000,deepxgb,20,5427.000000,271.35
10,obvd,20,4659.000000,232.950000,deepxgb,20,5127.000000,256.35
11,obvd,20,4975.000000,248.750000,deepxgb,20,5406.000000,270.30
12,obvd,20,2854.000000,142.700000,deepxgb,20,4008.000000,200.40
13,obvd,20,5885.000000,294.250000,deepxgb,20,6577.000000,328.85
14,obvd,20,3800.000000,190.000000,deepxgb,20,3932.000000,196.60
15,obvd,20,4985.000000,249.250000,deepxgb,20,3964.000000,198.20
16,obvd,20,4734.000000,236.700000,deepxgb,20,4852.000000,242.60
17,obvd,20,5246.000000,262.300000,deepxgb,20,4591.000000,229.55
18,obvd,20,5125.000000,256.250000,deepxgb,20,5317.000000,265.85
19,obvd,20,3849.000000,192.450000,deepxgb,20,5602.000000,280.10
20,obvd,20,5040.000000,252.000000,deepxgb,20,3870.000000,193.50
21,obvd,20,4414.000000,220.700000,deepxgb,20,4520.000000,226.00
22,obvd,20,4010.000000,200.500000,deepxgb,20,4656.000000,232.80
23,obvd,20,4608.000000,230.400000,deepxgb,20,3691.000000,184.55
24,obvd,20,5980.000000,299.000000,deepxgb,20,3388.000000,169.40
25,obvd,20,3704.000000,185.200000,deepxgb,20,4958.000000,247.90
26,obvd,20,3799.000000,189.950000,deepxgb,20,4965.000000,248.25
27,obvd,20,3998.000000,199.900000,deepxgb,20,5441.000000,272.05
28,obvd,20,6097.000000,304.850000,deepxgb,20,971.000000,48.55
29,obvd,20,5145.000000,257.250000,deepxgb,20,4748.000000,237.40
30,obvd,20,4777.000000,238.850000,deepxgb,20,4038.000000,201.90
31,obvd,20,5994.000000,299.700000,deepxgb,20,1510.000000,75.50
32,obvd,20,4617.000000,230.850000,deepxgb,20,6366.000000,318.30
33,obvd,20,5062.000000,253.100000,deepxgb,20,2221.000000,111.05
