trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvvwap,20,3074.000000,153.700000,deeplstm,20,3689.000000,184.45
2,obvvwap,20,4021.000000,201.050000,deeplstm,20,5564.000000,278.20
3,obvvwap,20,5924.000000,296.200000,deeplstm,20,3191.000000,159.55
4,obvvwap,20,4654.000000,232.700000,deeplstm,20,3395.000000,169.75
5,obvvwap,20,4553.000000,227.650000,deeplstm,20,5474.000000,273.70
6,obvvwap,20,4361.000000,218.050000,deeplstm,20,5370.000000,268.50
7,obvvwap,20,4926.000000,246.300000,deeplstm,20,5840.000000,292.00
8,obvvwap,20,4586.000000,229.300000,deeplstm,20,2453.000000,122.65
9,obvvwap,20,3718.000000,185.900000,deeplstm,20,4103.000000,205.15
10,obvvwap,20,3829.000000,191.450000,deeplstm,20,4422.000000,221.10
11,obvvwap,20,4490.000000,224.500000,deeplstm,20,2659.000000,132.95
12,obvvwap,20,3383.000000,169.150000,deeplstm,20,2752.000000,137.60
13,obvvwap,20,3724.000000,186.200000,deeplstm,20,4750.000000,237.50
14,obvvwap,20,3182.000000,159.100000,deeplstm,20,3341.000000,167.05
15,obvvwap,20,3390.000000,169.500000,deeplstm,20,5378.000000,268.90
16,obvvwap,20,2748.000000,137.400000,deeplstm,20,2415.000000,120.75
17,obvvwap,20,3387.000000,169.350000,deeplstm,20,4221.000000,211.05
18,obvvwap,20,3890.000000,194.500000,deeplstm,20,2889.000000,144.45
19,obvvwap,20,2857.000000,142.850000,deeplstm,20,4926.000000,246.30
20,obvvwap,20,3729.000000,186.450000,deeplstm,20,4139.000000,206.95
21,obvvwap,20,3656.000000,182.800000,deeplstm,20,4451.000000,222.55
22,obvvwap,20,4637.000000,231.850000,deeplstm,20,4298.000000,214.90
23,obvvwap,20,3720.000000,186.000000,deeplstm,20,3714.000000,185.70
24,obvvwap,20,2727.000000,136.350000,deeplstm,20,3064.000000,153.20
25,obvvwap,20,5337.000000,266.850000,deeplstm,20,3372.000000,168.60
26,obvvwap,20,3054.000000,152.700000,deeplstm,20,3185.000000,159.25
27,obvvwap,20,4265.000000,213.250000,deeplstm,20,3440.000000,172.00
28,obvvwap,20,4983.000000,249.150000,deeplstm,20,3061.000000,153.05
29,obvvwap,20,3355.000000,167.750000,deeplstm,20,4768.000000,238.40
