trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvvwap,20,4421.000000,221.050000,deepxgb,20,6147.000000,307.35
2,obvvwap,20,4167.000000,208.350000,deepxgb,20,4190.000000,209.50
3,obvvwap,20,4273.000000,213.650000,deepxgb,20,4151.000000,207.55
4,obvvwap,20,3920.000000,196.000000,deepxgb,20,3302.000000,165.10
5,obvvwap,20,3815.000000,190.750000,deepxgb,20,4653.000000,232.65
6,obvvwap,20,3143.000000,157.150000,deepxgb,20,5085.000000,254.25
7,obvvwap,20,4154.000000,207.700000,deepxgb,20,1945.000000,97.25
8,obvvwap,20,5160.000000,258.000000,deepxgb,20,6749.000000,337.45
9,obvvwap,20,4915.000000,245.750000,deepxgb,20,5157.000000,257.85
10,obvvwap,20,3205.000000,160.250000,deepxgb,20,4609.000000,230.45
11,obvvwap,20,3378.000000,168.900000,deepxgb,20,4822.000000,241.10
12,obvvwap,20,3334.000000,166.700000,deepxgb,20,4247.000000,212.35
13,obvvwap,20,5383.000000,269.150000,deepxgb,20,3876.000000,193.80
14,obvvwap,20,4153.000000,207.650000,deepxgb,20,1822.000000,91.10
15,obvvwap,20,3571.000000,178.550000,deepxgb,20,3289.000000,164.45
16,obvvwap,20,4130.000000,206.500000,deepxgb,20,5304.000000,265.20
17,obvvwap,20,3853.000000,192.650000,deepxgb,20,5086.000000,254.30
18,obvvwap,20,2846.000000,142.300000,deepxgb,20,4184.000000,209.20
19,obvvwap,20,4114.000000,205.700000,deepxgb,20,4873.000000,243.65
20,obvvwap,20,4208.000000,210.400000,deepxgb,20,3971.000000,198.55
21,obvvwap,20,3925.000000,196.250000,deepxgb,20,4243.000000,212.15
22,obvvwap,20,4054.000000,202.700000,deepxgb,20,4231.000000,211.55
23,obvvwap,20,3446.000000,172.300000,deepxgb,20,4637.000000,231.85
24,obvvwap,20,3069.000000,153.450000,deepxgb,20,4917.000000,245.85
25,obvvwap,20,3673.000000,183.650000,deepxgb,20,4164.000000,208.20
26,obvvwap,20,4612.000000,230.600000,deepxgb,20,3511.000000,175.55
27,obvvwap,20,3519.000000,175.950000,deepxgb,20,5224.000000,261.20
28,obvvwap,20,3732.000000,186.600000,deepxgb,20,4443.000000,222.15
29,obvvwap,20,3192.000000,159.600000,deepxgb,20,5555.000000,277.75
30,obvvwap,20,5419.000000,270.950000,deepxgb,20,4486.000000,224.30
31,obvvwap,20,3797.000000,189.850000,deepxgb,20,4629.000000,231.45
32,obvvwap,20,3869.000000,193.450000,deepxgb,20,3774.000000,188.70
33,obvvwap,20,4190.000000,209.500000,deepxgb,20,1870.000000,93.50
34,obvvwap,20,4697.000000,234.850000,deepxgb,20,6258.000000,312.90
35,obvvwap,20,3706.000000,185.300000,deepxgb,20,4853.000000,242.65
36,obvvwap,20,4878.000000,243.900000,deepxgb,20,4092.000000,204.60
37,obvvwap,20,3223.000000,161.150000,deepxgb,20,3557.000000,177.85
38,obvvwap,20,4085.000000,204.250000,deepxgb,20,4748.000000,237.40
39,obvvwap,20,3181.000000,159.050000,deepxgb,20,3595.000000,179.75
40,obvvwap,20,4069.000000,203.450000,deepxgb,20,5923.000000,296.15
41,obvvwap,20,3301.000000,165.050000,deepxgb,20,4421.000000,221.05
42,obvvwap,20,4050.000000,202.500000,deepxgb,20,4549.000000,227.45
