trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsi,20,4859.000000,242.950000,deeplstm,20,4618.000000,230.90
2,rsi,20,5763.000000,288.150000,deeplstm,20,3398.000000,169.90
3,rsi,20,2824.000000,141.200000,deeplstm,20,4442.000000,222.10
4,rsi,20,4361.000000,218.050000,deeplstm,20,4880.000000,244.00
5,rsi,20,3244.000000,162.200000,deeplstm,20,5374.000000,268.70
6,rsi,20,4691.000000,234.550000,deeplstm,20,1972.000000,98.60
7,rsi,20,3835.000000,191.750000,deeplstm,20,3160.000000,158.00
8,rsi,20,5004.000000,250.200000,deeplstm,20,3231.000000,161.55
9,rsi,20,5769.000000,288.450000,deeplstm,20,3446.000000,172.30
10,rsi,20,5189.000000,259.450000,deeplstm,20,3797.000000,189.85
11,rsi,20,4267.000000,213.350000,deeplstm,20,2483.000000,124.15
12,rsi,20,5395.000000,269.750000,deeplstm,20,4139.000000,206.95
13,rsi,20,4926.000000,246.300000,deeplstm,20,5485.000000,274.25
14,rsi,20,4211.000000,210.550000,deeplstm,20,5411.000000,270.55
15,rsi,20,4249.000000,212.450000,deeplstm,20,4959.000000,247.95
16,rsi,20,5225.000000,261.250000,deeplstm,20,3409.000000,170.45
17,rsi,20,4246.000000,212.300000,deeplstm,20,6361.000000,318.05
18,rsi,20,3872.000000,193.600000,deeplstm,20,4801.000000,240.05
19,rsi,20,5062.000000,253.100000,deeplstm,20,4634.000000,231.70
20,rsi,20,5113.000000,255.650000,deeplstm,20,3836.000000,191.80
21,rsi,20,4282.000000,214.100000,deeplstm,20,4149.000000,207.45
22,rsi,20,4802.000000,240.100000,deeplstm,20,3787.000000,189.35
23,rsi,20,5054.000000,252.700000,deeplstm,20,2630.000000,131.50
24,rsi,20,4291.000000,214.550000,deeplstm,20,4062.000000,203.10
25,rsi,20,4540.000000,227.000000,deeplstm,20,5621.000000,281.05
