trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsi,20,6861.000000,343.050000,deepxgb,20,3857.000000,192.85
2,rsi,20,4448.000000,222.400000,deepxgb,20,5336.000000,266.80
3,rsi,20,4585.000000,229.250000,deepxgb,20,6511.000000,325.55
4,rsi,20,5442.000000,272.100000,deepxgb,20,3510.000000,175.50
5,rsi,20,3947.000000,197.350000,deepxgb,20,5301.000000,265.05
6,rsi,20,4027.000000,201.350000,deepxgb,20,5553.000000,277.65
7,rsi,20,4567.000000,228.350000,deepxgb,20,5563.000000,278.15
8,rsi,20,6216.000000,310.800000,deepxgb,20,4724.000000,236.20
9,rsi,20,5185.000000,259.250000,deepxgb,20,3246.000000,162.30
10,rsi,20,4110.000000,205.500000,deepxgb,20,3308.000000,165.40
11,rsi,20,4138.000000,206.900000,deepxgb,20,4481.000000,224.05
12,rsi,20,4884.000000,244.200000,deepxgb,20,4670.000000,233.50
13,rsi,20,4687.000000,234.350000,deepxgb,20,5463.000000,273.15
14,rsi,20,4546.000000,227.300000,deepxgb,20,2644.000000,132.20
15,rsi,20,3523.000000,176.150000,deepxgb,20,3559.000000,177.95
16,rsi,20,3971.000000,198.550000,deepxgb,20,5332.000000,266.60
17,rsi,20,5002.000000,250.100000,deepxgb,20,6534.000000,326.70
18,rsi,20,4353.000000,217.650000,deepxgb,20,5806.000000,290.30
19,rsi,20,4670.000000,233.500000,deepxgb,20,3753.000000,187.65
20,rsi,20,5128.000000,256.400000,deepxgb,20,2318.000000,115.90
21,rsi,20,3586.000000,179.300000,deepxgb,20,5120.000000,256.00
22,rsi,20,4821.000000,241.050000,deepxgb,20,5910.000000,295.50
23,rsi,20,5535.000000,276.750000,deepxgb,20,3446.000000,172.30
24,rsi,20,3759.000000,187.950000,deepxgb,20,3088.000000,154.40
25,rsi,20,4183.000000,209.150000,deepxgb,20,5495.000000,274.75
26,rsi,20,4407.000000,220.350000,deepxgb,20,2679.000000,133.95
27,rsi,20,4361.000000,218.050000,deepxgb,20,6355.000000,317.75
28,rsi,20,4017.000000,200.850000,deepxgb,20,4660.000000,233.00
29,rsi,20,3295.000000,164.750000,deepxgb,20,4596.000000,229.80
30,rsi,20,4825.000000,241.250000,deepxgb,20,4622.000000,231.10
31,rsi,20,5021.000000,251.050000,deepxgb,20,5196.000000,259.80
32,rsi,20,4506.000000,225.300000,deepxgb,20,4779.000000,238.95
33,rsi,20,4519.000000,225.950000,deepxgb,20,4656.000000,232.80
34,rsi,20,4073.000000,203.650000,deepxgb,20,4123.000000,206.15
35,rsi,20,3586.000000,179.300000,deepxgb,20,4914.000000,245.70
36,rsi,20,4162.000000,208.100000,deepxgb,20,5931.000000,296.55
37,rsi,20,4633.000000,231.650000,deepxgb,20,5783.000000,289.15
