trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsibb,20,4084.000000,204.20,deeplstm,20,2977.000000,148.85
2,rsibb,20,4540.000000,227.00,deeplstm,20,2320.000000,116.00
3,rsibb,20,4773.000000,238.65,deeplstm,20,4326.000000,216.30
4,rsibb,20,3917.000000,195.85,deeplstm,20,2786.000000,139.30
5,rsibb,20,4395.000000,219.75,deeplstm,20,4181.000000,209.05
6,rsibb,20,3495.000000,174.75,deeplstm,20,4496.000000,224.80
7,rsibb,20,4500.000000,225.00,deeplstm,20,3859.000000,192.95
8,rsibb,20,6078.000000,303.90,deeplstm,20,5217.000000,260.85
9,rsibb,20,3256.000000,162.80,deeplstm,20,3605.000000,180.25
10,rsibb,20,3841.000000,192.05,deeplstm,20,5969.000000,298.45
11,rsibb,20,3565.000000,178.25,deeplstm,20,4164.000000,208.20
12,rsibb,20,5739.000000,286.95,deeplstm,20,4986.000000,249.30
13,rsibb,20,4164.000000,208.20,deeplstm,20,5795.000000,289.75
14,rsibb,20,4459.000000,222.95,deeplstm,20,7086.000000,354.30
15,rsibb,20,4583.000000,229.15,deeplstm,20,2992.000000,149.60
16,rsibb,20,3756.000000,187.80,deeplstm,20,6633.000000,331.65
17,rsibb,20,4582.000000,229.10,deeplstm,20,5674.000000,283.70
18,rsibb,20,2364.000000,118.20,deeplstm,20,5249.000000,262.45
19,rsibb,20,4435.000000,221.75,deeplstm,20,4722.000000,236.10
20,rsibb,20,2475.000000,123.75,deeplstm,20,4723.000000,236.15
21,rsibb,20,4077.000000,203.85,deeplstm,20,2536.000000,126.80
22,rsibb,20,4517.000000,225.85,deeplstm,20,4258.000000,212.90
23,rsibb,20,3656.000000,182.80,deeplstm,20,2558.000000,127.90
24,rsibb,20,5559.000000,277.95,deeplstm,20,4053.000000,202.65
25,rsibb,20,4359.000000,217.95,deeplstm,20,3388.000000,169.40
26,rsibb,20,3249.000000,162.45,deeplstm,20,4421.000000,221.05
27,rsibb,20,4564.000000,228.20,deeplstm,20,5450.000000,272.50
28,rsibb,20,2439.000000,121.95,deeplstm,20,4401.000000,220.05
29,rsibb,20,3534.000000,176.70,deeplstm,20,2677.000000,133.85
30,rsibb,20,6030.000000,301.50,deeplstm,20,7703.000000,385.15
31,rsibb,20,2700.000000,135.00,deeplstm,20,4099.000000,204.95
32,rsibb,20,3087.000000,154.35,deeplstm,20,5387.000000,269.35
33,rsibb,20,4442.000000,222.10,deeplstm,20,5099.000000,254.95
34,rsibb,20,4038.000000,201.90,deeplstm,20,5060.000000,253.00
35,rsibb,20,3004.000000,150.20,deeplstm,20,4972.000000,248.60
36,rsibb,20,3247.000000,162.35,deeplstm,20,4388.000000,219.40
37,rsibb,20,4106.000000,205.30,deeplstm,20,4329.000000,216.45
38,rsibb,20,5514.000000,275.70,deeplstm,20,5558.000000,277.90
39,rsibb,20,4031.000000,201.55,deeplstm,20,6154.000000,307.70
40,rsibb,20,3962.000000,198.10,deeplstm,20,5752.000000,287.60
41,rsibb,20,3774.000000,188.70,deeplstm,20,5531.000000,276.55
42,rsibb,20,4124.000000,206.20,deeplstm,20,4949.000000,247.45
43,rsibb,20,4682.000000,234.10,deeplstm,20,5642.000000,282.10
44,rsibb,20,4177.000000,208.85,deeplstm,20,3168.000000,158.40
45,rsibb,20,5149.000000,257.45,deeplstm,20,3130.000000,156.50
46,rsibb,20,3949.000000,197.45,deeplstm,20,5128.000000,256.40
47,rsibb,20,3520.000000,176.00,deeplstm,20,4833.000000,241.65
48,rsibb,20,4812.000000,240.60,deeplstm,20,4761.000000,238.05
49,rsibb,20,3608.000000,180.40,deeplstm,20,2643.000000,132.15
50,rsibb,20,5006.000000,250.30,deeplstm,20,3474.000000,173.70
51,rsibb,20,4551.000000,227.55,deeplstm,20,3352.000000,167.60
52,rsibb,20,3461.000000,173.05,deeplstm,20,5075.000000,253.75
53,rsibb,20,3467.000000,173.35,deeplstm,20,2278.000000,113.90
54,rsibb,20,5988.000000,299.40,deeplstm,20,5351.000000,267.55
55,rsibb,20,3788.000000,189.40,deeplstm,20,6550.000000,327.50
56,rsibb,20,4418.000000,220.90,deeplstm,20,3649.000000,182.45
57,rsibb,20,3698.000000,184.90,deeplstm,20,4707.000000,235.35
58,rsibb,20,3164.000000,158.20,deeplstm,20,4327.000000,216.35
59,rsibb,20,4644.000000,232.20,deeplstm,20,5833.000000,291.65
60,rsibb,20,3822.000000,191.10,deeplstm,20,3047.000000,152.35
61,rsibb,20,5063.000000,253.15,deeplstm,20,3047.000000,152.35
62,rsibb,20,4883.000000,244.15,deeplstm,20,5659.000000,282.95
63,rsibb,20,6059.000000,302.95,deeplstm,20,2573.000000,128.65
64,rsibb,20,3941.000000,197.05,deeplstm,20,4367.000000,218.35
65,rsibb,20,5228.000000,261.40,deeplstm,20,3935.000000,196.75
66,rsibb,20,4249.000000,212.45,deeplstm,20,4688.000000,234.40
67,rsibb,20,3983.000000,199.15,deeplstm,20,3198.000000,159.90
68,rsibb,20,4686.000000,234.30,deeplstm,20,3566.000000,178.30
69,rsibb,20,5301.000000,265.05,deeplstm,20,1935.000000,96.75
70,rsibb,20,3942.000000,197.10,deeplstm,20,4766.000000,238.30
71,rsibb,20,4196.000000,209.80,deeplstm,20,2443.000000,122.15
72,rsibb,20,6002.000000,300.10,deeplstm,20,4694.000000,234.70
73,rsibb,20,2810.000000,140.50,deeplstm,20,4256.000000,212.80
74,rsibb,20,5103.000000,255.15,deeplstm,20,5885.000000,294.25
75,rsibb,20,3942.000000,197.10,deeplstm,20,5812.000000,290.60
76,rsibb,20,6148.000000,307.40,deeplstm,20,5238.000000,261.90
77,rsibb,20,4670.000000,233.50,deeplstm,20,5699.000000,284.95
78,rsibb,20,3218.000000,160.90,deeplstm,20,4516.000000,225.80
79,rsibb,20,5175.000000,258.75,deeplstm,20,3597.000000,179.85
80,rsibb,20,3925.000000,196.25,deeplstm,20,3879.000000,193.95
81,rsibb,20,3439.000000,171.95,deeplstm,20,4560.000000,228.00
82,rsibb,20,4696.000000,234.80,deeplstm,20,4921.000000,246.05
83,rsibb,20,3512.000000,175.60,deeplstm,20,6013.000000,300.65
84,rsibb,20,3946.000000,197.30,deeplstm,20,3588.000000,179.40
85,rsibb,20,3252.000000,162.60,deeplstm,20,4442.000000,222.10
86,rsibb,20,3974.000000,198.70,deeplstm,20,3391.000000,169.55
87,rsibb,20,4107.000000,205.35,deeplstm,20,1920.000000,96.00
88,rsibb,20,4771.000000,238.55,deeplstm,20,4199.000000,209.95
89,rsibb,20,3476.000000,173.80,deeplstm,20,4653.000000,232.65
90,rsibb,20,2701.000000,135.05,deeplstm,20,4134.000000,206.70
91,rsibb,20,3523.000000,176.15,deeplstm,20,4230.000000,211.50
92,rsibb,20,3916.000000,195.80,deeplstm,20,5026.000000,251.30
93,rsibb,20,3482.000000,174.10,deeplstm,20,4454.000000,222.70
94,rsibb,20,4760.000000,238.00,deeplstm,20,5416.000000,270.80
95,rsibb,20,4579.000000,228.95,deeplstm,20,6473.000000,323.65
96,rsibb,20,4322.000000,216.10,deeplstm,20,3959.000000,197.95
97,rsibb,20,5076.000000,253.80,deeplstm,20,5010.000000,250.50
98,rsibb,20,5084.000000,254.20,deeplstm,20,3209.000000,160.45
99,rsibb,20,4409.000000,220.45,deeplstm,20,3140.000000,157.00
100,rsibb,20,2840.000000,142.00,deeplstm,20,4674.000000,233.70
101,rsibb,20,5254.000000,262.70,deeplstm,20,5818.000000,290.90
102,rsibb,20,5193.000000,259.65,deeplstm,20,4089.000000,204.45
103,rsibb,20,3298.000000,164.90,deeplstm,20,2616.000000,130.80
104,rsibb,20,6003.000000,300.15,deeplstm,20,3578.000000,178.90
105,rsibb,20,4999.000000,249.95,deeplstm,20,2538.000000,126.90
106,rsibb,20,4113.000000,205.65,deeplstm,20,4533.000000,226.65
107,rsibb,20,4205.000000,210.25,deeplstm,20,4215.000000,210.75
108,rsibb,20,4082.000000,204.10,deeplstm,20,4842.000000,242.10
