trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsibb,20,4357.000000,217.850000,deepxgb,20,6372.000000,318.60
2,rsibb,20,3462.000000,173.100000,deepxgb,20,4586.000000,229.30
3,rsibb,20,4909.000000,245.450000,deepxgb,20,5601.000000,280.05
4,rsibb,20,3993.000000,199.650000,deepxgb,20,5923.000000,296.15
5,rsibb,20,6290.000000,314.500000,deepxgb,20,3901.000000,195.05
6,rsibb,20,5088.000000,254.400000,deepxgb,20,5206.000000,260.30
7,rsibb,20,4873.000000,243.650000,deepxgb,20,4134.000000,206.70
8,rsibb,20,3690.000000,184.500000,deepxgb,20,4000.000000,200.00
9,rsibb,20,4162.000000,208.100000,deepxgb,20,6195.000000,309.75
10,rsibb,20,4622.000000,231.100000,deepxgb,20,3867.000000,193.35
11,rsibb,20,4721.000000,236.050000,deepxgb,20,4494.000000,224.70
12,rsibb,20,3733.000000,186.650000,deepxgb,20,3716.000000,185.80
13,rsibb,20,4559.000000,227.950000,deepxgb,20,5866.000000,293.30
14,rsibb,20,4610.000000,230.500000,deepxgb,20,5750.000000,287.50
15,rsibb,20,4547.000000,227.350000,deepxgb,20,4747.000000,237.35
16,rsibb,20,5923.000000,296.150000,deepxgb,20,5101.000000,255.05
17,rsibb,20,5294.000000,264.700000,deepxgb,20,5211.000000,260.55
18,rsibb,20,4766.000000,238.300000,deepxgb,20,4600.000000,230.00
19,rsibb,20,4210.000000,210.500000,deepxgb,20,4623.000000,231.15
20,rsibb,20,6262.000000,313.100000,deepxgb,20,3972.000000,198.60
21,rsibb,20,4517.000000,225.850000,deepxgb,20,6116.000000,305.80
22,rsibb,20,4752.000000,237.600000,deepxgb,20,4385.000000,219.25
23,rsibb,20,5404.000000,270.200000,deepxgb,20,7000.000000,350.00
24,rsibb,20,4257.000000,212.850000,deepxgb,20,5073.000000,253.65
25,rsibb,20,3868.000000,193.400000,deepxgb,20,6117.000000,305.85
26,rsibb,20,5681.000000,284.050000,deepxgb,20,7229.000000,361.45
27,rsibb,20,3742.000000,187.100000,deepxgb,20,4216.000000,210.80
28,rsibb,20,3922.000000,196.100000,deepxgb,20,5697.000000,284.85
29,rsibb,20,5184.000000,259.200000,deepxgb,20,3109.000000,155.45
30,rsibb,20,4818.000000,240.900000,deepxgb,20,3662.000000,183.10
31,rsibb,20,4114.000000,205.700000,deepxgb,20,5354.000000,267.70
32,rsibb,20,4131.000000,206.550000,deepxgb,20,5990.000000,299.50
33,rsibb,20,3841.000000,192.050000,deepxgb,20,4438.000000,221.90
34,rsibb,20,4865.000000,243.250000,deepxgb,20,6555.000000,327.75
35,rsibb,20,4005.000000,200.250000,deepxgb,20,5268.000000,263.40
36,rsibb,20,4875.000000,243.750000,deepxgb,20,6055.000000,302.75
37,rsibb,20,4885.000000,244.250000,deepxgb,20,3706.000000,185.30
38,rsibb,20,6057.000000,302.850000,deepxgb,20,3681.000000,184.05
39,rsibb,20,4288.000000,214.400000,deepxgb,20,5856.000000,292.80
40,rsibb,20,5087.000000,254.350000,deepxgb,20,4004.000000,200.20
41,rsibb,20,4829.000000,241.450000,deepxgb,20,3309.000000,165.45
42,rsibb,20,4085.000000,204.250000,deepxgb,20,5524.000000,276.20
43,rsibb,20,3586.000000,179.300000,deepxgb,20,5921.000000,296.05
44,rsibb,20,7160.000000,358.000000,deepxgb,20,3543.000000,177.15
45,rsibb,20,4422.000000,221.100000,deepxgb,20,5909.000000,295.45
46,rsibb,20,4480.000000,224.000000,deepxgb,20,3119.000000,155.95
47,rsibb,20,3607.000000,180.350000,deepxgb,20,3467.000000,173.35
48,rsibb,20,4462.000000,223.100000,deepxgb,20,3997.000000,199.85
49,rsibb,20,4985.000000,249.250000,deepxgb,20,6675.000000,333.75
50,rsibb,20,3078.000000,153.900000,deepxgb,20,5154.000000,257.70
51,rsibb,20,4364.000000,218.200000,deepxgb,20,6659.000000,332.95
52,rsibb,20,4186.000000,209.300000,deepxgb,20,4410.000000,220.50
53,rsibb,20,5457.000000,272.850000,deepxgb,20,4710.000000,235.50
54,rsibb,20,3972.000000,198.600000,deepxgb,20,4440.000000,222.00
55,rsibb,20,5013.000000,250.650000,deepxgb,20,6103.000000,305.15
56,rsibb,20,4702.000000,235.100000,deepxgb,20,3632.000000,181.60
57,rsibb,20,7400.000000,370.000000,deepxgb,20,3396.000000,169.80
58,rsibb,20,4321.000000,216.050000,deepxgb,20,5761.000000,288.05
59,rsibb,20,4358.000000,217.900000,deepxgb,20,3914.000000,195.70
60,rsibb,20,4531.000000,226.550000,deepxgb,20,4262.000000,213.10
61,rsibb,20,4604.000000,230.200000,deepxgb,20,4741.000000,237.05
62,rsibb,20,6472.000000,323.600000,deepxgb,20,3701.000000,185.05
63,rsibb,20,4328.000000,216.400000,deepxgb,20,5571.000000,278.55
64,rsibb,20,3508.000000,175.400000,deepxgb,20,3873.000000,193.65
65,rsibb,20,4275.000000,213.750000,deepxgb,20,5711.000000,285.55
66,rsibb,20,4589.000000,229.450000,deepxgb,20,5386.000000,269.30
67,rsibb,20,4368.000000,218.400000,deepxgb,20,4924.000000,246.20
68,rsibb,20,4974.000000,248.700000,deepxgb,20,6439.000000,321.95
69,rsibb,20,4636.000000,231.800000,deepxgb,20,5437.000000,271.85
70,rsibb,20,4234.000000,211.700000,deepxgb,20,4730.000000,236.50
71,rsibb,20,4202.000000,210.100000,deepxgb,20,5876.000000,293.80
72,rsibb,20,4559.000000,227.950000,deepxgb,20,6048.000000,302.40
73,rsibb,20,5217.000000,260.850000,deepxgb,20,4302.000000,215.10
74,rsibb,20,5121.000000,256.050000,deepxgb,20,4669.000000,233.45
75,rsibb,20,5082.000000,254.100000,deepxgb,20,5808.000000,290.40
76,rsibb,20,5577.000000,278.850000,deepxgb,20,3426.000000,171.30
77,rsibb,20,4112.000000,205.600000,deepxgb,20,5647.000000,282.35
78,rsibb,20,4441.000000,222.050000,deepxgb,20,4147.000000,207.35
79,rsibb,20,4271.000000,213.550000,deepxgb,20,3555.000000,177.75
80,rsibb,20,4638.000000,231.900000,deepxgb,20,4187.000000,209.35
81,rsibb,20,4931.000000,246.550000,deepxgb,20,6826.000000,341.30
82,rsibb,20,4730.000000,236.500000,deepxgb,20,5328.000000,266.40
83,rsibb,20,4722.000000,236.100000,deepxgb,20,5687.000000,284.35
84,rsibb,20,5180.000000,259.000000,deepxgb,20,6942.000000,347.10
85,rsibb,20,3856.000000,192.800000,deepxgb,20,6129.000000,306.45
86,rsibb,20,4868.000000,243.400000,deepxgb,20,6427.000000,321.35
87,rsibb,20,4181.000000,209.050000,deepxgb,20,5217.000000,260.85
88,rsibb,20,5461.000000,273.050000,deepxgb,20,4737.000000,236.85
89,rsibb,20,3921.000000,196.050000,deepxgb,20,5329.000000,266.45
90,rsibb,20,4684.000000,234.200000,deepxgb,20,5160.000000,258.00
91,rsibb,20,4806.000000,240.300000,deepxgb,20,4389.000000,219.45
92,rsibb,20,4666.000000,233.300000,deepxgb,20,4906.000000,245.30
93,rsibb,20,4315.000000,215.750000,deepxgb,20,5600.000000,280.00
94,rsibb,20,4727.000000,236.350000,deepxgb,20,6814.000000,340.70
95,rsibb,20,4530.000000,226.500000,deepxgb,20,3894.000000,194.70
96,rsibb,20,4520.000000,226.000000,deepxgb,20,5975.000000,298.75
97,rsibb,20,4508.000000,225.400000,deepxgb,20,5572.000000,278.60
98,rsibb,20,4648.000000,232.400000,deepxgb,20,4498.000000,224.90
99,rsibb,20,4829.000000,241.450000,deepxgb,20,5724.000000,286.20
100,rsibb,20,4071.000000,203.550000,deepxgb,20,4474.000000,223.70
101,rsibb,20,5311.000000,265.550000,deepxgb,20,6942.000000,347.10
102,rsibb,20,5179.000000,258.950000,deepxgb,20,2895.000000,144.75
103,rsibb,20,3957.000000,197.850000,deepxgb,20,2413.000000,120.65
104,rsibb,20,4702.000000,235.100000,deepxgb,20,4971.000000,248.55
105,rsibb,20,4433.000000,221.650000,deepxgb,20,5666.000000,283.30
106,rsibb,20,5252.000000,262.600000,deepxgb,20,5481.000000,274.05
107,rsibb,20,4769.000000,238.450000,deepxgb,20,6529.000000,326.45
108,rsibb,20,3177.000000,158.850000,deepxgb,20,5846.000000,292.30
109,rsibb,20,5481.000000,274.050000,deepxgb,20,4647.000000,232.35
110,rsibb,20,4943.000000,247.150000,deepxgb,20,6659.000000,332.95
111,rsibb,20,4691.000000,234.550000,deepxgb,20,4349.000000,217.45
112,rsibb,20,4483.000000,224.150000,deepxgb,20,5091.000000,254.55
113,rsibb,20,4246.000000,212.300000,deepxgb,20,5177.000000,258.85
114,rsibb,20,5399.000000,269.950000,deepxgb,20,5311.000000,265.55
115,rsibb,20,5732.000000,286.600000,deepxgb,20,6747.000000,337.35
116,rsibb,20,4855.000000,242.750000,deepxgb,20,3866.000000,193.30
117,rsibb,20,3994.000000,199.700000,deepxgb,20,4418.000000,220.90
118,rsibb,20,4723.000000,236.150000,deepxgb,20,5182.000000,259.10
119,rsibb,20,5007.000000,250.350000,deepxgb,20,4589.000000,229.45
120,rsibb,20,3961.000000,198.050000,deepxgb,20,4608.000000,230.40
121,rsibb,20,5887.000000,294.350000,deepxgb,20,3034.000000,151.70
122,rsibb,20,4406.000000,220.300000,deepxgb,20,5269.000000,263.45
123,rsibb,20,3963.000000,198.150000,deepxgb,20,4807.000000,240.35
124,rsibb,20,3927.000000,196.350000,deepxgb,20,5309.000000,265.45
125,rsibb,20,5017.000000,250.850000,deepxgb,20,5524.000000,276.20
126,rsibb,20,4608.000000,230.400000,deepxgb,20,6317.000000,315.85
127,rsibb,20,4289.000000,214.450000,deepxgb,20,4791.000000,239.55
128,rsibb,20,4936.000000,246.800000,deepxgb,20,6468.000000,323.40
129,rsibb,20,4644.000000,232.200000,deepxgb,20,4033.000000,201.65
130,rsibb,20,4467.000000,223.350000,deepxgb,20,5049.000000,252.45
131,rsibb,20,7044.000000,352.200000,deepxgb,20,4195.000000,209.75
132,rsibb,20,5333.000000,266.650000,deepxgb,20,7022.000000,351.10
133,rsibb,20,6061.000000,303.050000,deepxgb,20,7752.000000,387.60
134,rsibb,20,3088.000000,154.400000,deepxgb,20,4959.000000,247.95
135,rsibb,20,4127.000000,206.350000,deepxgb,20,6315.000000,315.75
136,rsibb,20,5128.000000,256.400000,deepxgb,20,6582.000000,329.10
137,rsibb,20,3614.000000,180.700000,deepxgb,20,4979.000000,248.95
138,rsibb,20,6366.000000,318.300000,deepxgb,20,5784.000000,289.20
