trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,shvr,20,5425.000000,271.25,deeplstm,20,6245.000000,312.25
2,shvr,20,5070.000000,253.50,deeplstm,20,2199.000000,109.95
3,shvr,20,1282.000000,64.10,deeplstm,20,4477.000000,223.85
4,shvr,20,2160.000000,108.00,deeplstm,20,6695.000000,334.75
5,shvr,20,7699.000000,384.95,deeplstm,20,3699.000000,184.95
6,shvr,20,5262.000000,263.10,deeplstm,20,5745.000000,287.25
7,shvr,20,5674.000000,283.70,deeplstm,20,3664.000000,183.20
8,shvr,20,5231.000000,261.55,deeplstm,20,3271.000000,163.55
9,shvr,20,2138.000000,106.90,deeplstm,20,3066.000000,153.30
10,shvr,20,4029.000000,201.45,deeplstm,20,4854.000000,242.70
11,shvr,20,5301.000000,265.05,deeplstm,20,1418.000000,70.90
12,shvr,20,3549.000000,177.45,deeplstm,20,6776.000000,338.80
13,shvr,20,2886.000000,144.30,deeplstm,20,4782.000000,239.10
14,shvr,20,5430.000000,271.50,deeplstm,20,4836.000000,241.80
15,shvr,20,4590.000000,229.50,deeplstm,20,7678.000000,383.90
16,shvr,20,3712.000000,185.60,deeplstm,20,5623.000000,281.15
17,shvr,20,4384.000000,219.20,deeplstm,20,4257.000000,212.85
18,shvr,20,6534.000000,326.70,deeplstm,20,2887.000000,144.35
19,shvr,20,2039.000000,101.95,deeplstm,20,5218.000000,260.90
20,shvr,20,3175.000000,158.75,deeplstm,20,1282.000000,64.10
21,shvr,20,3723.000000,186.15,deeplstm,20,7349.000000,367.45
22,shvr,20,6654.000000,332.70,deeplstm,20,4391.000000,219.55
23,shvr,20,1250.000000,62.50,deeplstm,20,3339.000000,166.95
24,shvr,20,1618.000000,80.90,deeplstm,20,3239.000000,161.95
25,shvr,20,3256.000000,162.80,deeplstm,20,4482.000000,224.10
26,shvr,20,4672.000000,233.60,deeplstm,20,4897.000000,244.85
27,shvr,20,3019.000000,150.95,deeplstm,20,4575.000000,228.75
28,shvr,20,3585.000000,179.25,deeplstm,20,5021.000000,251.05
29,shvr,20,4286.000000,214.30,deeplstm,20,6427.000000,321.35
30,shvr,20,1958.000000,97.90,deeplstm,20,6569.000000,328.45
31,shvr,20,3954.000000,197.70,deeplstm,20,7305.000000,365.25
32,shvr,20,2563.000000,128.15,deeplstm,20,5031.000000,251.55
33,shvr,20,3474.000000,173.70,deeplstm,20,5114.000000,255.70
34,shvr,20,6288.000000,314.40,deeplstm,20,8739.000000,436.95
35,shvr,20,2815.000000,140.75,deeplstm,20,4488.000000,224.40
36,shvr,20,4788.000000,239.40,deeplstm,20,3900.000000,195.00
37,shvr,20,2830.000000,141.50,deeplstm,20,5000.000000,250.00
38,shvr,20,1648.000000,82.40,deeplstm,20,6485.000000,324.25
39,shvr,20,4098.000000,204.90,deeplstm,20,7983.000000,399.15
40,shvr,20,4529.000000,226.45,deeplstm,20,4178.000000,208.90
41,shvr,20,4409.000000,220.45,deeplstm,20,5170.000000,258.50
42,shvr,20,3810.000000,190.50,deeplstm,20,4856.000000,242.80
43,shvr,20,2193.000000,109.65,deeplstm,20,4906.000000,245.30
44,shvr,20,2114.000000,105.70,deeplstm,20,5739.000000,286.95
45,shvr,20,2154.000000,107.70,deeplstm,20,4950.000000,247.50
46,shvr,20,3288.000000,164.40,deeplstm,20,5799.000000,289.95
47,shvr,20,3276.000000,163.80,deeplstm,20,4992.000000,249.60
48,shvr,20,6835.000000,341.75,deeplstm,20,5756.000000,287.80
49,shvr,20,2740.000000,137.00,deeplstm,20,8914.000000,445.70
50,shvr,20,1408.000000,70.40,deeplstm,20,4672.000000,233.60
51,shvr,20,1594.000000,79.70,deeplstm,20,4028.000000,201.40
52,shvr,20,5222.000000,261.10,deeplstm,20,4970.000000,248.50
53,shvr,20,1956.000000,97.80,deeplstm,20,2583.000000,129.15
54,shvr,20,3931.000000,196.55,deeplstm,20,5231.000000,261.55
55,shvr,20,7100.000000,355.00,deeplstm,20,5610.000000,280.50
56,shvr,20,6025.000000,301.25,deeplstm,20,7176.000000,358.80
57,shvr,20,3769.000000,188.45,deeplstm,20,4780.000000,239.00
58,shvr,20,4466.000000,223.30,deeplstm,20,7398.000000,369.90
59,shvr,20,4063.000000,203.15,deeplstm,20,1353.000000,67.65
60,shvr,20,3641.000000,182.05,deeplstm,20,5036.000000,251.80
61,shvr,20,5548.000000,277.40,deeplstm,20,3256.000000,162.80
62,shvr,20,4072.000000,203.60,deeplstm,20,8220.000000,411.00
63,shvr,20,4310.000000,215.50,deeplstm,20,2664.000000,133.20
64,shvr,20,5730.000000,286.50,deeplstm,20,6046.000000,302.30
65,shvr,20,2973.000000,148.65,deeplstm,20,2892.000000,144.60
66,shvr,20,4749.000000,237.45,deeplstm,20,5712.000000,285.60
67,shvr,20,4634.000000,231.70,deeplstm,20,8438.000000,421.90
68,shvr,20,2890.000000,144.50,deeplstm,20,3883.000000,194.15
69,shvr,20,5852.000000,292.60,deeplstm,20,5796.000000,289.80
70,shvr,20,3679.000000,183.95,deeplstm,20,9085.000000,454.25
71,shvr,20,5802.000000,290.10,deeplstm,20,3802.000000,190.10
72,shvr,20,3404.000000,170.20,deeplstm,20,5334.000000,266.70
73,shvr,20,2276.000000,113.80,deeplstm,20,2886.000000,144.30
74,shvr,20,3711.000000,185.55,deeplstm,20,3538.000000,176.90
75,shvr,20,6024.000000,301.20,deeplstm,20,7210.000000,360.50
76,shvr,20,6225.000000,311.25,deeplstm,20,5745.000000,287.25
77,shvr,20,4642.000000,232.10,deeplstm,20,1629.000000,81.45
78,shvr,20,6291.000000,314.55,deeplstm,20,1356.000000,67.80
79,shvr,20,6193.000000,309.65,deeplstm,20,3823.000000,191.15
80,shvr,20,1811.000000,90.55,deeplstm,20,4112.000000,205.60
81,shvr,20,1282.000000,64.10,deeplstm,20,5414.000000,270.70
82,shvr,20,2138.000000,106.90,deeplstm,20,6150.000000,307.50
83,shvr,20,4480.000000,224.00,deeplstm,20,8144.000000,407.20
84,shvr,20,2452.000000,122.60,deeplstm,20,7215.000000,360.75
85,shvr,20,2785.000000,139.25,deeplstm,20,5902.000000,295.10
86,shvr,20,3270.000000,163.50,deeplstm,20,3283.000000,164.15
87,shvr,20,3648.000000,182.40,deeplstm,20,5356.000000,267.80
88,shvr,20,5075.000000,253.75,deeplstm,20,1328.000000,66.40
89,shvr,20,4616.000000,230.80,deeplstm,20,7411.000000,370.55
90,shvr,20,2389.000000,119.45,deeplstm,20,9211.000000,460.55
91,shvr,20,6059.000000,302.95,deeplstm,20,2113.000000,105.65
92,shvr,20,1485.000000,74.25,deeplstm,20,6224.000000,311.20
93,shvr,20,2365.000000,118.25,deeplstm,20,7240.000000,362.00
94,shvr,20,3717.000000,185.85,deeplstm,20,1788.000000,89.40
95,shvr,20,6247.000000,312.35,deeplstm,20,4957.000000,247.85
96,shvr,20,1561.000000,78.05,deeplstm,20,4394.000000,219.70
97,shvr,20,4956.000000,247.80,deeplstm,20,5760.000000,288.00
98,shvr,20,3644.000000,182.20,deeplstm,20,3755.000000,187.75
