trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,shvr,20,4735.000000,236.75,deepxgb,20,4927.000000,246.35
2,shvr,20,2321.000000,116.05,deepxgb,20,4756.000000,237.80
3,shvr,20,1221.000000,61.05,deepxgb,20,3550.000000,177.50
4,shvr,20,2872.000000,143.60,deepxgb,20,5130.000000,256.50
5,shvr,20,2788.000000,139.40,deepxgb,20,7147.000000,357.35
6,shvr,20,3348.000000,167.40,deepxgb,20,5083.000000,254.15
7,shvr,20,1641.000000,82.05,deepxgb,20,5283.000000,264.15
8,shvr,20,5115.000000,255.75,deepxgb,20,6569.000000,328.45
9,shvr,20,7324.000000,366.20,deepxgb,20,5922.000000,296.10
10,shvr,20,3768.000000,188.40,deepxgb,20,5339.000000,266.95
11,shvr,20,2483.000000,124.15,deepxgb,20,4796.000000,239.80
12,shvr,20,2202.000000,110.10,deepxgb,20,5678.000000,283.90
13,shvr,20,3243.000000,162.15,deepxgb,20,4268.000000,213.40
14,shvr,20,3338.000000,166.90,deepxgb,20,2919.000000,145.95
15,shvr,20,8451.000000,422.55,deepxgb,20,7528.000000,376.40
16,shvr,20,9604.000000,480.20,deepxgb,20,8349.000000,417.45
17,shvr,20,5221.000000,261.05,deepxgb,20,6031.000000,301.55
18,shvr,20,3363.000000,168.15,deepxgb,20,1823.000000,91.15
19,shvr,20,1361.000000,68.05,deepxgb,20,5734.000000,286.70
20,shvr,20,3649.000000,182.45,deepxgb,20,7182.000000,359.10
21,shvr,20,2289.000000,114.45,deepxgb,20,5170.000000,258.50
22,shvr,20,2807.000000,140.35,deepxgb,20,5130.000000,256.50
23,shvr,20,3376.000000,168.80,deepxgb,20,7023.000000,351.15
24,shvr,20,4190.000000,209.50,deepxgb,20,5061.000000,253.05
25,shvr,20,3163.000000,158.15,deepxgb,20,2214.000000,110.70
26,shvr,20,6302.000000,315.10,deepxgb,20,6125.000000,306.25
27,shvr,20,1707.000000,85.35,deepxgb,20,5435.000000,271.75
28,shvr,20,1771.000000,88.55,deepxgb,20,5829.000000,291.45
29,shvr,20,3379.000000,168.95,deepxgb,20,7071.000000,353.55
30,shvr,20,4339.000000,216.95,deepxgb,20,6668.000000,333.40
31,shvr,20,3442.000000,172.10,deepxgb,20,8136.000000,406.80
32,shvr,20,4083.000000,204.15,deepxgb,20,3582.000000,179.10
33,shvr,20,3906.000000,195.30,deepxgb,20,4795.000000,239.75
34,shvr,20,3086.000000,154.30,deepxgb,20,5014.000000,250.70
35,shvr,20,9236.000000,461.80,deepxgb,20,9935.000000,496.75
36,shvr,20,2799.000000,139.95,deepxgb,20,5743.000000,287.15
37,shvr,20,6550.000000,327.50,deepxgb,20,6731.000000,336.55
38,shvr,20,6190.000000,309.50,deepxgb,20,7401.000000,370.05
39,shvr,20,2520.000000,126.00,deepxgb,20,5130.000000,256.50
40,shvr,20,4690.000000,234.50,deepxgb,20,6514.000000,325.70
41,shvr,20,3073.000000,153.65,deepxgb,20,5678.000000,283.90
42,shvr,20,2559.000000,127.95,deepxgb,20,5442.000000,272.10
43,shvr,20,3264.000000,163.20,deepxgb,20,5799.000000,289.95
44,shvr,20,4773.000000,238.65,deepxgb,20,1977.000000,98.85
45,shvr,20,3688.000000,184.40,deepxgb,20,1520.000000,76.00
46,shvr,20,6052.000000,302.60,deepxgb,20,4454.000000,222.70
47,shvr,20,3101.000000,155.05,deepxgb,20,5196.000000,259.80
48,shvr,20,6269.000000,313.45,deepxgb,20,5605.000000,280.25
49,shvr,20,3749.000000,187.45,deepxgb,20,6250.000000,312.50
50,shvr,20,4006.000000,200.30,deepxgb,20,5072.000000,253.60
51,shvr,20,6892.000000,344.60,deepxgb,20,5782.000000,289.10
52,shvr,20,3529.000000,176.45,deepxgb,20,4928.000000,246.40
53,shvr,20,1836.000000,91.80,deepxgb,20,6356.000000,317.80
54,shvr,20,3397.000000,169.85,deepxgb,20,4479.000000,223.95
55,shvr,20,1906.000000,95.30,deepxgb,20,6301.000000,315.05
56,shvr,20,3889.000000,194.45,deepxgb,20,7150.000000,357.50
57,shvr,20,2874.000000,143.70,deepxgb,20,6817.000000,340.85
58,shvr,20,2537.000000,126.85,deepxgb,20,6961.000000,348.05
59,shvr,20,4628.000000,231.40,deepxgb,20,2073.000000,103.65
60,shvr,20,4800.000000,240.00,deepxgb,20,5160.000000,258.00
61,shvr,20,2311.000000,115.55,deepxgb,20,5568.000000,278.40
62,shvr,20,6091.000000,304.55,deepxgb,20,4515.000000,225.75
63,shvr,20,4423.000000,221.15,deepxgb,20,7213.000000,360.65
64,shvr,20,4255.000000,212.75,deepxgb,20,6010.000000,300.50
65,shvr,20,4496.000000,224.80,deepxgb,20,4771.000000,238.55
66,shvr,20,4260.000000,213.00,deepxgb,20,8463.000000,423.15
67,shvr,20,5093.000000,254.65,deepxgb,20,6894.000000,344.70
68,shvr,20,6138.000000,306.90,deepxgb,20,13485.000000,674.25
69,shvr,20,4660.000000,233.00,deepxgb,20,5662.000000,283.10
70,shvr,20,2307.000000,115.35,deepxgb,20,3239.000000,161.95
71,shvr,20,3735.000000,186.75,deepxgb,20,4701.000000,235.05
72,shvr,20,2486.000000,124.30,deepxgb,20,4195.000000,209.75
73,shvr,20,5838.000000,291.90,deepxgb,20,6245.000000,312.25
74,shvr,20,3695.000000,184.75,deepxgb,20,6111.000000,305.55
75,shvr,20,5714.000000,285.70,deepxgb,20,7390.000000,369.50
76,shvr,20,4182.000000,209.10,deepxgb,20,5791.000000,289.55
77,shvr,20,4260.000000,213.00,deepxgb,20,6773.000000,338.65
78,shvr,20,3460.000000,173.00,deepxgb,20,5794.000000,289.70
79,shvr,20,4751.000000,237.55,deepxgb,20,4960.000000,248.00
80,shvr,20,6155.000000,307.75,deepxgb,20,5577.000000,278.85
81,shvr,20,2356.000000,117.80,deepxgb,20,3982.000000,199.10
82,shvr,20,4249.000000,212.45,deepxgb,20,5768.000000,288.40
83,shvr,20,3762.000000,188.10,deepxgb,20,5625.000000,281.25
84,shvr,20,2100.000000,105.00,deepxgb,20,8089.000000,404.45
85,shvr,20,4869.000000,243.45,deepxgb,20,6875.000000,343.75
86,shvr,20,4991.000000,249.55,deepxgb,20,5541.000000,277.05
87,shvr,20,6124.000000,306.20,deepxgb,20,8288.000000,414.40
88,shvr,20,4795.000000,239.75,deepxgb,20,7073.000000,353.65
89,shvr,20,5275.000000,263.75,deepxgb,20,5057.000000,252.85
90,shvr,20,6003.000000,300.15,deepxgb,20,5461.000000,273.05
91,shvr,20,4522.000000,226.10,deepxgb,20,5558.000000,277.90
92,shvr,20,2355.000000,117.75,deepxgb,20,4708.000000,235.40
93,shvr,20,2144.000000,107.20,deepxgb,20,5987.000000,299.35
94,shvr,20,5604.000000,280.20,deepxgb,20,8848.000000,442.40
95,shvr,20,1560.000000,78.00,deepxgb,20,4761.000000,238.05
96,shvr,20,5914.000000,295.70,deepxgb,20,3873.000000,193.65
97,shvr,20,2474.000000,123.70,deepxgb,20,5397.000000,269.85
98,shvr,20,4370.000000,218.50,deepxgb,20,4739.000000,236.95
99,shvr,20,6728.000000,336.40,deepxgb,20,6967.000000,348.35
100,shvr,20,3820.000000,191.00,deepxgb,20,4773.000000,238.65
101,shvr,20,3122.000000,156.10,deepxgb,20,5006.000000,250.30
102,shvr,20,2138.000000,106.90,deepxgb,20,4479.000000,223.95
103,shvr,20,4501.000000,225.05,deepxgb,20,6520.000000,326.00
104,shvr,20,8074.000000,403.70,deepxgb,20,5079.000000,253.95
105,shvr,20,6063.000000,303.15,deepxgb,20,9183.000000,459.15
106,shvr,20,5403.000000,270.15,deepxgb,20,9539.000000,476.95
107,shvr,20,6101.000000,305.05,deepxgb,20,7295.000000,364.75
108,shvr,20,6895.000000,344.75,deepxgb,20,3195.000000,159.75
109,shvr,20,2352.000000,117.60,deepxgb,20,2592.000000,129.60
110,shvr,20,2384.000000,119.20,deepxgb,20,5930.000000,296.50
111,shvr,20,4540.000000,227.00,deepxgb,20,6173.000000,308.65
112,shvr,20,3288.000000,164.40,deepxgb,20,6201.000000,310.05
113,shvr,20,3763.000000,188.15,deepxgb,20,6618.000000,330.90
114,shvr,20,2948.000000,147.40,deepxgb,20,5474.000000,273.70
115,shvr,20,3602.000000,180.10,deepxgb,20,5457.000000,272.85
116,shvr,20,2301.000000,115.05,deepxgb,20,3998.000000,199.90
117,shvr,20,6228.000000,311.40,deepxgb,20,7049.000000,352.45
118,shvr,20,3444.000000,172.20,deepxgb,20,5368.000000,268.40
119,shvr,20,3157.000000,157.85,deepxgb,20,4785.000000,239.25
