trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,vwap,20,4128.000000,206.400000,deeplstm,20,3676.000000,183.80
2,vwap,20,4154.000000,207.700000,deeplstm,20,3064.000000,153.20
3,vwap,20,3941.000000,197.050000,deeplstm,20,4269.000000,213.45
4,vwap,20,2894.000000,144.700000,deeplstm,20,4823.000000,241.15
5,vwap,20,4171.000000,208.550000,deeplstm,20,4748.000000,237.40
6,vwap,20,4045.000000,202.250000,deeplstm,20,6128.000000,306.40
7,vwap,20,2951.000000,147.550000,deeplstm,20,3232.000000,161.60
8,vwap,20,4527.000000,226.350000,deeplstm,20,3769.000000,188.45
9,vwap,20,3135.000000,156.750000,deeplstm,20,3698.000000,184.90
10,vwap,20,3387.000000,169.350000,deeplstm,20,3077.000000,153.85
11,vwap,20,3567.000000,178.350000,deeplstm,20,4581.000000,229.05
12,vwap,20,2863.000000,143.150000,deeplstm,20,4856.000000,242.80
13,vwap,20,4192.000000,209.600000,deeplstm,20,3031.000000,151.55
14,vwap,20,3375.000000,168.750000,deeplstm,20,3711.000000,185.55
15,vwap,20,3246.000000,162.300000,deeplstm,20,3656.000000,182.80
16,vwap,20,3731.000000,186.550000,deeplstm,20,2345.000000,117.25
17,vwap,20,4702.000000,235.100000,deeplstm,20,4742.000000,237.10
18,vwap,20,3362.000000,168.100000,deeplstm,20,4611.000000,230.55
19,vwap,20,3183.000000,159.150000,deeplstm,20,2674.000000,133.70
20,vwap,20,3755.000000,187.750000,deeplstm,20,3801.000000,190.05
21,vwap,20,4255.000000,212.750000,deeplstm,20,3083.000000,154.15
22,vwap,20,4225.000000,211.250000,deeplstm,20,4498.000000,224.90
23,vwap,20,2866.000000,143.300000,deeplstm,20,4221.000000,211.05
24,vwap,20,4050.000000,202.500000,deeplstm,20,3960.000000,198.00
25,vwap,20,3217.000000,160.850000,deeplstm,20,4519.000000,225.95
26,vwap,20,3634.000000,181.700000,deeplstm,20,5282.000000,264.10
27,vwap,20,2644.000000,132.200000,deeplstm,20,3505.000000,175.25
28,vwap,20,3806.000000,190.300000,deeplstm,20,4405.000000,220.25
29,vwap,20,3776.000000,188.800000,deeplstm,20,3187.000000,159.35
30,vwap,20,2534.000000,126.700000,deeplstm,20,4217.000000,210.85
31,vwap,20,3276.000000,163.800000,deeplstm,20,5245.000000,262.25
32,vwap,20,3033.000000,151.650000,deeplstm,20,4643.000000,232.15
33,vwap,20,3483.000000,174.150000,deeplstm,20,4852.000000,242.60
34,vwap,20,3696.000000,184.800000,deeplstm,20,3061.000000,153.05
