trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,vwap,20,4617.000000,230.850000,deepxgb,20,4825.000000,241.25
2,vwap,20,4608.000000,230.400000,deepxgb,20,4486.000000,224.30
3,vwap,20,4176.000000,208.800000,deepxgb,20,4511.000000,225.55
4,vwap,20,3554.000000,177.700000,deepxgb,20,3966.000000,198.30
5,vwap,20,4376.000000,218.800000,deepxgb,20,3135.000000,156.75
6,vwap,20,4449.000000,222.450000,deepxgb,20,5566.000000,278.30
7,vwap,20,4094.000000,204.700000,deepxgb,20,2681.000000,134.05
8,vwap,20,4544.000000,227.200000,deepxgb,20,5636.000000,281.80
9,vwap,20,4127.000000,206.350000,deepxgb,20,5732.000000,286.60
10,vwap,20,4561.000000,228.050000,deepxgb,20,3343.000000,167.15
11,vwap,20,3572.000000,178.600000,deepxgb,20,4435.000000,221.75
12,vwap,20,3413.000000,170.650000,deepxgb,20,4236.000000,211.80
13,vwap,20,4320.000000,216.000000,deepxgb,20,5033.000000,251.65
14,vwap,20,4491.000000,224.550000,deepxgb,20,3167.000000,158.35
15,vwap,20,5273.000000,263.650000,deepxgb,20,2841.000000,142.05
16,vwap,20,4629.000000,231.450000,deepxgb,20,4501.000000,225.05
17,vwap,20,4584.000000,229.200000,deepxgb,20,5970.000000,298.50
18,vwap,20,5238.000000,261.900000,deepxgb,20,4550.000000,227.50
19,vwap,20,5790.000000,289.500000,deepxgb,20,2802.000000,140.10
20,vwap,20,3298.000000,164.900000,deepxgb,20,4647.000000,232.35
21,vwap,20,4665.000000,233.250000,deepxgb,20,5076.000000,253.80
22,vwap,20,4815.000000,240.750000,deepxgb,20,5643.000000,282.15
23,vwap,20,4654.000000,232.700000,deepxgb,20,4721.000000,236.05
24,vwap,20,5807.000000,290.350000,deepxgb,20,5441.000000,272.05
25,vwap,20,4224.000000,211.200000,deepxgb,20,6114.000000,305.70
26,vwap,20,4630.000000,231.500000,deepxgb,20,4435.000000,221.75
27,vwap,20,2805.000000,140.250000,deepxgb,20,3554.000000,177.70
28,vwap,20,4560.000000,228.000000,deepxgb,20,4640.000000,232.00
29,vwap,20,4758.000000,237.900000,deepxgb,20,5223.000000,261.15
30,vwap,20,3143.000000,157.150000,deepxgb,20,3431.000000,171.55
31,vwap,20,3799.000000,189.950000,deepxgb,20,5039.000000,251.95
32,vwap,20,5140.000000,257.000000,deepxgb,20,5458.000000,272.90
33,vwap,20,3064.000000,153.200000,deepxgb,20,2375.000000,118.75
34,vwap,20,4055.000000,202.750000,deepxgb,20,4323.000000,216.15
35,vwap,20,4068.000000,203.400000,deepxgb,20,6193.000000,309.65
36,vwap,20,4466.000000,223.300000,deepxgb,20,5072.000000,253.60
37,vwap,20,3768.000000,188.400000,deepxgb,20,4161.000000,208.05
38,vwap,20,4245.000000,212.250000,deepxgb,20,3632.000000,181.60
39,vwap,20,4470.000000,223.500000,deepxgb,20,3805.000000,190.25
40,vwap,20,3419.000000,170.950000,deepxgb,20,4612.000000,230.60
41,vwap,20,3244.000000,162.200000,deepxgb,20,4654.000000,232.70
42,vwap,20,3506.000000,175.300000,deepxgb,20,4594.000000,229.70
43,vwap,20,3349.000000,167.450000,deepxgb,20,4569.000000,228.45
44,vwap,20,4442.000000,222.100000,deepxgb,20,5379.000000,268.95
45,vwap,20,4071.000000,203.550000,deepxgb,20,4123.000000,206.15
46,vwap,20,3600.000000,180.000000,deepxgb,20,5014.000000,250.70
47,vwap,20,3454.000000,172.700000,deepxgb,20,5777.000000,288.85
48,vwap,20,3684.000000,184.200000,deepxgb,20,6785.000000,339.25
49,vwap,20,4482.000000,224.100000,deepxgb,20,6974.000000,348.70
50,vwap,20,3287.000000,164.350000,deepxgb,20,5238.000000,261.90
51,vwap,20,3671.000000,183.550000,deepxgb,20,2320.000000,116.00
52,vwap,20,3512.000000,175.600000,deepxgb,20,4931.000000,246.55
53,vwap,20,4872.000000,243.600000,deepxgb,20,3876.000000,193.80
54,vwap,20,4215.000000,210.750000,deepxgb,20,3717.000000,185.85
55,vwap,20,4587.000000,229.350000,deepxgb,20,3062.000000,153.10
56,vwap,20,3300.000000,165.000000,deepxgb,20,4872.000000,243.60
57,vwap,20,4604.000000,230.200000,deepxgb,20,2460.000000,123.00
58,vwap,20,4522.000000,226.100000,deepxgb,20,4345.000000,217.25
59,vwap,20,4182.000000,209.100000,deepxgb,20,3768.000000,188.40
60,vwap,20,3482.000000,174.100000,deepxgb,20,5298.000000,264.90
61,vwap,20,3540.000000,177.000000,deepxgb,20,2534.000000,126.70
62,vwap,20,5546.000000,277.300000,deepxgb,20,4196.000000,209.80
63,vwap,20,3868.000000,193.400000,deepxgb,20,4229.000000,211.45
64,vwap,20,4140.000000,207.000000,deepxgb,20,4015.000000,200.75
65,vwap,20,3675.000000,183.750000,deepxgb,20,4729.000000,236.45
66,vwap,20,5755.000000,287.750000,deepxgb,20,4738.000000,236.90
67,vwap,20,4345.000000,217.250000,deepxgb,20,5233.000000,261.65
68,vwap,20,4414.000000,220.700000,deepxgb,20,6567.000000,328.35
69,vwap,20,3418.000000,170.900000,deepxgb,20,5508.000000,275.40
70,vwap,20,4290.000000,214.500000,deepxgb,20,3970.000000,198.50
71,vwap,20,4125.000000,206.250000,deepxgb,20,4066.000000,203.30
72,vwap,20,2905.000000,145.250000,deepxgb,20,3419.000000,170.95
73,vwap,20,3700.000000,185.000000,deepxgb,20,4137.000000,206.85
74,vwap,20,5749.000000,287.450000,deepxgb,20,3043.000000,152.15
75,vwap,20,3801.000000,190.050000,deepxgb,20,3396.000000,169.80
76,vwap,20,3424.000000,171.200000,deepxgb,20,3765.000000,188.25
77,vwap,20,3424.000000,171.200000,deepxgb,20,2748.000000,137.40
78,vwap,20,4710.000000,235.500000,deepxgb,20,2349.000000,117.45
79,vwap,20,4006.000000,200.300000,deepxgb,20,4967.000000,248.35
80,vwap,20,3895.000000,194.750000,deepxgb,20,4442.000000,222.10
81,vwap,20,5050.000000,252.500000,deepxgb,20,4524.000000,226.20
82,vwap,20,4157.000000,207.850000,deepxgb,20,4948.000000,247.40
83,vwap,20,5039.000000,251.950000,deepxgb,20,5703.000000,285.15
84,vwap,20,4908.000000,245.400000,deepxgb,20,5622.000000,281.10
85,vwap,20,5479.000000,273.950000,deepxgb,20,3343.000000,167.15
86,vwap,20,4476.000000,223.800000,deepxgb,20,5392.000000,269.60
87,vwap,20,3300.000000,165.000000,deepxgb,20,4728.000000,236.40
88,vwap,20,3584.000000,179.200000,deepxgb,20,4371.000000,218.55
89,vwap,20,3314.000000,165.700000,deepxgb,20,4215.000000,210.75
90,vwap,20,4285.000000,214.250000,deepxgb,20,5321.000000,266.05
91,vwap,20,2962.000000,148.100000,deepxgb,20,3250.000000,162.50
92,vwap,20,4164.000000,208.200000,deepxgb,20,4215.000000,210.75
93,vwap,20,4282.000000,214.100000,deepxgb,20,5357.000000,267.85
94,vwap,20,4153.000000,207.650000,deepxgb,20,5216.000000,260.80
95,vwap,20,4160.000000,208.000000,deepxgb,20,5883.000000,294.15
96,vwap,20,5062.000000,253.100000,deepxgb,20,3071.000000,153.55
97,vwap,20,4345.000000,217.250000,deepxgb,20,2936.000000,146.80
98,vwap,20,3590.000000,179.500000,deepxgb,20,5015.000000,250.75
99,vwap,20,4261.000000,213.050000,deepxgb,20,3243.000000,162.15
100,vwap,20,4912.000000,245.600000,deepxgb,20,1769.000000,88.45
101,vwap,20,4483.000000,224.150000,deepxgb,20,2698.000000,134.90
102,vwap,20,4186.000000,209.300000,deepxgb,20,5182.000000,259.10
103,vwap,20,4905.000000,245.250000,deepxgb,20,5425.000000,271.25
104,vwap,20,3313.000000,165.650000,deepxgb,20,4734.000000,236.70
105,vwap,20,3639.000000,181.950000,deepxgb,20,4144.000000,207.20
106,vwap,20,3836.000000,191.800000,deepxgb,20,6029.000000,301.45
107,vwap,20,3311.000000,165.550000,deepxgb,20,3429.000000,171.45
108,vwap,20,4148.000000,207.400000,deepxgb,20,5331.000000,266.55
109,vwap,20,5124.000000,256.200000,deepxgb,20,4743.000000,237.15
110,vwap,20,4670.000000,233.500000,deepxgb,20,2948.000000,147.40
111,vwap,20,5159.000000,257.950000,deepxgb,20,4328.000000,216.40
112,vwap,20,5407.000000,270.350000,deepxgb,20,2500.000000,125.00
113,vwap,20,3454.000000,172.700000,deepxgb,20,3493.000000,174.65
114,vwap,20,4789.000000,239.450000,deepxgb,20,3980.000000,199.00
115,vwap,20,3717.000000,185.850000,deepxgb,20,3550.000000,177.50
116,vwap,20,4097.000000,204.850000,deepxgb,20,5063.000000,253.15
117,vwap,20,3933.000000,196.650000,deepxgb,20,4730.000000,236.50
118,vwap,20,2682.000000,134.100000,deepxgb,20,6254.000000,312.70
119,vwap,20,4303.000000,215.150000,deepxgb,20,5373.000000,268.65
120,vwap,20,5163.000000,258.150000,deepxgb,20,4451.000000,222.55
121,vwap,20,3435.000000,171.750000,deepxgb,20,4593.000000,229.65
122,vwap,20,3914.000000,195.700000,deepxgb,20,3294.000000,164.70
123,vwap,20,4543.000000,227.150000,deepxgb,20,6103.000000,305.15
124,vwap,20,3188.000000,159.400000,deepxgb,20,3709.000000,185.45
125,vwap,20,4531.000000,226.550000,deepxgb,20,3778.000000,188.90
126,vwap,20,4167.000000,208.350000,deepxgb,20,1639.000000,81.95
127,vwap,20,3292.000000,164.600000,deepxgb,20,3817.000000,190.85
128,vwap,20,4046.000000,202.300000,deepxgb,20,5512.000000,275.60
129,vwap,20,4637.000000,231.850000,deepxgb,20,5723.000000,286.15
130,vwap,20,3291.000000,164.550000,deepxgb,20,3998.000000,199.90
131,vwap,20,5277.000000,263.850000,deepxgb,20,4622.000000,231.10
132,vwap,20,4666.000000,233.300000,deepxgb,20,5348.000000,267.40
133,vwap,20,3246.000000,162.300000,deepxgb,20,4580.000000,229.00
134,vwap,20,5196.000000,259.800000,deepxgb,20,5690.000000,284.50
135,vwap,20,4188.000000,209.400000,deepxgb,20,5497.000000,274.85
136,vwap,20,4488.000000,224.400000,deepxgb,20,4456.000000,222.80
137,vwap,20,3610.000000,180.500000,deepxgb,20,5186.000000,259.30
138,vwap,20,4243.000000,212.150000,deepxgb,20,3177.000000,158.85
139,vwap,20,2744.000000,137.200000,deepxgb,20,4033.000000,201.65
