trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zic,20,1950.000000,97.50,deeplstm,20,1657.000000,82.85
2,zic,20,2157.000000,107.85,deeplstm,20,3765.000000,188.25
3,zic,20,2079.000000,103.95,deeplstm,20,3195.000000,159.75
4,zic,20,1187.000000,59.35,deeplstm,20,2649.000000,132.45
5,zic,20,2088.000000,104.40,deeplstm,20,1984.000000,99.20
6,zic,20,1310.000000,65.50,deeplstm,20,3758.000000,187.90
7,zic,20,1487.000000,74.35,deeplstm,20,676.000000,33.80
8,zic,20,1663.000000,83.15,deeplstm,20,448.000000,22.40
9,zic,20,1686.000000,84.30,deeplstm,20,3754.000000,187.70
10,zic,20,1461.000000,73.05,deeplstm,20,2240.000000,112.00
11,zic,20,903.000000,45.15,deeplstm,20,2812.000000,140.60
12,zic,20,1192.000000,59.60,deeplstm,20,3878.000000,193.90
13,zic,20,2095.000000,104.75,deeplstm,20,3290.000000,164.50
14,zic,20,2502.000000,125.10,deeplstm,20,2498.000000,124.90
15,zic,20,1508.000000,75.40,deeplstm,20,376.000000,18.80
16,zic,20,2360.000000,118.00,deeplstm,20,3677.000000,183.85
17,zic,20,1006.000000,50.30,deeplstm,20,1994.000000,99.70
18,zic,20,2133.000000,106.65,deeplstm,20,910.000000,45.50
19,zic,20,1283.000000,64.15,deeplstm,20,2675.000000,133.75
20,zic,20,1497.000000,74.85,deeplstm,20,1009.000000,50.45
21,zic,20,1165.000000,58.25,deeplstm,20,761.000000,38.05
22,zic,20,1316.000000,65.80,deeplstm,20,1740.000000,87.00
23,zic,20,2452.000000,122.60,deeplstm,20,3901.000000,195.05
24,zic,20,1197.000000,59.85,deeplstm,20,2671.000000,133.55
25,zic,20,1746.000000,87.30,deeplstm,20,868.000000,43.40
26,zic,20,1728.000000,86.40,deeplstm,20,756.000000,37.80
27,zic,20,1361.000000,68.05,deeplstm,20,3486.000000,174.30
28,zic,20,1504.000000,75.20,deeplstm,20,1974.000000,98.70
29,zic,20,1579.000000,78.95,deeplstm,20,2204.000000,110.20
30,zic,20,1641.000000,82.05,deeplstm,20,1086.000000,54.30
31,zic,20,1302.000000,65.10,deeplstm,20,4876.000000,243.80
32,zic,20,1340.000000,67.00,deeplstm,20,2297.000000,114.85
33,zic,20,2769.000000,138.45,deeplstm,20,2865.000000,143.25
34,zic,20,1564.000000,78.20,deeplstm,20,1149.000000,57.45
35,zic,20,1264.000000,63.20,deeplstm,20,3188.000000,159.40
36,zic,20,2351.000000,117.55,deeplstm,20,3501.000000,175.05
37,zic,20,1881.000000,94.05,deeplstm,20,2534.000000,126.70
38,zic,20,1461.000000,73.05,deeplstm,20,1478.000000,73.90
39,zic,20,1878.000000,93.90,deeplstm,20,2826.000000,141.30
40,zic,20,1962.000000,98.10,deeplstm,20,2615.000000,130.75
41,zic,20,1466.000000,73.30,deeplstm,20,2353.000000,117.65
42,zic,20,1690.000000,84.50,deeplstm,20,1258.000000,62.90
43,zic,20,2161.000000,108.05,deeplstm,20,2348.000000,117.40
44,zic,20,1261.000000,63.05,deeplstm,20,936.000000,46.80
45,zic,20,3327.000000,166.35,deeplstm,20,168.000000,8.40
46,zic,20,2478.000000,123.90,deeplstm,20,5005.000000,250.25
