trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zic,20,1189.000000,59.45,deepxgb,20,3968.000000,198.40
2,zic,20,1648.000000,82.40,deepxgb,20,2821.000000,141.05
3,zic,20,1736.000000,86.80,deepxgb,20,4767.000000,238.35
4,zic,20,1786.000000,89.30,deepxgb,20,3026.000000,151.30
5,zic,20,754.000000,37.70,deepxgb,20,2092.000000,104.60
6,zic,20,1538.000000,76.90,deepxgb,20,3445.000000,172.25
7,zic,20,1051.000000,52.55,deepxgb,20,3454.000000,172.70
8,zic,20,1212.000000,60.60,deepxgb,20,3286.000000,164.30
9,zic,20,2565.000000,128.25,deepxgb,20,4818.000000,240.90
10,zic,20,2090.000000,104.50,deepxgb,20,5269.000000,263.45
11,zic,20,2631.000000,131.55,deepxgb,20,3576.000000,178.80
12,zic,20,2925.000000,146.25,deepxgb,20,1836.000000,91.80
13,zic,20,2144.000000,107.20,deepxgb,20,5277.000000,263.85
14,zic,20,1446.000000,72.30,deepxgb,20,1168.000000,58.40
15,zic,20,1945.000000,97.25,deepxgb,20,2268.000000,113.40
16,zic,20,1439.000000,71.95,deepxgb,20,2198.000000,109.90
17,zic,20,991.000000,49.55,deepxgb,20,1937.000000,96.85
18,zic,20,3020.000000,151.00,deepxgb,20,2956.000000,147.80
19,zic,20,1639.000000,81.95,deepxgb,20,2107.000000,105.35
20,zic,20,1800.000000,90.00,deepxgb,20,5607.000000,280.35
21,zic,20,1199.000000,59.95,deepxgb,20,3648.000000,182.40
22,zic,20,1084.000000,54.20,deepxgb,20,5061.000000,253.05
23,zic,20,1672.000000,83.60,deepxgb,20,4490.000000,224.50
24,zic,20,1924.000000,96.20,deepxgb,20,2997.000000,149.85
25,zic,20,1391.000000,69.55,deepxgb,20,4508.000000,225.40
26,zic,20,740.000000,37.00,deepxgb,20,2795.000000,139.75
27,zic,20,961.000000,48.05,deepxgb,20,1728.000000,86.40
28,zic,20,1267.000000,63.35,deepxgb,20,1106.000000,55.30
29,zic,20,1876.000000,93.80,deepxgb,20,4693.000000,234.65
30,zic,20,1641.000000,82.05,deepxgb,20,1562.000000,78.10
31,zic,20,1427.000000,71.35,deepxgb,20,2057.000000,102.85
32,zic,20,1765.000000,88.25,deepxgb,20,3968.000000,198.40
33,zic,20,1765.000000,88.25,deepxgb,20,2797.000000,139.85
34,zic,20,1410.000000,70.50,deepxgb,20,3972.000000,198.60
35,zic,20,2055.000000,102.75,deepxgb,20,4215.000000,210.75
36,zic,20,2040.000000,102.00,deepxgb,20,1930.000000,96.50
37,zic,20,2567.000000,128.35,deepxgb,20,3535.000000,176.75
38,zic,20,1996.000000,99.80,deepxgb,20,3442.000000,172.10
39,zic,20,1713.000000,85.65,deepxgb,20,4415.000000,220.75
40,zic,20,1268.000000,63.40,deepxgb,20,1563.000000,78.15
41,zic,20,1965.000000,98.25,deepxgb,20,2410.000000,120.50
42,zic,20,1978.000000,98.90,deepxgb,20,2330.000000,116.50
43,zic,20,1838.000000,91.90,deepxgb,20,4041.000000,202.05
44,zic,20,1646.000000,82.30,deepxgb,20,3807.000000,190.35
45,zic,20,1178.000000,58.90,deepxgb,20,3790.000000,189.50
46,zic,20,2096.000000,104.80,deepxgb,20,4697.000000,234.85
47,zic,20,1603.000000,80.15,deepxgb,20,2698.000000,134.90
48,zic,20,2313.000000,115.65,deepxgb,20,4193.000000,209.65
49,zic,20,1645.000000,82.25,deepxgb,20,2588.000000,129.40
50,zic,20,2861.000000,143.05,deepxgb,20,5543.000000,277.15
51,zic,20,1505.000000,75.25,deepxgb,20,4128.000000,206.40
52,zic,20,2336.000000,116.80,deepxgb,20,3600.000000,180.00
53,zic,20,1726.000000,86.30,deepxgb,20,2484.000000,124.20
54,zic,20,1886.000000,94.30,deepxgb,20,3858.000000,192.90
55,zic,20,2463.000000,123.15,deepxgb,20,2191.000000,109.55
56,zic,20,1952.000000,97.60,deepxgb,20,4413.000000,220.65
