trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zip,20,4686.000000,234.300000,deeplstm,20,1407.000000,70.35
2,zip,20,2846.000000,142.300000,deeplstm,20,2825.000000,141.25
3,zip,20,2707.000000,135.350000,deeplstm,20,7036.000000,351.80
4,zip,20,5179.000000,258.950000,deeplstm,20,2676.000000,133.80
5,zip,20,4179.000000,208.950000,deeplstm,20,3323.000000,166.15
6,zip,20,4096.000000,204.800000,deeplstm,20,3204.000000,160.20
7,zip,20,3607.000000,180.350000,deeplstm,20,4987.000000,249.35
8,zip,20,4081.000000,204.050000,deeplstm,20,3774.000000,188.70
9,zip,20,5121.000000,256.050000,deeplstm,20,4819.000000,240.95
10,zip,20,4010.000000,200.500000,deeplstm,20,3016.000000,150.80
11,zip,20,4202.000000,210.100000,deeplstm,20,3355.000000,167.75
12,zip,20,3539.000000,176.950000,deeplstm,20,7554.000000,377.70
13,zip,20,3677.000000,183.850000,deeplstm,20,3791.000000,189.55
14,zip,20,4686.000000,234.300000,deeplstm,20,2422.000000,121.10
15,zip,20,2489.000000,124.450000,deeplstm,20,4451.000000,222.55
16,zip,20,4542.000000,227.100000,deeplstm,20,3961.000000,198.05
17,zip,20,3888.000000,194.400000,deeplstm,20,2189.000000,109.45
18,zip,20,4674.000000,233.700000,deeplstm,20,4038.000000,201.90
19,zip,20,3052.000000,152.600000,deeplstm,20,3892.000000,194.60
20,zip,20,3673.000000,183.650000,deeplstm,20,4796.000000,239.80
21,zip,20,3103.000000,155.150000,deeplstm,20,4204.000000,210.20
22,zip,20,4803.000000,240.150000,deeplstm,20,4126.000000,206.30
23,zip,20,3860.000000,193.000000,deeplstm,20,5376.000000,268.80
24,zip,20,5067.000000,253.350000,deeplstm,20,3269.000000,163.45
25,zip,20,4219.000000,210.950000,deeplstm,20,2917.000000,145.85
26,zip,20,3816.000000,190.800000,deeplstm,20,4938.000000,246.90
27,zip,20,3960.000000,198.000000,deeplstm,20,3743.000000,187.15
28,zip,20,2913.000000,145.650000,deeplstm,20,3817.000000,190.85
29,zip,20,4021.000000,201.050000,deeplstm,20,4615.000000,230.75
30,zip,20,3285.000000,164.250000,deeplstm,20,3961.000000,198.05
31,zip,20,2142.000000,107.100000,deeplstm,20,4187.000000,209.35
32,zip,20,2431.000000,121.550000,deeplstm,20,4370.000000,218.50
33,zip,20,3242.000000,162.100000,deeplstm,20,4834.000000,241.70
34,zip,20,3217.000000,160.850000,deeplstm,20,3068.000000,153.40
35,zip,20,3443.000000,172.150000,deeplstm,20,4140.000000,207.00
36,zip,20,3738.000000,186.900000,deeplstm,20,3939.000000,196.95
37,zip,20,2574.000000,128.700000,deeplstm,20,5661.000000,283.05
38,zip,20,4116.000000,205.800000,deeplstm,20,3777.000000,188.85
39,zip,20,3835.000000,191.750000,deeplstm,20,3390.000000,169.50
40,zip,20,5609.000000,280.450000,deeplstm,20,3011.000000,150.55
41,zip,20,5114.000000,255.700000,deeplstm,20,2273.000000,113.65
42,zip,20,4073.000000,203.650000,deeplstm,20,2913.000000,145.65
43,zip,20,4894.000000,244.700000,deeplstm,20,4153.000000,207.65
44,zip,20,4778.000000,238.900000,deeplstm,20,3295.000000,164.75
45,zip,20,2964.000000,148.200000,deeplstm,20,4657.000000,232.85
46,zip,20,3751.000000,187.550000,deeplstm,20,5539.000000,276.95
47,zip,20,3027.000000,151.350000,deeplstm,20,3063.000000,153.15
48,zip,20,3620.000000,181.000000,deeplstm,20,3350.000000,167.50
49,zip,20,4225.000000,211.250000,deeplstm,20,5794.000000,289.70
50,zip,20,4162.000000,208.100000,deeplstm,20,5156.000000,257.80
51,zip,20,4231.000000,211.550000,deeplstm,20,2172.000000,108.60
52,zip,20,3881.000000,194.050000,deeplstm,20,4895.000000,244.75
53,zip,20,3870.000000,193.500000,deeplstm,20,3721.000000,186.05
54,zip,20,3442.000000,172.100000,deeplstm,20,4825.000000,241.25
55,zip,20,4291.000000,214.550000,deeplstm,20,1743.000000,87.15
56,zip,20,3178.000000,158.900000,deeplstm,20,3714.000000,185.70
57,zip,20,3547.000000,177.350000,deeplstm,20,2509.000000,125.45
58,zip,20,5030.000000,251.500000,deeplstm,20,2286.000000,114.30
59,zip,20,3006.000000,150.300000,deeplstm,20,1949.000000,97.45
60,zip,20,3934.000000,196.700000,deeplstm,20,3835.000000,191.75
61,zip,20,3680.000000,184.000000,deeplstm,20,4786.000000,239.30
62,zip,20,3808.000000,190.400000,deeplstm,20,1686.000000,84.30
63,zip,20,4407.000000,220.350000,deeplstm,20,2869.000000,143.45
64,zip,20,4668.000000,233.400000,deeplstm,20,3156.000000,157.80
65,zip,20,4240.000000,212.000000,deeplstm,20,4677.000000,233.85
66,zip,20,2736.000000,136.800000,deeplstm,20,5815.000000,290.75
67,zip,20,4557.000000,227.850000,deeplstm,20,2977.000000,148.85
68,zip,20,4325.000000,216.250000,deeplstm,20,2194.000000,109.70
69,zip,20,4996.000000,249.800000,deeplstm,20,2490.000000,124.50
70,zip,20,3271.000000,163.550000,deeplstm,20,4039.000000,201.95
71,zip,20,3185.000000,159.250000,deeplstm,20,3825.000000,191.25
72,zip,20,3499.000000,174.950000,deeplstm,20,3842.000000,192.10
73,zip,20,3736.000000,186.800000,deeplstm,20,2799.000000,139.95
74,zip,20,2666.000000,133.300000,deeplstm,20,2782.000000,139.10
75,zip,20,4730.000000,236.500000,deeplstm,20,4609.000000,230.45
76,zip,20,3484.000000,174.200000,deeplstm,20,2318.000000,115.90
77,zip,20,3414.000000,170.700000,deeplstm,20,2191.000000,109.55
78,zip,20,5350.000000,267.500000,deeplstm,20,1863.000000,93.15
79,zip,20,4400.000000,220.000000,deeplstm,20,3205.000000,160.25
