trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zip,20,3527.000000,176.35,deepxgb,20,3222.000000,161.10
2,zip,20,3203.000000,160.15,deepxgb,20,3608.000000,180.40
3,zip,20,2754.000000,137.70,deepxgb,20,4381.000000,219.05
4,zip,20,2856.000000,142.80,deepxgb,20,3971.000000,198.55
5,zip,20,3151.000000,157.55,deepxgb,20,4944.000000,247.20
6,zip,20,3774.000000,188.70,deepxgb,20,3379.000000,168.95
7,zip,20,4859.000000,242.95,deepxgb,20,4391.000000,219.55
8,zip,20,3562.000000,178.10,deepxgb,20,1918.000000,95.90
9,zip,20,4201.000000,210.05,deepxgb,20,2915.000000,145.75
10,zip,20,2863.000000,143.15,deepxgb,20,2366.000000,118.30
11,zip,20,3654.000000,182.70,deepxgb,20,5041.000000,252.05
12,zip,20,3213.000000,160.65,deepxgb,20,5115.000000,255.75
13,zip,20,4279.000000,213.95,deepxgb,20,2956.000000,147.80
14,zip,20,3668.000000,183.40,deepxgb,20,3762.000000,188.10
15,zip,20,4196.000000,209.80,deepxgb,20,3214.000000,160.70
16,zip,20,3475.000000,173.75,deepxgb,20,3156.000000,157.80
17,zip,20,2889.000000,144.45,deepxgb,20,3571.000000,178.55
18,zip,20,4259.000000,212.95,deepxgb,20,3011.000000,150.55
19,zip,20,4066.000000,203.30,deepxgb,20,3111.000000,155.55
20,zip,20,3990.000000,199.50,deepxgb,20,1121.000000,56.05
21,zip,20,3573.000000,178.65,deepxgb,20,2970.000000,148.50
22,zip,20,3995.000000,199.75,deepxgb,20,3469.000000,173.45
23,zip,20,2786.000000,139.30,deepxgb,20,4107.000000,205.35
24,zip,20,2705.000000,135.25,deepxgb,20,5222.000000,261.10
25,zip,20,4229.000000,211.45,deepxgb,20,1978.000000,98.90
26,zip,20,3572.000000,178.60,deepxgb,20,3029.000000,151.45
27,zip,20,2758.000000,137.90,deepxgb,20,1766.000000,88.30
28,zip,20,4949.000000,247.45,deepxgb,20,1783.000000,89.15
29,zip,20,3144.000000,157.20,deepxgb,20,3911.000000,195.55
30,zip,20,3692.000000,184.60,deepxgb,20,2232.000000,111.60
31,zip,20,3613.000000,180.65,deepxgb,20,6951.000000,347.55
32,zip,20,3420.000000,171.00,deepxgb,20,3261.000000,163.05
33,zip,20,3140.000000,157.00,deepxgb,20,5057.000000,252.85
34,zip,20,4228.000000,211.40,deepxgb,20,3284.000000,164.20
35,zip,20,3351.000000,167.55,deepxgb,20,1086.000000,54.30
36,zip,20,2878.000000,143.90,deepxgb,20,4042.000000,202.10
37,zip,20,3701.000000,185.05,deepxgb,20,1168.000000,58.40
38,zip,20,4156.000000,207.80,deepxgb,20,4586.000000,229.30
39,zip,20,4042.000000,202.10,deepxgb,20,3562.000000,178.10
40,zip,20,4413.000000,220.65,deepxgb,20,3702.000000,185.10
41,zip,20,3549.000000,177.45,deepxgb,20,4443.000000,222.15
42,zip,20,3153.000000,157.65,deepxgb,20,2523.000000,126.15
43,zip,20,2061.000000,103.05,deepxgb,20,3459.000000,172.95
44,zip,20,4002.000000,200.10,deepxgb,20,4361.000000,218.05
45,zip,20,4012.000000,200.60,deepxgb,20,3646.000000,182.30
46,zip,20,3013.000000,150.65,deepxgb,20,4082.000000,204.10
47,zip,20,3508.000000,175.40,deepxgb,20,3913.000000,195.65
48,zip,20,2656.000000,132.80,deepxgb,20,3325.000000,166.25
49,zip,20,3486.000000,174.30,deepxgb,20,2658.000000,132.90
50,zip,20,3738.000000,186.90,deepxgb,20,3568.000000,178.40
51,zip,20,3488.000000,174.40,deepxgb,20,3153.000000,157.65
52,zip,20,3346.000000,167.30,deepxgb,20,3296.000000,164.80
53,zip,20,3650.000000,182.50,deepxgb,20,3024.000000,151.20
54,zip,20,3358.000000,167.90,deepxgb,20,2442.000000,122.10
55,zip,20,3119.000000,155.95,deepxgb,20,3864.000000,193.20
56,zip,20,5593.000000,279.65,deepxgb,20,3755.000000,187.75
57,zip,20,3666.000000,183.30,deepxgb,20,4295.000000,214.75
58,zip,20,3677.000000,183.85,deepxgb,20,3133.000000,156.65
59,zip,20,3845.000000,192.25,deepxgb,20,4260.000000,213.00
60,zip,20,2875.000000,143.75,deepxgb,20,3050.000000,152.50
61,zip,20,3541.000000,177.05,deepxgb,20,4563.000000,228.15
62,zip,20,3882.000000,194.10,deepxgb,20,1442.000000,72.10
63,zip,20,3075.000000,153.75,deepxgb,20,2244.000000,112.20
64,zip,20,2774.000000,138.70,deepxgb,20,3025.000000,151.25
65,zip,20,4362.000000,218.10,deepxgb,20,5299.000000,264.95
66,zip,20,2937.000000,146.85,deepxgb,20,3525.000000,176.25
67,zip,20,3577.000000,178.85,deepxgb,20,5098.000000,254.90
68,zip,20,4207.000000,210.35,deepxgb,20,4688.000000,234.40
69,zip,20,3168.000000,158.40,deepxgb,20,2849.000000,142.45
70,zip,20,2964.000000,148.20,deepxgb,20,3242.000000,162.10
71,zip,20,2971.000000,148.55,deepxgb,20,4527.000000,226.35
72,zip,20,3660.000000,183.00,deepxgb,20,4713.000000,235.65
73,zip,20,4511.000000,225.55,deepxgb,20,3445.000000,172.25
74,zip,20,3108.000000,155.40,deepxgb,20,2961.000000,148.05
75,zip,20,3799.000000,189.95,deepxgb,20,5347.000000,267.35
76,zip,20,4155.000000,207.75,deepxgb,20,5645.000000,282.25
77,zip,20,4144.000000,207.20,deepxgb,20,3727.000000,186.35
78,zip,20,3725.000000,186.25,deepxgb,20,2901.000000,145.05
79,zip,20,3101.000000,155.05,deepxgb,20,3788.000000,189.40
80,zip,20,4432.000000,221.60,deepxgb,20,4189.000000,209.45
81,zip,20,3834.000000,191.70,deepxgb,20,4035.000000,201.75
82,zip,20,2971.000000,148.55,deepxgb,20,2141.000000,107.05
83,zip,20,2817.000000,140.85,deepxgb,20,3958.000000,197.90
84,zip,20,2959.000000,147.95,deepxgb,20,3230.000000,161.50
85,zip,20,4010.000000,200.50,deepxgb,20,5001.000000,250.05
86,zip,20,2882.000000,144.10,deepxgb,20,2298.000000,114.90
87,zip,20,3832.000000,191.60,deepxgb,20,3458.000000,172.90
88,zip,20,3704.000000,185.20,deepxgb,20,2054.000000,102.70
89,zip,20,3585.000000,179.25,deepxgb,20,4569.000000,228.45
90,zip,20,4024.000000,201.20,deepxgb,20,2349.000000,117.45
91,zip,20,3217.000000,160.85,deepxgb,20,2906.000000,145.30
92,zip,20,5103.000000,255.15,deepxgb,20,3378.000000,168.90
93,zip,20,3903.000000,195.15,deepxgb,20,4036.000000,201.80
94,zip,20,3722.000000,186.10,deepxgb,20,2691.000000,134.55
95,zip,20,4046.000000,202.30,deepxgb,20,4136.000000,206.80
96,zip,20,3191.000000,159.55,deepxgb,20,3178.000000,158.90
97,zip,20,5550.000000,277.50,deepxgb,20,680.000000,34.00
98,zip,20,4228.000000,211.40,deepxgb,20,4044.000000,202.20
99,zip,20,2986.000000,149.30,deepxgb,20,2441.000000,122.05
100,zip,20,3016.000000,150.80,deepxgb,20,4297.000000,214.85
101,zip,20,2701.000000,135.05,deepxgb,20,3422.000000,171.10
102,zip,20,3032.000000,151.60,deepxgb,20,2822.000000,141.10
103,zip,20,2963.000000,148.15,deepxgb,20,4108.000000,205.40
104,zip,20,4594.000000,229.70,deepxgb,20,790.000000,39.50
105,zip,20,2911.000000,145.55,deepxgb,20,3764.000000,188.20
106,zip,20,2985.000000,149.25,deepxgb,20,3712.000000,185.60
107,zip,20,3414.000000,170.70,deepxgb,20,2832.000000,141.60
108,zip,20,4350.000000,217.50,deepxgb,20,2758.000000,137.90
109,zip,20,3691.000000,184.55,deepxgb,20,2903.000000,145.15
110,zip,20,3737.000000,186.85,deepxgb,20,2701.000000,135.05
111,zip,20,3962.000000,198.10,deepxgb,20,4211.000000,210.55
112,zip,20,2685.000000,134.25,deepxgb,20,3307.000000,165.35
113,zip,20,3071.000000,153.55,deepxgb,20,3284.000000,164.20
114,zip,20,2587.000000,129.35,deepxgb,20,3119.000000,155.95
115,zip,20,2826.000000,141.30,deepxgb,20,4172.000000,208.60
116,zip,20,3380.000000,169.00,deepxgb,20,2270.000000,113.50
117,zip,20,2950.000000,147.50,deepxgb,20,3550.000000,177.50
118,zip,20,3015.000000,150.75,deepxgb,20,2587.000000,129.35
119,zip,20,2141.000000,107.05,deepxgb,20,3011.000000,150.55
120,zip,20,4061.000000,203.05,deepxgb,20,2781.000000,139.05
121,zip,20,2683.000000,134.15,deepxgb,20,3124.000000,156.20
122,zip,20,2545.000000,127.25,deepxgb,20,3733.000000,186.65
123,zip,20,2472.000000,123.60,deepxgb,20,3427.000000,171.35
124,zip,20,3026.000000,151.30,deepxgb,20,3049.000000,152.45
125,zip,20,3259.000000,162.95,deepxgb,20,3532.000000,176.60
126,zip,20,2808.000000,140.40,deepxgb,20,3208.000000,160.40
127,zip,20,2743.000000,137.15,deepxgb,20,2550.000000,127.50
128,zip,20,2783.000000,139.15,deepxgb,20,673.000000,33.65
129,zip,20,2808.000000,140.40,deepxgb,20,2426.000000,121.30
130,zip,20,3958.000000,197.90,deepxgb,20,2496.000000,124.80
131,zip,20,3716.000000,185.80,deepxgb,20,2785.000000,139.25
132,zip,20,2956.000000,147.80,deepxgb,20,2227.000000,111.35
133,zip,20,4012.000000,200.60,deepxgb,20,1116.000000,55.80
134,zip,20,2403.000000,120.15,deepxgb,20,2717.000000,135.85
135,zip,20,2938.000000,146.90,deepxgb,20,2872.000000,143.60
136,zip,20,2947.000000,147.35,deepxgb,20,5292.000000,264.60
137,zip,20,3739.000000,186.95,deepxgb,20,4817.000000,240.85
138,zip,20,2840.000000,142.00,deepxgb,20,2503.000000,125.15
139,zip,20,3599.000000,179.95,deepxgb,20,2686.000000,134.30
140,zip,20,3337.000000,166.85,deepxgb,20,3619.000000,180.95
141,zip,20,2959.000000,147.95,deepxgb,20,3090.000000,154.50
142,zip,20,2974.000000,148.70,deepxgb,20,4296.000000,214.80
143,zip,20,3278.000000,163.90,deepxgb,20,1160.000000,58.00
144,zip,20,3210.000000,160.50,deepxgb,20,4110.000000,205.50
145,zip,20,3431.000000,171.55,deepxgb,20,2241.000000,112.05
146,zip,20,3493.000000,174.65,deepxgb,20,3410.000000,170.50
147,zip,20,3906.000000,195.30,deepxgb,20,2472.000000,123.60
148,zip,20,3039.000000,151.95,deepxgb,20,3554.000000,177.70
149,zip,20,3247.000000,162.35,deepxgb,20,3767.000000,188.35
150,zip,20,3500.000000,175.00,deepxgb,20,2518.000000,125.90
151,zip,20,3046.000000,152.30,deepxgb,20,3354.000000,167.70
152,zip,20,3235.000000,161.75,deepxgb,20,3166.000000,158.30
153,zip,20,2846.000000,142.30,deepxgb,20,1973.000000,98.65
154,zip,20,2839.000000,141.95,deepxgb,20,4376.000000,218.80
155,zip,20,3567.000000,178.35,deepxgb,20,3564.000000,178.20
156,zip,20,2096.000000,104.80,deepxgb,20,2696.000000,134.80
157,zip,20,2321.000000,116.05,deepxgb,20,3335.000000,166.75
158,zip,20,3061.000000,153.05,deepxgb,20,4657.000000,232.85
159,zip,20,2307.000000,115.35,deepxgb,20,2151.000000,107.55
160,zip,20,2491.000000,124.55,deepxgb,20,4231.000000,211.55
161,zip,20,2547.000000,127.35,deepxgb,20,3057.000000,152.85
162,zip,20,3288.000000,164.40,deepxgb,20,2683.000000,134.15
163,zip,20,2938.000000,146.90,deepxgb,20,3794.000000,189.70
164,zip,20,3384.000000,169.20,deepxgb,20,2511.000000,125.55
165,zip,20,2340.000000,117.00,deepxgb,20,2408.000000,120.40
166,zip,20,3317.000000,165.85,deepxgb,20,2749.000000,137.45
167,zip,20,3635.000000,181.75,deepxgb,20,295.000000,14.75
168,zip,20,2550.000000,127.50,deepxgb,20,3390.000000,169.50
169,zip,20,3801.000000,190.05,deepxgb,20,2895.000000,144.75
170,zip,20,3236.000000,161.80,deepxgb,20,2807.000000,140.35
171,zip,20,3002.000000,150.10,deepxgb,20,3048.000000,152.40
172,zip,20,2965.000000,148.25,deepxgb,20,3321.000000,166.05
173,zip,20,2544.000000,127.20,deepxgb,20,3698.000000,184.90
174,zip,20,3334.000000,166.70,deepxgb,20,2994.000000,149.70
175,zip,20,3449.000000,172.45,deepxgb,20,3966.000000,198.30
176,zip,20,2999.000000,149.95,deepxgb,20,3010.000000,150.50
177,zip,20,2917.000000,145.85,deepxgb,20,3124.000000,156.20
178,zip,20,2713.000000,135.65,deepxgb,20,1861.000000,93.05
179,zip,20,2676.000000,133.80,deepxgb,20,2985.000000,149.25
180,zip,20,4051.000000,202.55,deepxgb,20,4786.000000,239.30
181,zip,20,2514.000000,125.70,deepxgb,20,4300.000000,215.00
182,zip,20,2979.000000,148.95,deepxgb,20,2658.000000,132.90
183,zip,20,3802.000000,190.10,deepxgb,20,3798.000000,189.90
184,zip,20,3744.000000,187.20,deepxgb,20,2932.000000,146.60
185,zip,20,2511.000000,125.55,deepxgb,20,2570.000000,128.50
186,zip,20,2334.000000,116.70,deepxgb,20,4147.000000,207.35
187,zip,20,3184.000000,159.20,deepxgb,20,3871.000000,193.55
188,zip,20,3154.000000,157.70,deepxgb,20,3775.000000,188.75
