trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,bb,38,5061.000000,133.180000,deeplstm,2,291.000000,145.50
2,bb,38,5597.000000,147.280000,deeplstm,2,177.000000,88.50
3,bb,38,4800.000000,126.310000,deeplstm,2,248.000000,124.00
4,bb,38,5816.000000,153.050000,deeplstm,2,162.000000,81.00
5,bb,38,4548.000000,119.680000,deeplstm,2,104.000000,52.00
6,bb,38,4136.000000,108.840000,deeplstm,2,193.000000,96.50
7,bb,38,5471.000000,143.970000,deeplstm,2,261.000000,130.50
8,bb,38,3339.000000,87.860000,deeplstm,2,113.000000,56.50
9,bb,38,3786.000000,99.630000,deeplstm,2,235.000000,117.50
10,bb,38,5358.000000,141.000000,deeplstm,2,447.000000,223.50
11,bb,38,6509.000000,171.280000,deeplstm,2,208.000000,104.00
12,bb,38,4236.000000,111.470000,deeplstm,2,129.000000,64.50
13,bb,38,4792.000000,126.100000,deeplstm,2,118.000000,59.00
14,bb,38,3991.000000,105.020000,deeplstm,2,281.000000,140.50
15,bb,38,4887.000000,128.600000,deeplstm,2,458.000000,229.00
16,bb,38,5710.000000,150.260000,deeplstm,2,347.000000,173.50
17,bb,38,5972.000000,157.150000,deeplstm,2,312.000000,156.00
18,bb,38,3729.000000,98.130000,deeplstm,2,159.000000,79.50
19,bb,38,4017.000000,105.710000,deeplstm,2,128.000000,64.00
20,bb,38,3644.000000,95.890000,deeplstm,2,308.000000,154.00
21,bb,38,3815.000000,100.390000,deeplstm,2,302.000000,151.00
22,bb,38,4688.000000,123.360000,deeplstm,2,288.000000,144.00
23,bb,38,4170.000000,109.730000,deeplstm,2,198.000000,99.00
24,bb,38,4664.000000,122.730000,deeplstm,2,278.000000,139.00
25,bb,38,4412.000000,116.100000,deeplstm,2,172.000000,86.00
26,bb,38,3639.000000,95.760000,deeplstm,2,197.000000,98.50
27,bb,38,4842.000000,127.420000,deeplstm,2,219.000000,109.50
28,bb,38,4645.000000,122.230000,deeplstm,2,298.000000,149.00
29,bb,38,4251.000000,111.860000,deeplstm,2,222.000000,111.00
30,bb,38,3728.000000,98.100000,deeplstm,2,185.000000,92.50
31,bb,38,5244.000000,138.000000,deeplstm,2,482.000000,241.00
32,bb,38,5910.000000,155.520000,deeplstm,2,459.000000,229.50
33,bb,38,6012.000000,158.210000,deeplstm,2,123.000000,61.50
34,bb,38,4972.000000,130.840000,deeplstm,2,303.000000,151.50
35,bb,38,5400.000000,142.100000,deeplstm,2,352.000000,176.00
36,bb,38,4661.000000,122.650000,deeplstm,2,210.000000,105.00
37,bb,38,4156.000000,109.360000,deeplstm,2,486.000000,243.00
38,bb,38,4422.000000,116.360000,deeplstm,2,235.000000,117.50
39,bb,38,4277.000000,112.550000,deeplstm,2,238.000000,119.00
40,bb,38,5416.000000,142.520000,deeplstm,2,304.000000,152.00
41,bb,38,4905.000000,129.070000,deeplstm,2,218.000000,109.00
42,bb,38,3938.000000,103.630000,deeplstm,2,293.000000,146.50
43,bb,38,4395.000000,115.650000,deeplstm,2,359.000000,179.50
44,bb,38,4125.000000,108.550000,deeplstm,2,341.000000,170.50
45,bb,38,3681.000000,96.860000,deeplstm,2,104.000000,52.00
46,bb,38,5704.000000,150.100000,deeplstm,2,522.000000,261.00
47,bb,38,4302.000000,113.210000,deeplstm,2,208.000000,104.00
48,bb,38,5106.000000,134.360000,deeplstm,2,105.000000,52.50
49,bb,38,3598.000000,94.680000,deeplstm,2,238.000000,119.00
50,bb,38,3551.000000,93.440000,deeplstm,2,129.000000,64.50
51,bb,38,4154.000000,109.310000,deeplstm,2,141.000000,70.50
52,bb,38,3661.000000,96.340000,deeplstm,2,191.000000,95.50
53,bb,38,4544.000000,119.570000,deeplstm,2,276.000000,138.00
54,bb,38,4015.000000,105.650000,deeplstm,2,271.000000,135.50
55,bb,38,4217.000000,110.970000,deeplstm,2,122.000000,61.00
56,bb,38,4661.000000,122.650000,deeplstm,2,182.000000,91.00
57,bb,38,3735.000000,98.280000,deeplstm,2,168.000000,84.00
58,bb,38,4293.000000,112.970000,deeplstm,2,144.000000,72.00
59,bb,38,3325.000000,87.500000,deeplstm,2,138.000000,69.00
60,bb,38,4474.000000,117.730000,deeplstm,2,437.000000,218.50
61,bb,38,4639.000000,122.070000,deeplstm,2,207.000000,103.50
62,bb,38,5331.000000,140.280000,deeplstm,2,281.000000,140.50
63,bb,38,4215.000000,110.920000,deeplstm,2,115.000000,57.50
64,bb,38,4226.000000,111.210000,deeplstm,2,210.000000,105.00
65,bb,38,4184.000000,110.100000,deeplstm,2,190.000000,95.00
66,bb,38,3935.000000,103.550000,deeplstm,2,105.000000,52.50
67,bb,38,3659.000000,96.280000,deeplstm,2,264.000000,132.00
68,bb,38,4917.000000,129.390000,deeplstm,2,345.000000,172.50
69,bb,38,4212.000000,110.840000,deeplstm,2,260.000000,130.00
70,bb,38,3887.000000,102.280000,deeplstm,2,411.000000,205.50
71,bb,38,5237.000000,137.810000,deeplstm,2,135.000000,67.50
72,bb,38,5306.000000,139.630000,deeplstm,2,197.000000,98.50
73,bb,38,4683.000000,123.230000,deeplstm,2,273.000000,136.50
74,bb,38,3664.000000,96.420000,deeplstm,2,366.000000,183.00
75,bb,38,3923.000000,103.230000,deeplstm,2,429.000000,214.50
76,bb,38,4225.000000,111.180000,deeplstm,2,361.000000,180.50
77,bb,38,4493.000000,118.230000,deeplstm,2,209.000000,104.50
78,bb,38,5347.000000,140.710000,deeplstm,2,219.000000,109.50
79,bb,38,5578.000000,146.780000,deeplstm,2,233.000000,116.50
80,bb,38,5016.000000,132.000000,deeplstm,2,537.000000,268.50
81,bb,38,4614.000000,121.420000,deeplstm,2,167.000000,83.50
82,bb,38,4383.000000,115.340000,deeplstm,2,470.000000,235.00
83,bb,38,4420.000000,116.310000,deeplstm,2,135.000000,67.50
84,bb,38,4937.000000,129.920000,deeplstm,2,297.000000,148.50
85,bb,38,4787.000000,125.970000,deeplstm,2,311.000000,155.50
86,bb,38,4747.000000,124.920000,deeplstm,2,281.000000,140.50
87,bb,38,4973.000000,130.860000,deeplstm,2,183.000000,91.50
88,bb,38,4655.000000,122.500000,deeplstm,2,192.000000,96.00
89,bb,38,5203.000000,136.920000,deeplstm,2,236.000000,118.00
90,bb,38,4806.000000,126.470000,deeplstm,2,296.000000,148.00
91,bb,38,4253.000000,111.920000,deeplstm,2,499.000000,249.50
92,bb,38,4413.000000,116.130000,deeplstm,2,135.000000,67.50
93,bb,38,4643.000000,122.180000,deeplstm,2,367.000000,183.50
94,bb,38,4455.000000,117.230000,deeplstm,2,194.000000,97.00
95,bb,38,4362.000000,114.780000,deeplstm,2,107.000000,53.50
96,bb,38,4473.000000,117.710000,deeplstm,2,168.000000,84.00
97,bb,38,4433.000000,116.650000,deeplstm,2,195.000000,97.50
98,bb,38,4176.000000,109.890000,deeplstm,2,303.000000,151.50
99,bb,38,4979.000000,131.020000,deeplstm,2,336.000000,168.00
100,bb,38,4430.000000,116.570000,deeplstm,2,163.000000,81.50
101,bb,38,4446.000000,117.000000,deeplstm,2,151.000000,75.50
102,bb,38,3984.000000,104.840000,deeplstm,2,348.000000,174.00
103,bb,38,3930.000000,103.420000,deeplstm,2,412.000000,206.00
104,bb,38,4509.000000,118.650000,deeplstm,2,348.000000,174.00
105,bb,38,5316.000000,139.890000,deeplstm,2,303.000000,151.50
106,bb,38,4769.000000,125.500000,deeplstm,2,217.000000,108.50
107,bb,38,3540.000000,93.150000,deeplstm,2,245.000000,122.50
108,bb,38,4226.000000,111.210000,deeplstm,2,239.000000,119.50
109,bb,38,5418.000000,142.570000,deeplstm,2,153.000000,76.50
110,bb,38,4746.000000,124.890000,deeplstm,2,291.000000,145.50
111,bb,38,4668.000000,122.840000,deeplstm,2,224.000000,112.00
112,bb,38,4108.000000,108.100000,deeplstm,2,122.000000,61.00
113,bb,38,4419.000000,116.280000,deeplstm,2,238.000000,119.00
114,bb,38,4527.000000,119.130000,deeplstm,2,211.000000,105.50
115,bb,38,4117.000000,108.340000,deeplstm,2,222.000000,111.00
116,bb,38,4016.000000,105.680000,deeplstm,2,386.000000,193.00
117,bb,38,3915.000000,103.020000,deeplstm,2,288.000000,144.00
118,bb,38,4528.000000,119.150000,deeplstm,2,153.000000,76.50
119,bb,38,3870.000000,101.840000,deeplstm,2,126.000000,63.00
120,bb,38,4108.000000,108.100000,deeplstm,2,262.000000,131.00
121,bb,38,3998.000000,105.210000,deeplstm,2,191.000000,95.50
122,bb,38,4413.000000,116.130000,deeplstm,2,153.000000,76.50
123,bb,38,4040.000000,106.310000,deeplstm,2,243.000000,121.50
124,bb,38,5216.000000,137.260000,deeplstm,2,160.000000,80.00
125,bb,38,3653.000000,96.130000,deeplstm,2,268.000000,134.00
126,bb,38,5104.000000,134.310000,deeplstm,2,187.000000,93.50
127,bb,38,3608.000000,94.940000,deeplstm,2,172.000000,86.00
128,bb,38,3636.000000,95.680000,deeplstm,2,119.000000,59.50
129,bb,38,4253.000000,111.920000,deeplstm,2,320.000000,160.00
130,bb,38,4538.000000,119.420000,deeplstm,2,242.000000,121.00
131,bb,38,4846.000000,127.520000,deeplstm,2,103.000000,51.50
132,bb,38,4497.000000,118.340000,deeplstm,2,213.000000,106.50
133,bb,38,5043.000000,132.710000,deeplstm,2,261.000000,130.50
134,bb,38,4135.000000,108.810000,deeplstm,2,275.000000,137.50
135,bb,38,3620.000000,95.260000,deeplstm,2,156.000000,78.00
136,bb,38,4251.000000,111.860000,deeplstm,2,410.000000,205.00
137,bb,38,4983.000000,131.130000,deeplstm,2,203.000000,101.50
138,bb,38,4485.000000,118.020000,deeplstm,2,221.000000,110.50
139,bb,38,4038.000000,106.260000,deeplstm,2,266.000000,133.00
140,bb,38,4705.000000,123.810000,deeplstm,2,329.000000,164.50
141,bb,38,4705.000000,123.810000,deeplstm,2,204.000000,102.00
142,bb,38,4293.000000,112.970000,deeplstm,2,719.000000,359.50
143,bb,38,4412.000000,116.100000,deeplstm,2,149.000000,74.50
144,bb,38,4676.000000,123.050000,deeplstm,2,247.000000,123.50
145,bb,38,4512.000000,118.730000,deeplstm,2,138.000000,69.00
146,bb,38,5801.000000,152.650000,deeplstm,2,255.000000,127.50
147,bb,38,4324.000000,113.780000,deeplstm,2,397.000000,198.50
148,bb,38,6349.000000,167.070000,deeplstm,2,369.000000,184.50
149,bb,38,5004.000000,131.680000,deeplstm,2,252.000000,126.00
150,bb,38,3536.000000,93.050000,deeplstm,2,339.000000,169.50
151,bb,38,4382.000000,115.310000,deeplstm,2,234.000000,117.00
152,bb,38,4222.000000,111.100000,deeplstm,2,161.000000,80.50
153,bb,38,4784.000000,125.890000,deeplstm,2,314.000000,157.00
154,bb,38,3721.000000,97.920000,deeplstm,2,261.000000,130.50
155,bb,38,3404.000000,89.570000,deeplstm,2,206.000000,103.00
156,bb,38,5464.000000,143.780000,deeplstm,2,519.000000,259.50
157,bb,38,3778.000000,99.420000,deeplstm,2,458.000000,229.00
158,bb,38,4065.000000,106.970000,deeplstm,2,117.000000,58.50
159,bb,38,4526.000000,119.100000,deeplstm,2,255.000000,127.50
160,bb,38,4257.000000,112.020000,deeplstm,2,441.000000,220.50
161,bb,38,4727.000000,124.390000,deeplstm,2,192.000000,96.00
162,bb,38,4301.000000,113.180000,deeplstm,2,263.000000,131.50
163,bb,38,5802.000000,152.680000,deeplstm,2,227.000000,113.50
164,bb,38,6319.000000,166.280000,deeplstm,2,171.000000,85.50
165,bb,38,5862.000000,154.260000,deeplstm,2,343.000000,171.50
166,bb,38,6004.000000,158.000000,deeplstm,2,266.000000,133.00
167,bb,38,5195.000000,136.710000,deeplstm,2,449.000000,224.50
168,bb,38,5217.000000,137.280000,deeplstm,2,687.000000,343.50
169,bb,38,4145.000000,109.070000,deeplstm,2,412.000000,206.00
170,bb,38,4329.000000,113.920000,deeplstm,2,573.000000,286.50
171,bb,38,6504.000000,171.150000,deeplstm,2,324.000000,162.00
172,bb,38,6120.000000,161.050000,deeplstm,2,347.000000,173.50
173,bb,38,5330.000000,140.260000,deeplstm,2,151.000000,75.50
174,bb,38,4021.000000,105.810000,deeplstm,2,211.000000,105.50
175,bb,38,4624.000000,121.680000,deeplstm,2,128.000000,64.00
176,bb,38,3898.000000,102.570000,deeplstm,2,157.000000,78.50
177,bb,38,4456.000000,117.260000,deeplstm,2,278.000000,139.00
178,bb,38,3169.000000,83.390000,deeplstm,2,154.000000,77.00
179,bb,38,3118.000000,82.050000,deeplstm,2,306.000000,153.00
180,bb,38,4848.000000,127.570000,deeplstm,2,326.000000,163.00
181,bb,38,3234.000000,85.100000,deeplstm,2,201.000000,100.50
182,bb,38,4149.000000,109.180000,deeplstm,2,286.000000,143.00
183,bb,38,3670.000000,96.570000,deeplstm,2,261.000000,130.50
184,bb,38,4658.000000,122.570000,deeplstm,2,287.000000,143.50
185,bb,38,5015.000000,131.970000,deeplstm,2,230.000000,115.00
186,bb,38,3680.000000,96.840000,deeplstm,2,185.000000,92.50
