trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,bb,38,4974.000000,130.890000,deepxgb,2,259.000000,129.50
2,bb,38,4172.000000,109.780000,deepxgb,2,191.000000,95.50
3,bb,38,3885.000000,102.230000,deepxgb,2,280.000000,140.00
4,bb,38,4767.000000,125.440000,deepxgb,2,284.000000,142.00
5,bb,38,4874.000000,128.260000,deepxgb,2,429.000000,214.50
6,bb,38,4916.000000,129.360000,deepxgb,2,571.000000,285.50
7,bb,38,4734.000000,124.570000,deepxgb,2,274.000000,137.00
8,bb,38,3862.000000,101.630000,deepxgb,2,424.000000,212.00
9,bb,38,5818.000000,153.100000,deepxgb,2,267.000000,133.50
10,bb,38,5329.000000,140.230000,deepxgb,2,339.000000,169.50
11,bb,38,5488.000000,144.420000,deepxgb,2,408.000000,204.00
12,bb,38,4662.000000,122.680000,deepxgb,2,67.000000,33.50
13,bb,38,5070.000000,133.420000,deepxgb,2,96.000000,48.00
14,bb,38,3817.000000,100.440000,deepxgb,2,268.000000,134.00
15,bb,38,4339.000000,114.180000,deepxgb,2,455.000000,227.50
16,bb,38,3971.000000,104.500000,deepxgb,2,218.000000,109.00
17,bb,38,4235.000000,111.440000,deepxgb,2,389.000000,194.50
18,bb,38,5384.000000,141.680000,deepxgb,2,155.000000,77.50
19,bb,38,4034.000000,106.150000,deepxgb,2,145.000000,72.50
20,bb,38,4662.000000,122.680000,deepxgb,2,173.000000,86.50
21,bb,38,4567.000000,120.180000,deepxgb,2,408.000000,204.00
22,bb,38,4774.000000,125.630000,deepxgb,2,170.000000,85.00
23,bb,38,3955.000000,104.070000,deepxgb,2,308.000000,154.00
24,bb,38,4599.000000,121.020000,deepxgb,2,554.000000,277.00
25,bb,38,5003.000000,131.650000,deepxgb,2,195.000000,97.50
26,bb,38,3562.000000,93.730000,deepxgb,2,155.000000,77.50
27,bb,38,6688.000000,176.000000,deepxgb,2,211.000000,105.50
28,bb,38,4752.000000,125.050000,deepxgb,2,432.000000,216.00
29,bb,38,4764.000000,125.360000,deepxgb,2,289.000000,144.50
30,bb,38,3575.000000,94.070000,deepxgb,2,224.000000,112.00
31,bb,38,3831.000000,100.810000,deepxgb,2,422.000000,211.00
32,bb,38,5257.000000,138.340000,deepxgb,2,383.000000,191.50
33,bb,38,5164.000000,135.890000,deepxgb,2,162.000000,81.00
34,bb,38,4908.000000,129.150000,deepxgb,2,209.000000,104.50
35,bb,38,5326.000000,140.150000,deepxgb,2,346.000000,173.00
36,bb,38,5638.000000,148.360000,deepxgb,2,208.000000,104.00
37,bb,38,5167.000000,135.970000,deepxgb,2,62.000000,31.00
38,bb,38,5051.000000,132.920000,deepxgb,2,146.000000,73.00
39,bb,38,4571.000000,120.280000,deepxgb,2,338.000000,169.00
40,bb,38,4900.000000,128.940000,deepxgb,2,154.000000,77.00
41,bb,38,4145.000000,109.070000,deepxgb,2,101.000000,50.50
42,bb,38,4710.000000,123.940000,deepxgb,2,395.000000,197.50
43,bb,38,5605.000000,147.500000,deepxgb,2,341.000000,170.50
44,bb,38,3929.000000,103.390000,deepxgb,2,210.000000,105.00
45,bb,38,6130.000000,161.310000,deepxgb,2,407.000000,203.50
46,bb,38,3908.000000,102.840000,deepxgb,2,200.000000,100.00
47,bb,38,6233.000000,164.020000,deepxgb,2,50.000000,25.00
48,bb,38,5368.000000,141.260000,deepxgb,2,361.000000,180.50
49,bb,38,5425.000000,142.760000,deepxgb,2,550.000000,275.00
50,bb,38,4466.000000,117.520000,deepxgb,2,223.000000,111.50
51,bb,38,3804.000000,100.100000,deepxgb,2,188.000000,94.00
52,bb,38,5165.000000,135.920000,deepxgb,2,397.000000,198.50
53,bb,38,4229.000000,111.280000,deepxgb,2,525.000000,262.50
54,bb,38,5140.000000,135.260000,deepxgb,2,113.000000,56.50
55,bb,38,4056.000000,106.730000,deepxgb,2,70.000000,35.00
56,bb,38,4980.000000,131.050000,deepxgb,2,106.000000,53.00
57,bb,38,4930.000000,129.730000,deepxgb,2,167.000000,83.50
58,bb,38,4578.000000,120.470000,deepxgb,2,132.000000,66.00
59,bb,38,4792.000000,126.100000,deepxgb,2,193.000000,96.50
60,bb,38,4070.000000,107.100000,deepxgb,2,268.000000,134.00
61,bb,38,4436.000000,116.730000,deepxgb,2,370.000000,185.00
62,bb,38,4591.000000,120.810000,deepxgb,2,268.000000,134.00
63,bb,38,3612.000000,95.050000,deepxgb,2,121.000000,60.50
64,bb,38,4941.000000,130.020000,deepxgb,2,502.000000,251.00
65,bb,38,4671.000000,122.920000,deepxgb,2,430.000000,215.00
66,bb,38,4601.000000,121.070000,deepxgb,2,29.000000,14.50
67,bb,38,4224.000000,111.150000,deepxgb,2,194.000000,97.00
68,bb,38,4955.000000,130.390000,deepxgb,2,228.000000,114.00
69,bb,38,4270.000000,112.360000,deepxgb,2,348.000000,174.00
70,bb,38,3977.000000,104.650000,deepxgb,2,278.000000,139.00
71,bb,38,4933.000000,129.810000,deepxgb,2,70.000000,35.00
72,bb,38,5183.000000,136.390000,deepxgb,2,70.000000,35.00
73,bb,38,5582.000000,146.890000,deepxgb,2,218.000000,109.00
74,bb,38,5118.000000,134.680000,deepxgb,2,359.000000,179.50
75,bb,38,4246.000000,111.730000,deepxgb,2,165.000000,82.50
