trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,macd,38,6173.000000,162.440000,deeplstm,2,410.000000,205.00
2,macd,38,4021.000000,105.810000,deeplstm,2,504.000000,252.00
3,macd,38,5114.000000,134.570000,deeplstm,2,325.000000,162.50
4,macd,38,5067.000000,133.340000,deeplstm,2,378.000000,189.00
5,macd,38,4170.000000,109.730000,deeplstm,2,213.000000,106.50
6,macd,38,5734.000000,150.890000,deeplstm,2,168.000000,84.00
7,macd,38,6204.000000,163.260000,deeplstm,2,584.000000,292.00
8,macd,38,5591.000000,147.130000,deeplstm,2,547.000000,273.50
9,macd,38,3861.000000,101.600000,deeplstm,2,444.000000,222.00
10,macd,38,4748.000000,124.940000,deeplstm,2,153.000000,76.50
11,macd,38,4355.000000,114.600000,deeplstm,2,302.000000,151.00
12,macd,38,5040.000000,132.630000,deeplstm,2,617.000000,308.50
13,macd,38,6184.000000,162.730000,deeplstm,2,188.000000,94.00
14,macd,38,5613.000000,147.710000,deeplstm,2,232.000000,116.00
15,macd,38,5997.000000,157.810000,deeplstm,2,397.000000,198.50
16,macd,38,6107.000000,160.710000,deeplstm,2,183.000000,91.50
17,macd,38,5755.000000,151.440000,deeplstm,2,224.000000,112.00
18,macd,38,4321.000000,113.710000,deeplstm,2,390.000000,195.00
19,macd,38,6367.000000,167.550000,deeplstm,2,424.000000,212.00
20,macd,38,3809.000000,100.230000,deeplstm,2,157.000000,78.50
21,macd,38,5689.000000,149.710000,deeplstm,2,107.000000,53.50
22,macd,38,3834.000000,100.890000,deeplstm,2,163.000000,81.50
23,macd,38,6581.000000,173.180000,deeplstm,2,426.000000,213.00
24,macd,38,4197.000000,110.440000,deeplstm,2,344.000000,172.00
25,macd,38,4332.000000,114.000000,deeplstm,2,378.000000,189.00
26,macd,38,3876.000000,102.000000,deeplstm,2,124.000000,62.00
27,macd,38,6575.000000,173.020000,deeplstm,2,431.000000,215.50
28,macd,38,4783.000000,125.860000,deeplstm,2,151.000000,75.50
29,macd,38,4746.000000,124.890000,deeplstm,2,346.000000,173.00
30,macd,38,5484.000000,144.310000,deeplstm,2,499.000000,249.50
31,macd,38,4874.000000,128.260000,deeplstm,2,379.000000,189.50
32,macd,38,4841.000000,127.390000,deeplstm,2,262.000000,131.00
33,macd,38,4847.000000,127.550000,deeplstm,2,664.000000,332.00
34,macd,38,4268.000000,112.310000,deeplstm,2,260.000000,130.00
35,macd,38,5208.000000,137.050000,deeplstm,2,348.000000,174.00
36,macd,38,5414.000000,142.470000,deeplstm,2,318.000000,159.00
37,macd,38,7133.000000,187.710000,deeplstm,2,264.000000,132.00
38,macd,38,4676.000000,123.050000,deeplstm,2,272.000000,136.00
39,macd,38,4629.000000,121.810000,deeplstm,2,186.000000,93.00
40,macd,38,4731.000000,124.500000,deeplstm,2,293.000000,146.50
41,macd,38,5566.000000,146.470000,deeplstm,2,144.000000,72.00
42,macd,38,4581.000000,120.550000,deeplstm,2,128.000000,64.00
43,macd,38,4321.000000,113.710000,deeplstm,2,433.000000,216.50
44,macd,38,5901.000000,155.280000,deeplstm,2,295.000000,147.50
45,macd,38,5224.000000,137.470000,deeplstm,2,454.000000,227.00
46,macd,38,4251.000000,111.860000,deeplstm,2,170.000000,85.00
47,macd,38,4371.000000,115.020000,deeplstm,2,242.000000,121.00
48,macd,38,5287.000000,139.130000,deeplstm,2,236.000000,118.00
49,macd,38,4068.000000,107.050000,deeplstm,2,219.000000,109.50
50,macd,38,6386.000000,168.050000,deeplstm,2,147.000000,73.50
51,macd,38,4398.000000,115.730000,deeplstm,2,178.000000,89.00
52,macd,38,4704.000000,123.780000,deeplstm,2,220.000000,110.00
53,macd,38,5446.000000,143.310000,deeplstm,2,172.000000,86.00
54,macd,38,4438.000000,116.780000,deeplstm,2,130.000000,65.00
55,macd,38,5122.000000,134.780000,deeplstm,2,287.000000,143.50
56,macd,38,4443.000000,116.920000,deeplstm,2,285.000000,142.50
57,macd,38,4763.000000,125.340000,deeplstm,2,355.000000,177.50
58,macd,38,6360.000000,167.360000,deeplstm,2,274.000000,137.00
59,macd,38,5270.000000,138.680000,deeplstm,2,349.000000,174.50
60,macd,38,4652.000000,122.420000,deeplstm,2,155.000000,77.50
61,macd,38,4319.000000,113.650000,deeplstm,2,294.000000,147.00
62,macd,38,4843.000000,127.440000,deeplstm,2,255.000000,127.50
63,macd,38,5858.000000,154.150000,deeplstm,2,126.000000,63.00
64,macd,38,5254.000000,138.260000,deeplstm,2,817.000000,408.50
65,macd,38,3822.000000,100.570000,deeplstm,2,511.000000,255.50
66,macd,38,6486.000000,170.680000,deeplstm,2,323.000000,161.50
67,macd,38,5244.000000,138.000000,deeplstm,2,118.000000,59.00
68,macd,38,4672.000000,122.940000,deeplstm,2,201.000000,100.50
69,macd,38,4912.000000,129.260000,deeplstm,2,203.000000,101.50
70,macd,38,4354.000000,114.570000,deeplstm,2,205.000000,102.50
71,macd,38,5161.000000,135.810000,deeplstm,2,303.000000,151.50
72,macd,38,5106.000000,134.360000,deeplstm,2,384.000000,192.00
73,macd,38,4650.000000,122.360000,deeplstm,2,201.000000,100.50
74,macd,38,5458.000000,143.630000,deeplstm,2,158.000000,79.00
75,macd,38,5094.000000,134.050000,deeplstm,2,462.000000,231.00
76,macd,38,6309.000000,166.020000,deeplstm,2,438.000000,219.00
77,macd,38,4935.000000,129.860000,deeplstm,2,186.000000,93.00
78,macd,38,4785.000000,125.920000,deeplstm,2,309.000000,154.50
79,macd,38,4778.000000,125.730000,deeplstm,2,436.000000,218.00
80,macd,38,5547.000000,145.970000,deeplstm,2,159.000000,79.50
81,macd,38,4464.000000,117.470000,deeplstm,2,359.000000,179.50
82,macd,38,5650.000000,148.680000,deeplstm,2,225.000000,112.50
83,macd,38,4880.000000,128.420000,deeplstm,2,279.000000,139.50
84,macd,38,6493.000000,170.860000,deeplstm,2,332.000000,166.00
85,macd,38,3632.000000,95.570000,deeplstm,2,110.000000,55.00
86,macd,38,4714.000000,124.050000,deeplstm,2,295.000000,147.50
87,macd,38,5385.000000,141.710000,deeplstm,2,104.000000,52.00
88,macd,38,5074.000000,133.520000,deeplstm,2,287.000000,143.50
89,macd,38,6383.000000,167.970000,deeplstm,2,196.000000,98.00
