trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,macd,38,4600.000000,121.05,deepxgb,2,274.000000,137.00
2,macd,38,4215.000000,110.92,deepxgb,2,290.000000,145.00
3,macd,38,4627.000000,121.76,deepxgb,2,270.000000,135.00
4,macd,38,6128.000000,161.26,deepxgb,2,197.000000,98.50
5,macd,38,4222.000000,111.10,deepxgb,2,254.000000,127.00
6,macd,38,4379.000000,115.23,deepxgb,2,241.000000,120.50
7,macd,38,3966.000000,104.36,deepxgb,2,305.000000,152.50
8,macd,38,5948.000000,156.52,deepxgb,2,500.000000,250.00
9,macd,38,7696.000000,202.52,deepxgb,2,443.000000,221.50
10,macd,38,5622.000000,147.94,deepxgb,2,293.000000,146.50
11,macd,38,6070.000000,159.73,deepxgb,2,118.000000,59.00
12,macd,38,6258.000000,164.68,deepxgb,2,594.000000,297.00
13,macd,38,5066.000000,133.31,deepxgb,2,485.000000,242.50
14,macd,38,6759.000000,177.86,deepxgb,2,423.000000,211.50
15,macd,38,4676.000000,123.05,deepxgb,2,276.000000,138.00
16,macd,38,5125.000000,134.86,deepxgb,2,88.000000,44.00
17,macd,38,6144.000000,161.68,deepxgb,2,617.000000,308.50
18,macd,38,4448.000000,117.05,deepxgb,2,339.000000,169.50
19,macd,38,5760.000000,151.57,deepxgb,2,201.000000,100.50
20,macd,38,5203.000000,136.92,deepxgb,2,87.000000,43.50
21,macd,38,4275.000000,112.50,deepxgb,2,155.000000,77.50
22,macd,38,5077.000000,133.60,deepxgb,2,177.000000,88.50
23,macd,38,6919.000000,182.07,deepxgb,2,327.000000,163.50
24,macd,38,5895.000000,155.13,deepxgb,2,176.000000,88.00
25,macd,38,6431.000000,169.23,deepxgb,2,321.000000,160.50
26,macd,38,4268.000000,112.31,deepxgb,2,110.000000,55.00
27,macd,38,5805.000000,152.76,deepxgb,2,135.000000,67.50
28,macd,38,5899.000000,155.23,deepxgb,2,408.000000,204.00
29,macd,38,5765.000000,151.71,deepxgb,2,179.000000,89.50
30,macd,38,4241.000000,111.60,deepxgb,2,415.000000,207.50
31,macd,38,4603.000000,121.13,deepxgb,2,264.000000,132.00
32,macd,38,6547.000000,172.28,deepxgb,2,144.000000,72.00
33,macd,38,6574.000000,173.00,deepxgb,2,79.000000,39.50
34,macd,38,5334.000000,140.36,deepxgb,2,209.000000,104.50
35,macd,38,5333.000000,140.34,deepxgb,2,414.000000,207.00
36,macd,38,4378.000000,115.21,deepxgb,2,198.000000,99.00
37,macd,38,4534.000000,119.31,deepxgb,2,180.000000,90.00
38,macd,38,4667.000000,122.81,deepxgb,2,433.000000,216.50
39,macd,38,5785.000000,152.23,deepxgb,2,47.000000,23.50
40,macd,38,5201.000000,136.86,deepxgb,2,391.000000,195.50
41,macd,38,4196.000000,110.42,deepxgb,2,189.000000,94.50
42,macd,38,4177.000000,109.92,deepxgb,2,358.000000,179.00
43,macd,38,4654.000000,122.47,deepxgb,2,53.000000,26.50
44,macd,38,4912.000000,129.26,deepxgb,2,339.000000,169.50
45,macd,38,4405.000000,115.92,deepxgb,2,148.000000,74.00
46,macd,38,5687.000000,149.65,deepxgb,2,297.000000,148.50
47,macd,38,5043.000000,132.71,deepxgb,2,329.000000,164.50
48,macd,38,5302.000000,139.52,deepxgb,2,230.000000,115.00
49,macd,38,5798.000000,152.57,deepxgb,2,95.000000,47.50
50,macd,38,6662.000000,175.31,deepxgb,2,474.000000,237.00
51,macd,38,5592.000000,147.15,deepxgb,2,254.000000,127.00
52,macd,38,4769.000000,125.50,deepxgb,2,95.000000,47.50
53,macd,38,4700.000000,123.68,deepxgb,2,121.000000,60.50
54,macd,38,5149.000000,135.50,deepxgb,2,535.000000,267.50
55,macd,38,4620.000000,121.57,deepxgb,2,268.000000,134.00
56,macd,38,3770.000000,99.21,deepxgb,2,186.000000,93.00
57,macd,38,4446.000000,117.00,deepxgb,2,376.000000,188.00
58,macd,38,6048.000000,159.15,deepxgb,2,321.000000,160.50
59,macd,38,6848.000000,180.21,deepxgb,2,439.000000,219.50
60,macd,38,6444.000000,169.57,deepxgb,2,540.000000,270.00
61,macd,38,5608.000000,147.57,deepxgb,2,317.000000,158.50
62,macd,38,6348.000000,167.05,deepxgb,2,358.000000,179.00
63,macd,38,5208.000000,137.05,deepxgb,2,133.000000,66.50
64,macd,38,5546.000000,145.94,deepxgb,2,355.000000,177.50
65,macd,38,5616.000000,147.78,deepxgb,2,241.000000,120.50
66,macd,38,4068.000000,107.05,deepxgb,2,47.000000,23.50
67,macd,38,4345.000000,114.34,deepxgb,2,343.000000,171.50
68,macd,38,4127.000000,108.60,deepxgb,2,540.000000,270.00
69,macd,38,5177.000000,136.23,deepxgb,2,99.000000,49.50
70,macd,38,5351.000000,140.81,deepxgb,2,320.000000,160.00
71,macd,38,4921.000000,129.50,deepxgb,2,78.000000,39.00
72,macd,38,6060.000000,159.47,deepxgb,2,169.000000,84.50
73,macd,38,5830.000000,153.42,deepxgb,2,266.000000,133.00
74,macd,38,4452.000000,117.15,deepxgb,2,264.000000,132.00
75,macd,38,5710.000000,150.26,deepxgb,2,286.000000,143.00
76,macd,38,4937.000000,129.92,deepxgb,2,260.000000,130.00
77,macd,38,4412.000000,116.10,deepxgb,2,182.000000,91.00
78,macd,38,5323.000000,140.07,deepxgb,2,333.000000,166.50
79,macd,38,4691.000000,123.44,deepxgb,2,36.000000,18.00
80,macd,38,6003.000000,157.97,deepxgb,2,408.000000,204.00
81,macd,38,4589.000000,120.76,deepxgb,2,387.000000,193.50
82,macd,38,4792.000000,126.10,deepxgb,2,457.000000,228.50
83,macd,38,4239.000000,111.55,deepxgb,2,283.000000,141.50
84,macd,38,5602.000000,147.42,deepxgb,2,317.000000,158.50
85,macd,38,6058.000000,159.42,deepxgb,2,171.000000,85.50
86,macd,38,4709.000000,123.92,deepxgb,2,227.000000,113.50
87,macd,38,5779.000000,152.07,deepxgb,2,253.000000,126.50
88,macd,38,6406.000000,168.57,deepxgb,2,243.000000,121.50
89,macd,38,4167.000000,109.65,deepxgb,2,297.000000,148.50
90,macd,38,6049.000000,159.18,deepxgb,2,348.000000,174.00
91,macd,38,5462.000000,143.73,deepxgb,2,302.000000,151.00
92,macd,38,3058.000000,80.47,deepxgb,2,144.000000,72.00
93,macd,38,4492.000000,118.21,deepxgb,2,130.000000,65.00
94,macd,38,4299.000000,113.13,deepxgb,2,76.000000,38.00
95,macd,38,5728.000000,150.73,deepxgb,2,296.000000,148.00
96,macd,38,4417.000000,116.23,deepxgb,2,157.000000,78.50
97,macd,38,4957.000000,130.44,deepxgb,2,395.000000,197.50
98,macd,38,4935.000000,129.86,deepxgb,2,263.000000,131.50
99,macd,38,4928.000000,129.68,deepxgb,2,344.000000,172.00
100,macd,38,5432.000000,142.94,deepxgb,2,334.000000,167.00
101,macd,38,4203.000000,110.60,deepxgb,2,340.000000,170.00
102,macd,38,5742.000000,151.10,deepxgb,2,230.000000,115.00
103,macd,38,5652.000000,148.73,deepxgb,2,221.000000,110.50
104,macd,38,4945.000000,130.13,deepxgb,2,484.000000,242.00
105,macd,38,4607.000000,121.23,deepxgb,2,414.000000,207.00
106,macd,38,5456.000000,143.57,deepxgb,2,91.000000,45.50
107,macd,38,5735.000000,150.92,deepxgb,2,347.000000,173.50
108,macd,38,5525.000000,145.39,deepxgb,2,222.000000,111.00
109,macd,38,5446.000000,143.31,deepxgb,2,186.000000,93.00
110,macd,38,4109.000000,108.13,deepxgb,2,198.000000,99.00
111,macd,38,6290.000000,165.52,deepxgb,2,26.000000,13.00
112,macd,38,5308.000000,139.68,deepxgb,2,369.000000,184.50
113,macd,38,5649.000000,148.65,deepxgb,2,326.000000,163.00
114,macd,38,5992.000000,157.68,deepxgb,2,132.000000,66.00
115,macd,38,5766.000000,151.73,deepxgb,2,497.000000,248.50
116,macd,38,5237.000000,137.81,deepxgb,2,127.000000,63.50
117,macd,38,6332.000000,166.63,deepxgb,2,484.000000,242.00
118,macd,38,4158.000000,109.42,deepxgb,2,206.000000,103.00
119,macd,38,4393.000000,115.60,deepxgb,2,164.000000,82.00
120,macd,38,5351.000000,140.81,deepxgb,2,233.000000,116.50
121,macd,38,4735.000000,124.60,deepxgb,2,354.000000,177.00
122,macd,38,5063.000000,133.23,deepxgb,2,456.000000,228.00
123,macd,38,7334.000000,193.00,deepxgb,2,206.000000,103.00
124,macd,38,5227.000000,137.55,deepxgb,2,333.000000,166.50
125,macd,38,5262.000000,138.47,deepxgb,2,312.000000,156.00
126,macd,38,5347.000000,140.71,deepxgb,2,295.000000,147.50
127,macd,38,6948.000000,182.84,deepxgb,2,398.000000,199.00
128,macd,38,4257.000000,112.02,deepxgb,2,216.000000,108.00
129,macd,38,5199.000000,136.81,deepxgb,2,147.000000,73.50
130,macd,38,4079.000000,107.34,deepxgb,2,366.000000,183.00
131,macd,38,4402.000000,115.84,deepxgb,2,389.000000,194.50
132,macd,38,5264.000000,138.52,deepxgb,2,146.000000,73.00
133,macd,38,4656.000000,122.52,deepxgb,2,138.000000,69.00
134,macd,38,4624.000000,121.68,deepxgb,2,68.000000,34.00
135,macd,38,5272.000000,138.73,deepxgb,2,514.000000,257.00
136,macd,38,6085.000000,160.13,deepxgb,2,749.000000,374.50
137,macd,38,4737.000000,124.65,deepxgb,2,276.000000,138.00
138,macd,38,5872.000000,154.52,deepxgb,2,523.000000,261.50
139,macd,38,4760.000000,125.26,deepxgb,2,63.000000,31.50
140,macd,38,6163.000000,162.18,deepxgb,2,574.000000,287.00
141,macd,38,5892.000000,155.05,deepxgb,2,195.000000,97.50
142,macd,38,4856.000000,127.78,deepxgb,2,487.000000,243.50
143,macd,38,5196.000000,136.73,deepxgb,2,337.000000,168.50
144,macd,38,4584.000000,120.63,deepxgb,2,272.000000,136.00
145,macd,38,4754.000000,125.10,deepxgb,2,588.000000,294.00
146,macd,38,4911.000000,129.23,deepxgb,2,298.000000,149.00
147,macd,38,6782.000000,178.47,deepxgb,2,671.000000,335.50
148,macd,38,5252.000000,138.21,deepxgb,2,161.000000,80.50
149,macd,38,4342.000000,114.26,deepxgb,2,352.000000,176.00
150,macd,38,4486.000000,118.05,deepxgb,2,156.000000,78.00
151,macd,38,4735.000000,124.60,deepxgb,2,373.000000,186.50
152,macd,38,4996.000000,131.47,deepxgb,2,85.000000,42.50
153,macd,38,5621.000000,147.92,deepxgb,2,356.000000,178.00
154,macd,38,5985.000000,157.50,deepxgb,2,262.000000,131.00
155,macd,38,5462.000000,143.73,deepxgb,2,216.000000,108.00
156,macd,38,5163.000000,135.86,deepxgb,2,266.000000,133.00
157,macd,38,5654.000000,148.78,deepxgb,2,550.000000,275.00
158,macd,38,4137.000000,108.86,deepxgb,2,158.000000,79.00
159,macd,38,5619.000000,147.86,deepxgb,2,248.000000,124.00
160,macd,38,5789.000000,152.34,deepxgb,2,468.000000,234.00
161,macd,38,6555.000000,172.50,deepxgb,2,257.000000,128.50
162,macd,38,5613.000000,147.71,deepxgb,2,484.000000,242.00
163,macd,38,5920.000000,155.78,deepxgb,2,169.000000,84.50
164,macd,38,6086.000000,160.15,deepxgb,2,422.000000,211.00
165,macd,38,3968.000000,104.42,deepxgb,2,216.000000,108.00
166,macd,38,4647.000000,122.28,deepxgb,2,175.000000,87.50
167,macd,38,6036.000000,158.84,deepxgb,2,59.000000,29.50
168,macd,38,5250.000000,138.15,deepxgb,2,192.000000,96.00
169,macd,38,4344.000000,114.31,deepxgb,2,655.000000,327.50
170,macd,38,4652.000000,122.42,deepxgb,2,179.000000,89.50
171,macd,38,5652.000000,148.73,deepxgb,2,158.000000,79.00
172,macd,38,4769.000000,125.50,deepxgb,2,329.000000,164.50
173,macd,38,5201.000000,136.86,deepxgb,2,214.000000,107.00
174,macd,38,5886.000000,154.89,deepxgb,2,550.000000,275.00
175,macd,38,5887.000000,154.92,deepxgb,2,45.000000,22.50
176,macd,38,5864.000000,154.31,deepxgb,2,107.000000,53.50
177,macd,38,4712.000000,124.00,deepxgb,2,279.000000,139.50
178,macd,38,4657.000000,122.55,deepxgb,2,368.000000,184.00
179,macd,38,4334.000000,114.05,deepxgb,2,87.000000,43.50
