trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvd,38,7765.000000,204.340000,deeplstm,2,638.000000,319.00
2,obvd,38,6800.000000,178.940000,deeplstm,2,396.000000,198.00
3,obvd,38,5624.000000,148.000000,deeplstm,2,465.000000,232.50
4,obvd,38,6187.000000,162.810000,deeplstm,2,298.000000,149.00
5,obvd,38,5206.000000,137.000000,deeplstm,2,335.000000,167.50
6,obvd,38,6867.000000,180.710000,deeplstm,2,639.000000,319.50
7,obvd,38,5900.000000,155.260000,deeplstm,2,259.000000,129.50
8,obvd,38,5363.000000,141.130000,deeplstm,2,558.000000,279.00
9,obvd,38,6161.000000,162.130000,deeplstm,2,291.000000,145.50
10,obvd,38,7162.000000,188.470000,deeplstm,2,142.000000,71.00
11,obvd,38,6088.000000,160.210000,deeplstm,2,401.000000,200.50
12,obvd,38,6109.000000,160.760000,deeplstm,2,286.000000,143.00
13,obvd,38,7462.000000,196.360000,deeplstm,2,619.000000,309.50
14,obvd,38,5928.000000,156.000000,deeplstm,2,345.000000,172.50
15,obvd,38,5191.000000,136.600000,deeplstm,2,227.000000,113.50
16,obvd,38,7833.000000,206.130000,deeplstm,2,145.000000,72.50
17,obvd,38,5714.000000,150.360000,deeplstm,2,457.000000,228.50
18,obvd,38,5888.000000,154.940000,deeplstm,2,252.000000,126.00
19,obvd,38,6620.000000,174.210000,deeplstm,2,242.000000,121.00
20,obvd,38,4904.000000,129.050000,deeplstm,2,414.000000,207.00
21,obvd,38,5998.000000,157.840000,deeplstm,2,272.000000,136.00
22,obvd,38,6372.000000,167.680000,deeplstm,2,180.000000,90.00
23,obvd,38,8025.000000,211.180000,deeplstm,2,587.000000,293.50
24,obvd,38,8771.000000,230.810000,deeplstm,2,398.000000,199.00
25,obvd,38,6703.000000,176.390000,deeplstm,2,401.000000,200.50
26,obvd,38,5916.000000,155.680000,deeplstm,2,334.000000,167.00
27,obvd,38,5709.000000,150.230000,deeplstm,2,293.000000,146.50
28,obvd,38,5430.000000,142.890000,deeplstm,2,246.000000,123.00
29,obvd,38,6598.000000,173.630000,deeplstm,2,303.000000,151.50
30,obvd,38,6947.000000,182.810000,deeplstm,2,499.000000,249.50
31,obvd,38,6474.000000,170.360000,deeplstm,2,640.000000,320.00
32,obvd,38,5173.000000,136.130000,deeplstm,2,199.000000,99.50
33,obvd,38,5311.000000,139.760000,deeplstm,2,278.000000,139.00
34,obvd,38,6736.000000,177.260000,deeplstm,2,456.000000,228.00
35,obvd,38,5579.000000,146.810000,deeplstm,2,396.000000,198.00
36,obvd,38,8261.000000,217.390000,deeplstm,2,900.000000,450.00
37,obvd,38,4714.000000,124.050000,deeplstm,2,215.000000,107.50
38,obvd,38,7948.000000,209.150000,deeplstm,2,302.000000,151.00
39,obvd,38,6540.000000,172.100000,deeplstm,2,220.000000,110.00
40,obvd,38,5429.000000,142.860000,deeplstm,2,385.000000,192.50
41,obvd,38,5895.000000,155.130000,deeplstm,2,573.000000,286.50
42,obvd,38,5575.000000,146.710000,deeplstm,2,503.000000,251.50
