trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvd,38,6576.000000,173.05,deepxgb,2,185.000000,92.50
2,obvd,38,5749.000000,151.28,deepxgb,2,100.000000,50.00
3,obvd,38,7165.000000,188.55,deepxgb,2,87.000000,43.50
4,obvd,38,7929.000000,208.65,deepxgb,2,391.000000,195.50
5,obvd,38,6961.000000,183.18,deepxgb,2,96.000000,48.00
6,obvd,38,5436.000000,143.05,deepxgb,2,179.000000,89.50
7,obvd,38,5237.000000,137.81,deepxgb,2,151.000000,75.50
8,obvd,38,6357.000000,167.28,deepxgb,2,463.000000,231.50
9,obvd,38,7880.000000,207.36,deepxgb,2,410.000000,205.00
10,obvd,38,6074.000000,159.84,deepxgb,2,258.000000,129.00
11,obvd,38,5198.000000,136.78,deepxgb,2,268.000000,134.00
12,obvd,38,7147.000000,188.07,deepxgb,2,324.000000,162.00
13,obvd,38,5622.000000,147.94,deepxgb,2,178.000000,89.00
14,obvd,38,6276.000000,165.15,deepxgb,2,473.000000,236.50
15,obvd,38,7352.000000,193.47,deepxgb,2,271.000000,135.50
16,obvd,38,5803.000000,152.71,deepxgb,2,172.000000,86.00
17,obvd,38,6997.000000,184.13,deepxgb,2,446.000000,223.00
18,obvd,38,6382.000000,167.94,deepxgb,2,321.000000,160.50
19,obvd,38,6640.000000,174.73,deepxgb,2,418.000000,209.00
20,obvd,38,5818.000000,153.10,deepxgb,2,169.000000,84.50
21,obvd,38,6198.000000,163.10,deepxgb,2,525.000000,262.50
22,obvd,38,5814.000000,153.00,deepxgb,2,564.000000,282.00
23,obvd,38,6911.000000,181.86,deepxgb,2,284.000000,142.00
24,obvd,38,7993.000000,210.34,deepxgb,2,152.000000,76.00
25,obvd,38,8368.000000,220.21,deepxgb,2,423.000000,211.50
26,obvd,38,6040.000000,158.94,deepxgb,2,402.000000,201.00
27,obvd,38,5289.000000,139.18,deepxgb,2,384.000000,192.00
28,obvd,38,6902.000000,181.63,deepxgb,2,275.000000,137.50
29,obvd,38,6413.000000,168.76,deepxgb,2,707.000000,353.50
30,obvd,38,6894.000000,181.42,deepxgb,2,237.000000,118.50
31,obvd,38,5833.000000,153.50,deepxgb,2,215.000000,107.50
32,obvd,38,6689.000000,176.02,deepxgb,2,413.000000,206.50
33,obvd,38,6540.000000,172.10,deepxgb,2,671.000000,335.50
34,obvd,38,5967.000000,157.02,deepxgb,2,307.000000,153.50
35,obvd,38,6266.000000,164.89,deepxgb,2,142.000000,71.00
36,obvd,38,7615.000000,200.39,deepxgb,2,928.000000,464.00
37,obvd,38,7700.000000,202.63,deepxgb,2,801.000000,400.50
38,obvd,38,5196.000000,136.73,deepxgb,2,321.000000,160.50
39,obvd,38,6272.000000,165.05,deepxgb,2,360.000000,180.00
40,obvd,38,7152.000000,188.21,deepxgb,2,167.000000,83.50
41,obvd,38,6404.000000,168.52,deepxgb,2,821.000000,410.50
42,obvd,38,7403.000000,194.81,deepxgb,2,368.000000,184.00
43,obvd,38,4629.000000,121.81,deepxgb,2,143.000000,71.50
44,obvd,38,7230.000000,190.26,deepxgb,2,121.000000,60.50
45,obvd,38,6271.000000,165.02,deepxgb,2,243.000000,121.50
46,obvd,38,6104.000000,160.63,deepxgb,2,318.000000,159.00
47,obvd,38,5246.000000,138.05,deepxgb,2,310.000000,155.00
48,obvd,38,5682.000000,149.52,deepxgb,2,267.000000,133.50
49,obvd,38,8336.000000,219.36,deepxgb,2,825.000000,412.50
50,obvd,38,4975.000000,130.92,deepxgb,2,385.000000,192.50
51,obvd,38,5638.000000,148.36,deepxgb,2,314.000000,157.00
52,obvd,38,5783.000000,152.18,deepxgb,2,83.000000,41.50
53,obvd,38,5749.000000,151.28,deepxgb,2,196.000000,98.00
54,obvd,38,7116.000000,187.26,deepxgb,2,403.000000,201.50
55,obvd,38,7332.000000,192.94,deepxgb,2,50.000000,25.00
56,obvd,38,7126.000000,187.52,deepxgb,2,393.000000,196.50
57,obvd,38,6409.000000,168.65,deepxgb,2,480.000000,240.00
58,obvd,38,5869.000000,154.44,deepxgb,2,611.000000,305.50
59,obvd,38,5307.000000,139.65,deepxgb,2,267.000000,133.50
60,obvd,38,7467.000000,196.50,deepxgb,2,644.000000,322.00
61,obvd,38,6006.000000,158.05,deepxgb,2,315.000000,157.50
62,obvd,38,6456.000000,169.89,deepxgb,2,478.000000,239.00
63,obvd,38,6820.000000,179.47,deepxgb,2,304.000000,152.00
64,obvd,38,6990.000000,183.94,deepxgb,2,467.000000,233.50
65,obvd,38,6009.000000,158.13,deepxgb,2,408.000000,204.00
66,obvd,38,6460.000000,170.00,deepxgb,2,382.000000,191.00
67,obvd,38,5156.000000,135.68,deepxgb,2,67.000000,33.50
68,obvd,38,6741.000000,177.39,deepxgb,2,494.000000,247.00
69,obvd,38,5266.000000,138.57,deepxgb,2,517.000000,258.50
70,obvd,38,7266.000000,191.21,deepxgb,2,403.000000,201.50
71,obvd,38,6316.000000,166.21,deepxgb,2,452.000000,226.00
72,obvd,38,6908.000000,181.78,deepxgb,2,448.000000,224.00
73,obvd,38,5108.000000,134.42,deepxgb,2,757.000000,378.50
74,obvd,38,6227.000000,163.86,deepxgb,2,487.000000,243.50
75,obvd,38,5088.000000,133.89,deepxgb,2,342.000000,171.00
76,obvd,38,6046.000000,159.10,deepxgb,2,432.000000,216.00
77,obvd,38,7252.000000,190.84,deepxgb,2,379.000000,189.50
78,obvd,38,7107.000000,187.02,deepxgb,2,326.000000,163.00
79,obvd,38,5484.000000,144.31,deepxgb,2,253.000000,126.50
80,obvd,38,4882.000000,128.47,deepxgb,2,164.000000,82.00
81,obvd,38,6050.000000,159.21,deepxgb,2,470.000000,235.00
82,obvd,38,4867.000000,128.07,deepxgb,2,214.000000,107.00
83,obvd,38,5326.000000,140.15,deepxgb,2,234.000000,117.00
84,obvd,38,6603.000000,173.76,deepxgb,2,276.000000,138.00
85,obvd,38,6354.000000,167.21,deepxgb,2,131.000000,65.50
86,obvd,38,6328.000000,166.52,deepxgb,2,117.000000,58.50
87,obvd,38,5892.000000,155.05,deepxgb,2,182.000000,91.00
88,obvd,38,4660.000000,122.63,deepxgb,2,137.000000,68.50
89,obvd,38,4464.000000,117.47,deepxgb,2,54.000000,27.00
90,obvd,38,7251.000000,190.81,deepxgb,2,433.000000,216.50
91,obvd,38,6050.000000,159.21,deepxgb,2,367.000000,183.50
92,obvd,38,7198.000000,189.42,deepxgb,2,477.000000,238.50
93,obvd,38,5872.000000,154.52,deepxgb,2,541.000000,270.50
94,obvd,38,6179.000000,162.60,deepxgb,2,284.000000,142.00
95,obvd,38,5553.000000,146.13,deepxgb,2,364.000000,182.00
96,obvd,38,6342.000000,166.89,deepxgb,2,142.000000,71.00
97,obvd,38,4384.000000,115.36,deepxgb,2,366.000000,183.00
98,obvd,38,5446.000000,143.31,deepxgb,2,195.000000,97.50
99,obvd,38,5904.000000,155.36,deepxgb,2,275.000000,137.50
100,obvd,38,5748.000000,151.26,deepxgb,2,486.000000,243.00
101,obvd,38,6046.000000,159.10,deepxgb,2,111.000000,55.50
102,obvd,38,6361.000000,167.39,deepxgb,2,646.000000,323.00
103,obvd,38,5573.000000,146.65,deepxgb,2,457.000000,228.50
104,obvd,38,4661.000000,122.65,deepxgb,2,140.000000,70.00
105,obvd,38,5879.000000,154.71,deepxgb,2,218.000000,109.00
106,obvd,38,7114.000000,187.21,deepxgb,2,345.000000,172.50
107,obvd,38,7141.000000,187.92,deepxgb,2,277.000000,138.50
108,obvd,38,6046.000000,159.10,deepxgb,2,329.000000,164.50
109,obvd,38,6240.000000,164.21,deepxgb,2,384.000000,192.00
110,obvd,38,5952.000000,156.63,deepxgb,2,617.000000,308.50
111,obvd,38,4989.000000,131.28,deepxgb,2,584.000000,292.00
112,obvd,38,6320.000000,166.31,deepxgb,2,465.000000,232.50
113,obvd,38,7071.000000,186.07,deepxgb,2,372.000000,186.00
114,obvd,38,5289.000000,139.18,deepxgb,2,140.000000,70.00
115,obvd,38,5662.000000,149.00,deepxgb,2,197.000000,98.50
116,obvd,38,6333.000000,166.65,deepxgb,2,131.000000,65.50
117,obvd,38,6328.000000,166.52,deepxgb,2,203.000000,101.50
118,obvd,38,6844.000000,180.10,deepxgb,2,263.000000,131.50
119,obvd,38,6336.000000,166.73,deepxgb,2,615.000000,307.50
120,obvd,38,5658.000000,148.89,deepxgb,2,593.000000,296.50
121,obvd,38,7137.000000,187.81,deepxgb,2,555.000000,277.50
122,obvd,38,6124.000000,161.15,deepxgb,2,208.000000,104.00
123,obvd,38,6210.000000,163.42,deepxgb,2,117.000000,58.50
124,obvd,38,6014.000000,158.26,deepxgb,2,763.000000,381.50
125,obvd,38,6282.000000,165.31,deepxgb,2,335.000000,167.50
126,obvd,38,7211.000000,189.76,deepxgb,2,482.000000,241.00
127,obvd,38,6975.000000,183.55,deepxgb,2,769.000000,384.50
128,obvd,38,5003.000000,131.65,deepxgb,2,90.000000,45.00
129,obvd,38,5185.000000,136.44,deepxgb,2,32.000000,16.00
130,obvd,38,7638.000000,201.00,deepxgb,2,618.000000,309.00
131,obvd,38,6449.000000,169.71,deepxgb,2,816.000000,408.00
132,obvd,38,7199.000000,189.44,deepxgb,2,501.000000,250.50
133,obvd,38,5501.000000,144.76,deepxgb,2,573.000000,286.50
134,obvd,38,5517.000000,145.18,deepxgb,2,141.000000,70.50
135,obvd,38,6734.000000,177.21,deepxgb,2,333.000000,166.50
136,obvd,38,6078.000000,159.94,deepxgb,2,464.000000,232.00
137,obvd,38,6335.000000,166.71,deepxgb,2,195.000000,97.50
138,obvd,38,7084.000000,186.42,deepxgb,2,481.000000,240.50
139,obvd,38,6125.000000,161.18,deepxgb,2,280.000000,140.00
140,obvd,38,5996.000000,157.78,deepxgb,2,639.000000,319.50
141,obvd,38,6811.000000,179.23,deepxgb,2,513.000000,256.50
142,obvd,38,6039.000000,158.92,deepxgb,2,424.000000,212.00
143,obvd,38,7617.000000,200.44,deepxgb,2,397.000000,198.50
144,obvd,38,6811.000000,179.23,deepxgb,2,494.000000,247.00
145,obvd,38,5655.000000,148.81,deepxgb,2,299.000000,149.50
146,obvd,38,5031.000000,132.39,deepxgb,2,338.000000,169.00
147,obvd,38,6303.000000,165.86,deepxgb,2,756.000000,378.00
148,obvd,38,7334.000000,193.00,deepxgb,2,511.000000,255.50
149,obvd,38,5604.000000,147.47,deepxgb,2,251.000000,125.50
150,obvd,38,7217.000000,189.92,deepxgb,2,549.000000,274.50
151,obvd,38,5353.000000,140.86,deepxgb,2,152.000000,76.00
152,obvd,38,7012.000000,184.52,deepxgb,2,292.000000,146.00
153,obvd,38,7924.000000,208.52,deepxgb,2,415.000000,207.50
154,obvd,38,5124.000000,134.84,deepxgb,2,156.000000,78.00
155,obvd,38,5402.000000,142.15,deepxgb,2,333.000000,166.50
156,obvd,38,6512.000000,171.36,deepxgb,2,719.000000,359.50
157,obvd,38,5577.000000,146.76,deepxgb,2,186.000000,93.00
158,obvd,38,6111.000000,160.81,deepxgb,2,411.000000,205.50
159,obvd,38,5514.000000,145.10,deepxgb,2,233.000000,116.50
160,obvd,38,6963.000000,183.23,deepxgb,2,129.000000,64.50
161,obvd,38,7650.000000,201.31,deepxgb,2,655.000000,327.50
162,obvd,38,6522.000000,171.63,deepxgb,2,533.000000,266.50
163,obvd,38,5476.000000,144.10,deepxgb,2,428.000000,214.00
164,obvd,38,5239.000000,137.86,deepxgb,2,394.000000,197.00
165,obvd,38,6954.000000,183.00,deepxgb,2,112.000000,56.00
166,obvd,38,7274.000000,191.42,deepxgb,2,291.000000,145.50
167,obvd,38,7200.000000,189.47,deepxgb,2,417.000000,208.50
168,obvd,38,5956.000000,156.73,deepxgb,2,378.000000,189.00
169,obvd,38,6574.000000,173.00,deepxgb,2,67.000000,33.50
170,obvd,38,6487.000000,170.71,deepxgb,2,624.000000,312.00
171,obvd,38,5897.000000,155.18,deepxgb,2,199.000000,99.50
172,obvd,38,7143.000000,187.97,deepxgb,2,614.000000,307.00
173,obvd,38,6099.000000,160.50,deepxgb,2,196.000000,98.00
174,obvd,38,6712.000000,176.63,deepxgb,2,463.000000,231.50
175,obvd,38,5311.000000,139.76,deepxgb,2,264.000000,132.00
176,obvd,38,5482.000000,144.26,deepxgb,2,501.000000,250.50
177,obvd,38,6116.000000,160.94,deepxgb,2,568.000000,284.00
178,obvd,38,6357.000000,167.28,deepxgb,2,144.000000,72.00
179,obvd,38,6953.000000,182.97,deepxgb,2,446.000000,223.00
180,obvd,38,5943.000000,156.39,deepxgb,2,454.000000,227.00
181,obvd,38,7450.000000,196.05,deepxgb,2,505.000000,252.50
182,obvd,38,5736.000000,150.94,deepxgb,2,170.000000,85.00
183,obvd,38,4672.000000,122.94,deepxgb,2,188.000000,94.00
184,obvd,38,5363.000000,141.13,deepxgb,2,296.000000,148.00
185,obvd,38,5548.000000,146.00,deepxgb,2,113.000000,56.50
186,obvd,38,4991.000000,131.34,deepxgb,2,372.000000,186.00
187,obvd,38,5307.000000,139.65,deepxgb,2,82.000000,41.00
188,obvd,38,5224.000000,137.47,deepxgb,2,301.000000,150.50
189,obvd,38,5125.000000,134.86,deepxgb,2,244.000000,122.00
190,obvd,38,5277.000000,138.86,deepxgb,2,213.000000,106.50
191,obvd,38,6391.000000,168.18,deepxgb,2,267.000000,133.50
192,obvd,38,6496.000000,170.94,deepxgb,2,671.000000,335.50
193,obvd,38,5583.000000,146.92,deepxgb,2,74.000000,37.00
194,obvd,38,5650.000000,148.68,deepxgb,2,221.000000,110.50
195,obvd,38,4498.000000,118.36,deepxgb,2,199.000000,99.50
196,obvd,38,6236.000000,164.10,deepxgb,2,222.000000,111.00
197,obvd,38,5497.000000,144.65,deepxgb,2,386.000000,193.00
198,obvd,38,6490.000000,170.78,deepxgb,2,435.000000,217.50
199,obvd,38,5759.000000,151.55,deepxgb,2,461.000000,230.50
200,obvd,38,6154.000000,161.94,deepxgb,2,371.000000,185.50
201,obvd,38,6102.000000,160.57,deepxgb,2,333.000000,166.50
202,obvd,38,5493.000000,144.55,deepxgb,2,380.000000,190.00
203,obvd,38,6372.000000,167.68,deepxgb,2,336.000000,168.00
204,obvd,38,4954.000000,130.36,deepxgb,2,410.000000,205.00
205,obvd,38,7118.000000,187.31,deepxgb,2,349.000000,174.50
206,obvd,38,6340.000000,166.84,deepxgb,2,579.000000,289.50
207,obvd,38,5720.000000,150.52,deepxgb,2,183.000000,91.50
208,obvd,38,6047.000000,159.13,deepxgb,2,36.000000,18.00
209,obvd,38,6403.000000,168.50,deepxgb,2,241.000000,120.50
210,obvd,38,5451.000000,143.44,deepxgb,2,316.000000,158.00
211,obvd,38,5817.000000,153.07,deepxgb,2,284.000000,142.00
212,obvd,38,5610.000000,147.63,deepxgb,2,197.000000,98.50
213,obvd,38,7061.000000,185.81,deepxgb,2,537.000000,268.50
