trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvvwap,38,3929.000000,103.390000,deeplstm,2,283.000000,141.50
2,obvvwap,38,3607.000000,94.920000,deeplstm,2,256.000000,128.00
3,obvvwap,38,4237.000000,111.500000,deeplstm,2,337.000000,168.50
4,obvvwap,38,3208.000000,84.420000,deeplstm,2,300.000000,150.00
5,obvvwap,38,3423.000000,90.070000,deeplstm,2,351.000000,175.50
6,obvvwap,38,4533.000000,119.280000,deeplstm,2,249.000000,124.50
7,obvvwap,38,4817.000000,126.760000,deeplstm,2,193.000000,96.50
8,obvvwap,38,4067.000000,107.020000,deeplstm,2,367.000000,183.50
9,obvvwap,38,3263.000000,85.860000,deeplstm,2,291.000000,145.50
10,obvvwap,38,4643.000000,122.180000,deeplstm,2,257.000000,128.50
11,obvvwap,38,4699.000000,123.650000,deeplstm,2,216.000000,108.00
12,obvvwap,38,4974.000000,130.890000,deeplstm,2,247.000000,123.50
13,obvvwap,38,4498.000000,118.360000,deeplstm,2,235.000000,117.50
14,obvvwap,38,4088.000000,107.570000,deeplstm,2,222.000000,111.00
15,obvvwap,38,3851.000000,101.340000,deeplstm,2,421.000000,210.50
16,obvvwap,38,5854.000000,154.050000,deeplstm,2,383.000000,191.50
17,obvvwap,38,5433.000000,142.970000,deeplstm,2,272.000000,136.00
18,obvvwap,38,5274.000000,138.780000,deeplstm,2,185.000000,92.50
19,obvvwap,38,4215.000000,110.920000,deeplstm,2,299.000000,149.50
20,obvvwap,38,3130.000000,82.360000,deeplstm,2,243.000000,121.50
21,obvvwap,38,4029.000000,106.020000,deeplstm,2,248.000000,124.00
22,obvvwap,38,3197.000000,84.130000,deeplstm,2,177.000000,88.50
23,obvvwap,38,3325.000000,87.500000,deeplstm,2,249.000000,124.50
24,obvvwap,38,4263.000000,112.180000,deeplstm,2,264.000000,132.00
25,obvvwap,38,3711.000000,97.650000,deeplstm,2,176.000000,88.00
26,obvvwap,38,3230.000000,85.000000,deeplstm,2,316.000000,158.00
27,obvvwap,38,5547.000000,145.970000,deeplstm,2,631.000000,315.50
28,obvvwap,38,3374.000000,88.780000,deeplstm,2,201.000000,100.50
29,obvvwap,38,4481.000000,117.920000,deeplstm,2,457.000000,228.50
30,obvvwap,38,3259.000000,85.760000,deeplstm,2,202.000000,101.00
31,obvvwap,38,3600.000000,94.730000,deeplstm,2,342.000000,171.00
32,obvvwap,38,4925.000000,129.600000,deeplstm,2,191.000000,95.50
33,obvvwap,38,3642.000000,95.840000,deeplstm,2,192.000000,96.00
34,obvvwap,38,4409.000000,116.020000,deeplstm,2,251.000000,125.50
35,obvvwap,38,4092.000000,107.680000,deeplstm,2,197.000000,98.50
36,obvvwap,38,4011.000000,105.550000,deeplstm,2,303.000000,151.50
37,obvvwap,38,3941.000000,103.710000,deeplstm,2,302.000000,151.00
38,obvvwap,38,5611.000000,147.650000,deeplstm,2,352.000000,176.00
39,obvvwap,38,3251.000000,85.550000,deeplstm,2,242.000000,121.00
40,obvvwap,38,3830.000000,100.780000,deeplstm,2,231.000000,115.50
41,obvvwap,38,4590.000000,120.780000,deeplstm,2,443.000000,221.50
42,obvvwap,38,4665.000000,122.760000,deeplstm,2,727.000000,363.50
43,obvvwap,38,4834.000000,127.210000,deeplstm,2,411.000000,205.50
44,obvvwap,38,4405.000000,115.920000,deeplstm,2,437.000000,218.50
45,obvvwap,38,3617.000000,95.180000,deeplstm,2,326.000000,163.00
46,obvvwap,38,3412.000000,89.780000,deeplstm,2,347.000000,173.50
47,obvvwap,38,4151.000000,109.230000,deeplstm,2,289.000000,144.50
48,obvvwap,38,5574.000000,146.680000,deeplstm,2,216.000000,108.00
49,obvvwap,38,3808.000000,100.210000,deeplstm,2,181.000000,90.50
50,obvvwap,38,4910.000000,129.210000,deeplstm,2,369.000000,184.50
51,obvvwap,38,2844.000000,74.840000,deeplstm,2,236.000000,118.00
52,obvvwap,38,3557.000000,93.600000,deeplstm,2,297.000000,148.50
53,obvvwap,38,3937.000000,103.600000,deeplstm,2,323.000000,161.50
54,obvvwap,38,3476.000000,91.470000,deeplstm,2,355.000000,177.50
55,obvvwap,38,5752.000000,151.360000,deeplstm,2,270.000000,135.00
56,obvvwap,38,3030.000000,79.730000,deeplstm,2,181.000000,90.50
57,obvvwap,38,4141.000000,108.970000,deeplstm,2,193.000000,96.50
58,obvvwap,38,4693.000000,123.500000,deeplstm,2,606.000000,303.00
59,obvvwap,38,3996.000000,105.150000,deeplstm,2,249.000000,124.50
60,obvvwap,38,3297.000000,86.760000,deeplstm,2,177.000000,88.50
61,obvvwap,38,3775.000000,99.340000,deeplstm,2,244.000000,122.00
62,obvvwap,38,3461.000000,91.070000,deeplstm,2,184.000000,92.00
63,obvvwap,38,3978.000000,104.680000,deeplstm,2,327.000000,163.50
