trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,obvvwap,38,4030.000000,106.050000,deepxgb,2,167.000000,83.50
2,obvvwap,38,4383.000000,115.340000,deepxgb,2,192.000000,96.00
3,obvvwap,38,3444.000000,90.630000,deepxgb,2,326.000000,163.00
4,obvvwap,38,4189.000000,110.230000,deepxgb,2,185.000000,92.50
5,obvvwap,38,4767.000000,125.440000,deepxgb,2,188.000000,94.00
6,obvvwap,38,3887.000000,102.280000,deepxgb,2,410.000000,205.00
7,obvvwap,38,3221.000000,84.760000,deepxgb,2,251.000000,125.50
8,obvvwap,38,4773.000000,125.600000,deepxgb,2,430.000000,215.00
9,obvvwap,38,3646.000000,95.940000,deepxgb,2,385.000000,192.50
10,obvvwap,38,4616.000000,121.470000,deepxgb,2,199.000000,99.50
11,obvvwap,38,3254.000000,85.630000,deepxgb,2,239.000000,119.50
12,obvvwap,38,4141.000000,108.970000,deepxgb,2,557.000000,278.50
13,obvvwap,38,3740.000000,98.420000,deepxgb,2,228.000000,114.00
14,obvvwap,38,5534.000000,145.630000,deepxgb,2,357.000000,178.50
15,obvvwap,38,4023.000000,105.860000,deepxgb,2,335.000000,167.50
16,obvvwap,38,4302.000000,113.210000,deepxgb,2,431.000000,215.50
17,obvvwap,38,4790.000000,126.050000,deepxgb,2,228.000000,114.00
18,obvvwap,38,5460.000000,143.680000,deepxgb,2,354.000000,177.00
19,obvvwap,38,2878.000000,75.730000,deepxgb,2,224.000000,112.00
20,obvvwap,38,3399.000000,89.440000,deepxgb,2,330.000000,165.00
21,obvvwap,38,4416.000000,116.210000,deepxgb,2,625.000000,312.50
22,obvvwap,38,6629.000000,174.440000,deepxgb,2,168.000000,84.00
23,obvvwap,38,3865.000000,101.710000,deepxgb,2,270.000000,135.00
24,obvvwap,38,4618.000000,121.520000,deepxgb,2,297.000000,148.50
25,obvvwap,38,3281.000000,86.340000,deepxgb,2,170.000000,85.00
26,obvvwap,38,3478.000000,91.520000,deepxgb,2,273.000000,136.50
27,obvvwap,38,3759.000000,98.920000,deepxgb,2,286.000000,143.00
28,obvvwap,38,6029.000000,158.650000,deepxgb,2,280.000000,140.00
29,obvvwap,38,3747.000000,98.600000,deepxgb,2,113.000000,56.50
30,obvvwap,38,4012.000000,105.570000,deepxgb,2,327.000000,163.50
31,obvvwap,38,3419.000000,89.970000,deepxgb,2,289.000000,144.50
32,obvvwap,38,4994.000000,131.420000,deepxgb,2,306.000000,153.00
33,obvvwap,38,3632.000000,95.570000,deepxgb,2,287.000000,143.50
34,obvvwap,38,5157.000000,135.710000,deepxgb,2,222.000000,111.00
35,obvvwap,38,3227.000000,84.920000,deepxgb,2,169.000000,84.50
36,obvvwap,38,4842.000000,127.420000,deepxgb,2,183.000000,91.50
37,obvvwap,38,4180.000000,110.000000,deepxgb,2,287.000000,143.50
38,obvvwap,38,4456.000000,117.260000,deepxgb,2,304.000000,152.00
39,obvvwap,38,3171.000000,83.440000,deepxgb,2,139.000000,69.50
40,obvvwap,38,3823.000000,100.600000,deepxgb,2,321.000000,160.50
41,obvvwap,38,3992.000000,105.050000,deepxgb,2,143.000000,71.50
42,obvvwap,38,4014.000000,105.630000,deepxgb,2,410.000000,205.00
43,obvvwap,38,4954.000000,130.360000,deepxgb,2,366.000000,183.00
44,obvvwap,38,4765.000000,125.390000,deepxgb,2,251.000000,125.50
45,obvvwap,38,4587.000000,120.710000,deepxgb,2,559.000000,279.50
46,obvvwap,38,3509.000000,92.340000,deepxgb,2,290.000000,145.00
47,obvvwap,38,3816.000000,100.420000,deepxgb,2,189.000000,94.50
48,obvvwap,38,4715.000000,124.070000,deepxgb,2,380.000000,190.00
49,obvvwap,38,3953.000000,104.020000,deepxgb,2,305.000000,152.50
50,obvvwap,38,4939.000000,129.970000,deepxgb,2,599.000000,299.50
51,obvvwap,38,4010.000000,105.520000,deepxgb,2,358.000000,179.00
52,obvvwap,38,4292.000000,112.940000,deepxgb,2,250.000000,125.00
53,obvvwap,38,4195.000000,110.390000,deepxgb,2,539.000000,269.50
54,obvvwap,38,3608.000000,94.940000,deepxgb,2,157.000000,78.50
55,obvvwap,38,3699.000000,97.340000,deepxgb,2,116.000000,58.00
56,obvvwap,38,4130.000000,108.680000,deepxgb,2,409.000000,204.50
57,obvvwap,38,3901.000000,102.650000,deepxgb,2,256.000000,128.00
58,obvvwap,38,3959.000000,104.180000,deepxgb,2,432.000000,216.00
59,obvvwap,38,3696.000000,97.260000,deepxgb,2,337.000000,168.50
60,obvvwap,38,3857.000000,101.500000,deepxgb,2,161.000000,80.50
61,obvvwap,38,4243.000000,111.650000,deepxgb,2,279.000000,139.50
62,obvvwap,38,4357.000000,114.650000,deepxgb,2,619.000000,309.50
63,obvvwap,38,4085.000000,107.500000,deepxgb,2,128.000000,64.00
64,obvvwap,38,4390.000000,115.520000,deepxgb,2,289.000000,144.50
65,obvvwap,38,3325.000000,87.500000,deepxgb,2,326.000000,163.00
66,obvvwap,38,4771.000000,125.550000,deepxgb,2,159.000000,79.50
67,obvvwap,38,4190.000000,110.260000,deepxgb,2,174.000000,87.00
68,obvvwap,38,5033.000000,132.440000,deepxgb,2,95.000000,47.50
69,obvvwap,38,4008.000000,105.470000,deepxgb,2,208.000000,104.00
70,obvvwap,38,4176.000000,109.890000,deepxgb,2,262.000000,131.00
71,obvvwap,38,3824.000000,100.630000,deepxgb,2,332.000000,166.00
72,obvvwap,38,4047.000000,106.500000,deepxgb,2,203.000000,101.50
73,obvvwap,38,4547.000000,119.650000,deepxgb,2,117.000000,58.50
74,obvvwap,38,3995.000000,105.130000,deepxgb,2,497.000000,248.50
75,obvvwap,38,4041.000000,106.340000,deepxgb,2,465.000000,232.50
76,obvvwap,38,5198.000000,136.780000,deepxgb,2,192.000000,96.00
77,obvvwap,38,2856.000000,75.150000,deepxgb,2,203.000000,101.50
