trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsi,38,4208.000000,110.730000,deeplstm,2,183.000000,91.50
2,rsi,38,4693.000000,123.500000,deeplstm,2,220.000000,110.00
3,rsi,38,4605.000000,121.180000,deeplstm,2,172.000000,86.00
4,rsi,38,5530.000000,145.520000,deeplstm,2,150.000000,75.00
5,rsi,38,4456.000000,117.260000,deeplstm,2,262.000000,131.00
6,rsi,38,4594.000000,120.890000,deeplstm,2,136.000000,68.00
7,rsi,38,3724.000000,98.000000,deeplstm,2,81.000000,40.50
8,rsi,38,4470.000000,117.630000,deeplstm,2,166.000000,83.00
9,rsi,38,3654.000000,96.150000,deeplstm,2,138.000000,69.00
10,rsi,38,4553.000000,119.810000,deeplstm,2,115.000000,57.50
11,rsi,38,4908.000000,129.150000,deeplstm,2,316.000000,158.00
12,rsi,38,4708.000000,123.890000,deeplstm,2,453.000000,226.50
13,rsi,38,2865.000000,75.390000,deeplstm,2,187.000000,93.50
14,rsi,38,4556.000000,119.890000,deeplstm,2,140.000000,70.00
15,rsi,38,5417.000000,142.550000,deeplstm,2,386.000000,193.00
16,rsi,38,5981.000000,157.390000,deeplstm,2,318.000000,159.00
17,rsi,38,4541.000000,119.500000,deeplstm,2,550.000000,275.00
18,rsi,38,4408.000000,116.000000,deeplstm,2,161.000000,80.50
19,rsi,38,5841.000000,153.710000,deeplstm,2,132.000000,66.00
20,rsi,38,4330.000000,113.940000,deeplstm,2,182.000000,91.00
21,rsi,38,3932.000000,103.470000,deeplstm,2,491.000000,245.50
22,rsi,38,4530.000000,119.210000,deeplstm,2,289.000000,144.50
23,rsi,38,4793.000000,126.130000,deeplstm,2,241.000000,120.50
24,rsi,38,4280.000000,112.630000,deeplstm,2,238.000000,119.00
25,rsi,38,3693.000000,97.180000,deeplstm,2,127.000000,63.50
26,rsi,38,3901.000000,102.650000,deeplstm,2,179.000000,89.50
27,rsi,38,4601.000000,121.070000,deeplstm,2,184.000000,92.00
28,rsi,38,4823.000000,126.920000,deeplstm,2,469.000000,234.50
29,rsi,38,4629.000000,121.810000,deeplstm,2,198.000000,99.00
30,rsi,38,5023.000000,132.180000,deeplstm,2,185.000000,92.50
31,rsi,38,4945.000000,130.130000,deeplstm,2,348.000000,174.00
32,rsi,38,4344.000000,114.310000,deeplstm,2,135.000000,67.50
33,rsi,38,3673.000000,96.650000,deeplstm,2,201.000000,100.50
34,rsi,38,3935.000000,103.550000,deeplstm,2,132.000000,66.00
35,rsi,38,4979.000000,131.020000,deeplstm,2,324.000000,162.00
36,rsi,38,6100.000000,160.520000,deeplstm,2,352.000000,176.00
37,rsi,38,3798.000000,99.940000,deeplstm,2,296.000000,148.00
38,rsi,38,5099.000000,134.180000,deeplstm,2,252.000000,126.00
39,rsi,38,4751.000000,125.020000,deeplstm,2,174.000000,87.00
40,rsi,38,5041.000000,132.650000,deeplstm,2,136.000000,68.00
41,rsi,38,5183.000000,136.390000,deeplstm,2,144.000000,72.00
42,rsi,38,5380.000000,141.570000,deeplstm,2,400.000000,200.00
43,rsi,38,4107.000000,108.070000,deeplstm,2,173.000000,86.50
44,rsi,38,4258.000000,112.050000,deeplstm,2,91.000000,45.50
45,rsi,38,4769.000000,125.500000,deeplstm,2,268.000000,134.00
46,rsi,38,6103.000000,160.600000,deeplstm,2,239.000000,119.50
47,rsi,38,4259.000000,112.070000,deeplstm,2,151.000000,75.50
48,rsi,38,3580.000000,94.210000,deeplstm,2,354.000000,177.00
49,rsi,38,3930.000000,103.420000,deeplstm,2,266.000000,133.00
50,rsi,38,5410.000000,142.360000,deeplstm,2,207.000000,103.50
51,rsi,38,5054.000000,133.000000,deeplstm,2,325.000000,162.50
52,rsi,38,4895.000000,128.810000,deeplstm,2,585.000000,292.50
53,rsi,38,5196.000000,136.730000,deeplstm,2,374.000000,187.00
54,rsi,38,4581.000000,120.550000,deeplstm,2,229.000000,114.50
55,rsi,38,5039.000000,132.600000,deeplstm,2,276.000000,138.00
56,rsi,38,4143.000000,109.020000,deeplstm,2,88.000000,44.00
57,rsi,38,5524.000000,145.360000,deeplstm,2,468.000000,234.00
58,rsi,38,4677.000000,123.070000,deeplstm,2,254.000000,127.00
59,rsi,38,3730.000000,98.150000,deeplstm,2,242.000000,121.00
60,rsi,38,3893.000000,102.440000,deeplstm,2,177.000000,88.50
61,rsi,38,4242.000000,111.630000,deeplstm,2,197.000000,98.50
62,rsi,38,4744.000000,124.840000,deeplstm,2,180.000000,90.00
63,rsi,38,4211.000000,110.810000,deeplstm,2,152.000000,76.00
64,rsi,38,3075.000000,80.920000,deeplstm,2,153.000000,76.50
65,rsi,38,5046.000000,132.780000,deeplstm,2,248.000000,124.00
66,rsi,38,3940.000000,103.680000,deeplstm,2,146.000000,73.00
67,rsi,38,4106.000000,108.050000,deeplstm,2,317.000000,158.50
68,rsi,38,4540.000000,119.470000,deeplstm,2,282.000000,141.00
69,rsi,38,4740.000000,124.730000,deeplstm,2,322.000000,161.00
