trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsi,38,4218.000000,111.000000,deepxgb,2,360.000000,180.00
2,rsi,38,4829.000000,127.070000,deepxgb,2,231.000000,115.50
3,rsi,38,4561.000000,120.020000,deepxgb,2,147.000000,73.50
4,rsi,38,3404.000000,89.570000,deepxgb,2,319.000000,159.50
5,rsi,38,4737.000000,124.650000,deepxgb,2,433.000000,216.50
6,rsi,38,3715.000000,97.760000,deepxgb,2,176.000000,88.00
7,rsi,38,3997.000000,105.180000,deepxgb,2,442.000000,221.00
8,rsi,38,5362.000000,141.100000,deepxgb,2,142.000000,71.00
9,rsi,38,4913.000000,129.280000,deepxgb,2,204.000000,102.00
10,rsi,38,4167.000000,109.650000,deepxgb,2,506.000000,253.00
11,rsi,38,4213.000000,110.860000,deepxgb,2,334.000000,167.00
12,rsi,38,5084.000000,133.780000,deepxgb,2,178.000000,89.00
13,rsi,38,4810.000000,126.570000,deepxgb,2,354.000000,177.00
14,rsi,38,3534.000000,93.000000,deepxgb,2,360.000000,180.00
15,rsi,38,3745.000000,98.550000,deepxgb,2,509.000000,254.50
16,rsi,38,4756.000000,125.150000,deepxgb,2,478.000000,239.00
17,rsi,38,4249.000000,111.810000,deepxgb,2,306.000000,153.00
18,rsi,38,3333.000000,87.710000,deepxgb,2,459.000000,229.50
19,rsi,38,3339.000000,87.860000,deepxgb,2,244.000000,122.00
20,rsi,38,3721.000000,97.920000,deepxgb,2,148.000000,74.00
21,rsi,38,3255.000000,85.650000,deepxgb,2,163.000000,81.50
22,rsi,38,4518.000000,118.890000,deepxgb,2,453.000000,226.50
23,rsi,38,3553.000000,93.500000,deepxgb,2,232.000000,116.00
24,rsi,38,3770.000000,99.210000,deepxgb,2,194.000000,97.00
25,rsi,38,3371.000000,88.710000,deepxgb,2,320.000000,160.00
26,rsi,38,4038.000000,106.260000,deepxgb,2,273.000000,136.50
27,rsi,38,4374.000000,115.100000,deepxgb,2,203.000000,101.50
28,rsi,38,4528.000000,119.150000,deepxgb,2,262.000000,131.00
29,rsi,38,3251.000000,85.550000,deepxgb,2,247.000000,123.50
30,rsi,38,3808.000000,100.210000,deepxgb,2,240.000000,120.00
31,rsi,38,3717.000000,97.810000,deepxgb,2,672.000000,336.00
32,rsi,38,4895.000000,128.810000,deepxgb,2,353.000000,176.50
33,rsi,38,4567.000000,120.180000,deepxgb,2,321.000000,160.50
34,rsi,38,4147.000000,109.130000,deepxgb,2,170.000000,85.00
35,rsi,38,5179.000000,136.280000,deepxgb,2,492.000000,246.00
36,rsi,38,4495.000000,118.280000,deepxgb,2,276.000000,138.00
37,rsi,38,3683.000000,96.920000,deepxgb,2,668.000000,334.00
38,rsi,38,4980.000000,131.050000,deepxgb,2,432.000000,216.00
39,rsi,38,4730.000000,124.470000,deepxgb,2,332.000000,166.00
40,rsi,38,3523.000000,92.710000,deepxgb,2,519.000000,259.50
41,rsi,38,3507.000000,92.280000,deepxgb,2,120.000000,60.00
42,rsi,38,4002.000000,105.310000,deepxgb,2,431.000000,215.50
43,rsi,38,3803.000000,100.070000,deepxgb,2,102.000000,51.00
44,rsi,38,3464.000000,91.150000,deepxgb,2,265.000000,132.50
45,rsi,38,4791.000000,126.070000,deepxgb,2,462.000000,231.00
46,rsi,38,4329.000000,113.920000,deepxgb,2,281.000000,140.50
47,rsi,38,4876.000000,128.310000,deepxgb,2,191.000000,95.50
48,rsi,38,4400.000000,115.780000,deepxgb,2,213.000000,106.50
49,rsi,38,4226.000000,111.210000,deepxgb,2,337.000000,168.50
50,rsi,38,3966.000000,104.360000,deepxgb,2,394.000000,197.00
51,rsi,38,5192.000000,136.630000,deepxgb,2,240.000000,120.00
52,rsi,38,4323.000000,113.760000,deepxgb,2,228.000000,114.00
53,rsi,38,5358.000000,141.000000,deepxgb,2,303.000000,151.50
54,rsi,38,4159.000000,109.440000,deepxgb,2,311.000000,155.50
