trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsibb,38,4866.000000,128.050000,deeplstm,2,171.000000,85.50
2,rsibb,38,4622.000000,121.630000,deeplstm,2,259.000000,129.50
3,rsibb,38,4291.000000,112.920000,deeplstm,2,311.000000,155.50
4,rsibb,38,4662.000000,122.680000,deeplstm,2,238.000000,119.00
5,rsibb,38,3856.000000,101.470000,deeplstm,2,290.000000,145.00
6,rsibb,38,5973.000000,157.180000,deeplstm,2,342.000000,171.00
7,rsibb,38,4614.000000,121.420000,deeplstm,2,160.000000,80.00
8,rsibb,38,4871.000000,128.180000,deeplstm,2,553.000000,276.50
9,rsibb,38,5255.000000,138.280000,deeplstm,2,169.000000,84.50
10,rsibb,38,3555.000000,93.550000,deeplstm,2,267.000000,133.50
11,rsibb,38,5145.000000,135.390000,deeplstm,2,206.000000,103.00
12,rsibb,38,4572.000000,120.310000,deeplstm,2,192.000000,96.00
13,rsibb,38,3481.000000,91.600000,deeplstm,2,245.000000,122.50
14,rsibb,38,3828.000000,100.730000,deeplstm,2,381.000000,190.50
15,rsibb,38,4715.000000,124.070000,deeplstm,2,233.000000,116.50
16,rsibb,38,6505.000000,171.180000,deeplstm,2,157.000000,78.50
17,rsibb,38,4961.000000,130.550000,deeplstm,2,296.000000,148.00
18,rsibb,38,5547.000000,145.970000,deeplstm,2,163.000000,81.50
19,rsibb,38,4037.000000,106.230000,deeplstm,2,295.000000,147.50
20,rsibb,38,3523.000000,92.710000,deeplstm,2,123.000000,61.50
21,rsibb,38,3731.000000,98.180000,deeplstm,2,301.000000,150.50
22,rsibb,38,4328.000000,113.890000,deeplstm,2,237.000000,118.50
23,rsibb,38,4198.000000,110.470000,deeplstm,2,209.000000,104.50
24,rsibb,38,5126.000000,134.890000,deeplstm,2,357.000000,178.50
25,rsibb,38,4317.000000,113.600000,deeplstm,2,553.000000,276.50
26,rsibb,38,5271.000000,138.710000,deeplstm,2,224.000000,112.00
27,rsibb,38,4416.000000,116.210000,deeplstm,2,324.000000,162.00
28,rsibb,38,4801.000000,126.340000,deeplstm,2,504.000000,252.00
29,rsibb,38,4962.000000,130.570000,deeplstm,2,181.000000,90.50
30,rsibb,38,5494.000000,144.570000,deeplstm,2,133.000000,66.50
31,rsibb,38,4501.000000,118.440000,deeplstm,2,318.000000,159.00
32,rsibb,38,5319.000000,139.970000,deeplstm,2,183.000000,91.50
33,rsibb,38,4340.000000,114.210000,deeplstm,2,422.000000,211.00
34,rsibb,38,4698.000000,123.630000,deeplstm,2,163.000000,81.50
35,rsibb,38,5177.000000,136.230000,deeplstm,2,797.000000,398.50
36,rsibb,38,4912.000000,129.260000,deeplstm,2,166.000000,83.00
37,rsibb,38,4778.000000,125.730000,deeplstm,2,266.000000,133.00
38,rsibb,38,4428.000000,116.520000,deeplstm,2,228.000000,114.00
39,rsibb,38,4595.000000,120.920000,deeplstm,2,163.000000,81.50
40,rsibb,38,4702.000000,123.730000,deeplstm,2,261.000000,130.50
41,rsibb,38,3560.000000,93.680000,deeplstm,2,254.000000,127.00
42,rsibb,38,3551.000000,93.440000,deeplstm,2,374.000000,187.00
43,rsibb,38,5268.000000,138.630000,deeplstm,2,160.000000,80.00
44,rsibb,38,4050.000000,106.570000,deeplstm,2,170.000000,85.00
45,rsibb,38,3750.000000,98.680000,deeplstm,2,128.000000,64.00
46,rsibb,38,4644.000000,122.210000,deeplstm,2,268.000000,134.00
47,rsibb,38,4945.000000,130.130000,deeplstm,2,384.000000,192.00
