trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,rsibb,38,5383.000000,141.650000,deepxgb,2,317.000000,158.50
2,rsibb,38,3963.000000,104.280000,deepxgb,2,292.000000,146.00
3,rsibb,38,4774.000000,125.630000,deepxgb,2,424.000000,212.00
4,rsibb,38,5349.000000,140.760000,deepxgb,2,250.000000,125.00
5,rsibb,38,6149.000000,161.810000,deepxgb,2,553.000000,276.50
6,rsibb,38,4967.000000,130.710000,deepxgb,2,310.000000,155.00
7,rsibb,38,5482.000000,144.260000,deepxgb,2,267.000000,133.50
8,rsibb,38,5165.000000,135.920000,deepxgb,2,432.000000,216.00
9,rsibb,38,5003.000000,131.650000,deepxgb,2,933.000000,466.50
10,rsibb,38,5043.000000,132.710000,deepxgb,2,341.000000,170.50
11,rsibb,38,5143.000000,135.340000,deepxgb,2,537.000000,268.50
12,rsibb,38,4646.000000,122.260000,deepxgb,2,117.000000,58.50
13,rsibb,38,4608.000000,121.260000,deepxgb,2,208.000000,104.00
14,rsibb,38,5522.000000,145.310000,deepxgb,2,395.000000,197.50
15,rsibb,38,6049.000000,159.180000,deepxgb,2,432.000000,216.00
16,rsibb,38,4424.000000,116.420000,deepxgb,2,138.000000,69.00
17,rsibb,38,5043.000000,132.710000,deepxgb,2,103.000000,51.50
18,rsibb,38,5804.000000,152.730000,deepxgb,2,457.000000,228.50
19,rsibb,38,5140.000000,135.260000,deepxgb,2,462.000000,231.00
20,rsibb,38,4566.000000,120.150000,deepxgb,2,662.000000,331.00
21,rsibb,38,5141.000000,135.280000,deepxgb,2,291.000000,145.50
22,rsibb,38,3223.000000,84.810000,deepxgb,2,177.000000,88.50
23,rsibb,38,6171.000000,162.390000,deepxgb,2,845.000000,422.50
24,rsibb,38,3800.000000,100.000000,deepxgb,2,186.000000,93.00
25,rsibb,38,5192.000000,136.630000,deepxgb,2,89.000000,44.50
26,rsibb,38,5168.000000,136.000000,deepxgb,2,129.000000,64.50
27,rsibb,38,4821.000000,126.860000,deepxgb,2,450.000000,225.00
28,rsibb,38,4640.000000,122.100000,deepxgb,2,359.000000,179.50
29,rsibb,38,3576.000000,94.100000,deepxgb,2,279.000000,139.50
30,rsibb,38,4686.000000,123.310000,deepxgb,2,588.000000,294.00
31,rsibb,38,5114.000000,134.570000,deepxgb,2,445.000000,222.50
32,rsibb,38,6608.000000,173.890000,deepxgb,2,365.000000,182.50
33,rsibb,38,5153.000000,135.600000,deepxgb,2,293.000000,146.50
34,rsibb,38,4209.000000,110.760000,deepxgb,2,351.000000,175.50
35,rsibb,38,5098.000000,134.150000,deepxgb,2,149.000000,74.50
36,rsibb,38,5771.000000,151.860000,deepxgb,2,561.000000,280.50
37,rsibb,38,4080.000000,107.360000,deepxgb,2,462.000000,231.00
38,rsibb,38,5520.000000,145.260000,deepxgb,2,236.000000,118.00
39,rsibb,38,5427.000000,142.810000,deepxgb,2,439.000000,219.50
40,rsibb,38,3720.000000,97.890000,deepxgb,2,188.000000,94.00
41,rsibb,38,4907.000000,129.130000,deepxgb,2,343.000000,171.50
42,rsibb,38,5411.000000,142.390000,deepxgb,2,488.000000,244.00
43,rsibb,38,4467.000000,117.550000,deepxgb,2,141.000000,70.50
44,rsibb,38,5329.000000,140.230000,deepxgb,2,85.000000,42.50
45,rsibb,38,5585.000000,146.970000,deepxgb,2,174.000000,87.00
46,rsibb,38,4696.000000,123.570000,deepxgb,2,475.000000,237.50
47,rsibb,38,5889.000000,154.970000,deepxgb,2,507.000000,253.50
48,rsibb,38,4484.000000,118.000000,deepxgb,2,83.000000,41.50
49,rsibb,38,6376.000000,167.780000,deepxgb,2,318.000000,159.00
50,rsibb,38,4568.000000,120.210000,deepxgb,2,303.000000,151.50
51,rsibb,38,3963.000000,104.280000,deepxgb,2,269.000000,134.50
52,rsibb,38,5479.000000,144.180000,deepxgb,2,396.000000,198.00
53,rsibb,38,4497.000000,118.340000,deepxgb,2,125.000000,62.50
54,rsibb,38,4954.000000,130.360000,deepxgb,2,182.000000,91.00
55,rsibb,38,5756.000000,151.470000,deepxgb,2,546.000000,273.00
56,rsibb,38,4234.000000,111.420000,deepxgb,2,154.000000,77.00
57,rsibb,38,4263.000000,112.180000,deepxgb,2,175.000000,87.50
58,rsibb,38,4511.000000,118.710000,deepxgb,2,375.000000,187.50
59,rsibb,38,3972.000000,104.520000,deepxgb,2,362.000000,181.00
60,rsibb,38,5543.000000,145.860000,deepxgb,2,279.000000,139.50
61,rsibb,38,6792.000000,178.730000,deepxgb,2,222.000000,111.00
62,rsibb,38,5026.000000,132.260000,deepxgb,2,329.000000,164.50
63,rsibb,38,5934.000000,156.150000,deepxgb,2,103.000000,51.50
64,rsibb,38,4865.000000,128.020000,deepxgb,2,303.000000,151.50
65,rsibb,38,5506.000000,144.890000,deepxgb,2,411.000000,205.50
66,rsibb,38,3835.000000,100.920000,deepxgb,2,284.000000,142.00
67,rsibb,38,4510.000000,118.680000,deepxgb,2,444.000000,222.00
68,rsibb,38,4138.000000,108.890000,deepxgb,2,118.000000,59.00
69,rsibb,38,5195.000000,136.710000,deepxgb,2,821.000000,410.50
70,rsibb,38,5800.000000,152.630000,deepxgb,2,472.000000,236.00
71,rsibb,38,4875.000000,128.280000,deepxgb,2,226.000000,113.00
72,rsibb,38,5293.000000,139.280000,deepxgb,2,387.000000,193.50
73,rsibb,38,4314.000000,113.520000,deepxgb,2,216.000000,108.00
74,rsibb,38,5789.000000,152.340000,deepxgb,2,510.000000,255.00
75,rsibb,38,5122.000000,134.780000,deepxgb,2,489.000000,244.50
76,rsibb,38,4387.000000,115.440000,deepxgb,2,253.000000,126.50
77,rsibb,38,5280.000000,138.940000,deepxgb,2,314.000000,157.00
78,rsibb,38,4865.000000,128.020000,deepxgb,2,382.000000,191.00
79,rsibb,38,4542.000000,119.520000,deepxgb,2,354.000000,177.00
80,rsibb,38,4374.000000,115.100000,deepxgb,2,248.000000,124.00
81,rsibb,38,4669.000000,122.860000,deepxgb,2,388.000000,194.00
82,rsibb,38,4908.000000,129.150000,deepxgb,2,306.000000,153.00
83,rsibb,38,4776.000000,125.680000,deepxgb,2,49.000000,24.50
84,rsibb,38,4314.000000,113.520000,deepxgb,2,445.000000,222.50
85,rsibb,38,2830.000000,74.470000,deepxgb,2,192.000000,96.00
86,rsibb,38,4639.000000,122.070000,deepxgb,2,549.000000,274.50
87,rsibb,38,5738.000000,151.000000,deepxgb,2,652.000000,326.00
88,rsibb,38,5757.000000,151.500000,deepxgb,2,441.000000,220.50
89,rsibb,38,4929.000000,129.710000,deepxgb,2,660.000000,330.00
90,rsibb,38,5298.000000,139.420000,deepxgb,2,227.000000,113.50
91,rsibb,38,6031.000000,158.710000,deepxgb,2,316.000000,158.00
92,rsibb,38,4169.000000,109.710000,deepxgb,2,263.000000,131.50
93,rsibb,38,5272.000000,138.730000,deepxgb,2,216.000000,108.00
94,rsibb,38,5220.000000,137.360000,deepxgb,2,230.000000,115.00
95,rsibb,38,5469.000000,143.920000,deepxgb,2,403.000000,201.50
96,rsibb,38,6065.000000,159.600000,deepxgb,2,190.000000,95.00
97,rsibb,38,4570.000000,120.260000,deepxgb,2,439.000000,219.50
98,rsibb,38,3992.000000,105.050000,deepxgb,2,304.000000,152.00
99,rsibb,38,4450.000000,117.100000,deepxgb,2,259.000000,129.50
100,rsibb,38,3614.000000,95.100000,deepxgb,2,325.000000,162.50
101,rsibb,38,3572.000000,94.000000,deepxgb,2,264.000000,132.00
102,rsibb,38,5507.000000,144.920000,deepxgb,2,280.000000,140.00
