trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,shvr,38,2868.000000,75.470000,deeplstm,2,132.000000,66.00
2,shvr,38,4413.000000,116.130000,deeplstm,2,84.000000,42.00
3,shvr,38,3178.000000,83.630000,deeplstm,2,398.000000,199.00
4,shvr,38,3088.000000,81.260000,deeplstm,2,290.000000,145.00
5,shvr,38,5980.000000,157.360000,deeplstm,2,187.000000,93.50
6,shvr,38,7358.000000,193.630000,deeplstm,2,384.000000,192.00
7,shvr,38,9137.000000,240.440000,deeplstm,2,426.000000,213.00
8,shvr,38,4716.000000,124.100000,deeplstm,2,282.000000,141.00
9,shvr,38,7782.000000,204.780000,deeplstm,2,3297.000000,1648.50
10,shvr,38,3781.000000,99.500000,deeplstm,2,76.000000,38.00
11,shvr,38,4792.000000,126.100000,deeplstm,2,349.000000,174.50
12,shvr,38,3484.000000,91.680000,deeplstm,2,230.000000,115.00
13,shvr,38,5532.000000,145.570000,deeplstm,2,1419.000000,709.50
14,shvr,38,6704.000000,176.420000,deeplstm,2,263.000000,131.50
15,shvr,38,5082.000000,133.730000,deeplstm,2,343.000000,171.50
16,shvr,38,9674.000000,254.570000,deeplstm,2,583.000000,291.50
17,shvr,38,5790.000000,152.360000,deeplstm,2,492.000000,246.00
18,shvr,38,6019.000000,158.390000,deeplstm,2,270.000000,135.00
19,shvr,38,5927.000000,155.970000,deeplstm,2,2486.000000,1243.00
20,shvr,38,4563.000000,120.070000,deeplstm,2,382.000000,191.00
21,shvr,38,4319.000000,113.650000,deeplstm,2,326.000000,163.00
22,shvr,38,5225.000000,137.500000,deeplstm,2,291.000000,145.50
23,shvr,38,3790.000000,99.730000,deeplstm,2,69.000000,34.50
24,shvr,38,3043.000000,80.070000,deeplstm,2,101.000000,50.50
25,shvr,38,3725.000000,98.020000,deeplstm,2,186.000000,93.00
26,shvr,38,3915.000000,103.020000,deeplstm,2,431.000000,215.50
27,shvr,38,3753.000000,98.760000,deeplstm,2,417.000000,208.50
28,shvr,38,3995.000000,105.130000,deeplstm,2,110.000000,55.00
29,shvr,38,4487.000000,118.070000,deeplstm,2,405.000000,202.50
30,shvr,38,4144.000000,109.050000,deeplstm,2,84.000000,42.00
31,shvr,38,3315.000000,87.230000,deeplstm,2,335.000000,167.50
32,shvr,38,2190.000000,57.630000,deeplstm,2,112.000000,56.00
33,shvr,38,3138.000000,82.570000,deeplstm,2,149.000000,74.50
34,shvr,38,3344.000000,88.000000,deeplstm,2,359.000000,179.50
35,shvr,38,3701.000000,97.390000,deeplstm,2,401.000000,200.50
36,shvr,38,2952.000000,77.680000,deeplstm,2,258.000000,129.00
37,shvr,38,2729.000000,71.810000,deeplstm,2,73.000000,36.50
38,shvr,38,5500.000000,144.730000,deeplstm,2,264.000000,132.00
39,shvr,38,5494.000000,144.570000,deeplstm,2,204.000000,102.00
40,shvr,38,4521.000000,118.970000,deeplstm,2,995.000000,497.50
41,shvr,38,4271.000000,112.390000,deeplstm,2,400.000000,200.00
42,shvr,38,3841.000000,101.070000,deeplstm,2,308.000000,154.00
43,shvr,38,5453.000000,143.500000,deeplstm,2,505.000000,252.50
44,shvr,38,3925.000000,103.280000,deeplstm,2,398.000000,199.00
45,shvr,38,5874.000000,154.570000,deeplstm,2,527.000000,263.50
46,shvr,38,6440.000000,169.470000,deeplstm,2,465.000000,232.50
47,shvr,38,5469.000000,143.920000,deeplstm,2,194.000000,97.00
48,shvr,38,4550.000000,119.730000,deeplstm,2,915.000000,457.50
49,shvr,38,5280.000000,138.940000,deeplstm,2,423.000000,211.50
50,shvr,38,5436.000000,143.050000,deeplstm,2,659.000000,329.50
51,shvr,38,6834.000000,179.840000,deeplstm,2,236.000000,118.00
52,shvr,38,6387.000000,168.070000,deeplstm,2,746.000000,373.00
53,shvr,38,4128.000000,108.630000,deeplstm,2,191.000000,95.50
54,shvr,38,4330.000000,113.940000,deeplstm,2,125.000000,62.50
55,shvr,38,2231.000000,58.710000,deeplstm,2,254.000000,127.00
56,shvr,38,3305.000000,86.970000,deeplstm,2,99.000000,49.50
57,shvr,38,5483.000000,144.280000,deeplstm,2,294.000000,147.00
58,shvr,38,3518.000000,92.570000,deeplstm,2,144.000000,72.00
59,shvr,38,5228.000000,137.570000,deeplstm,2,489.000000,244.50
60,shvr,38,7158.000000,188.360000,deeplstm,2,553.000000,276.50
61,shvr,38,4164.000000,109.570000,deeplstm,2,315.000000,157.50
62,shvr,38,6831.000000,179.760000,deeplstm,2,353.000000,176.50
63,shvr,38,1594.000000,41.940000,deeplstm,2,97.000000,48.50
64,shvr,38,7310.000000,192.360000,deeplstm,2,606.000000,303.00
65,shvr,38,4448.000000,117.050000,deeplstm,2,528.000000,264.00
66,shvr,38,5681.000000,149.500000,deeplstm,2,620.000000,310.00
67,shvr,38,5082.000000,133.730000,deeplstm,2,154.000000,77.00
68,shvr,38,6401.000000,168.440000,deeplstm,2,521.000000,260.50
69,shvr,38,6255.000000,164.600000,deeplstm,2,216.000000,108.00
70,shvr,38,4263.000000,112.180000,deeplstm,2,271.000000,135.50
71,shvr,38,3479.000000,91.550000,deeplstm,2,148.000000,74.00
72,shvr,38,2583.000000,67.970000,deeplstm,2,165.000000,82.50
73,shvr,38,3850.000000,101.310000,deeplstm,2,391.000000,195.50
74,shvr,38,3433.000000,90.340000,deeplstm,2,189.000000,94.50
75,shvr,38,3623.000000,95.340000,deeplstm,2,172.000000,86.00
76,shvr,38,2672.000000,70.310000,deeplstm,2,223.000000,111.50
77,shvr,38,3274.000000,86.150000,deeplstm,2,451.000000,225.50
