trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,shvr,38,4578.000000,120.47,deepxgb,2,62.000000,31.00
2,shvr,38,4752.000000,125.05,deepxgb,2,464.000000,232.00
3,shvr,38,3639.000000,95.76,deepxgb,2,294.000000,147.00
4,shvr,38,3366.000000,88.57,deepxgb,2,156.000000,78.00
5,shvr,38,3534.000000,93.00,deepxgb,2,187.000000,93.50
6,shvr,38,3833.000000,100.86,deepxgb,2,249.000000,124.50
7,shvr,38,4041.000000,106.34,deepxgb,2,246.000000,123.00
8,shvr,38,2446.000000,64.36,deepxgb,2,60.000000,30.00
9,shvr,38,5313.000000,139.81,deepxgb,2,759.000000,379.50
10,shvr,38,3949.000000,103.92,deepxgb,2,390.000000,195.00
11,shvr,38,4879.000000,128.39,deepxgb,2,320.000000,160.00
12,shvr,38,3123.000000,82.18,deepxgb,2,180.000000,90.00
13,shvr,38,2759.000000,72.60,deepxgb,2,243.000000,121.50
14,shvr,38,4131.000000,108.71,deepxgb,2,402.000000,201.00
15,shvr,38,4040.000000,106.31,deepxgb,2,439.000000,219.50
16,shvr,38,4356.000000,114.63,deepxgb,2,393.000000,196.50
17,shvr,38,3717.000000,97.81,deepxgb,2,409.000000,204.50
18,shvr,38,3834.000000,100.89,deepxgb,2,476.000000,238.00
19,shvr,38,4297.000000,113.07,deepxgb,2,432.000000,216.00
20,shvr,38,3673.000000,96.65,deepxgb,2,218.000000,109.00
21,shvr,38,3471.000000,91.34,deepxgb,2,410.000000,205.00
22,shvr,38,4089.000000,107.60,deepxgb,2,26.000000,13.00
23,shvr,38,3725.000000,98.02,deepxgb,2,125.000000,62.50
24,shvr,38,2826.000000,74.36,deepxgb,2,135.000000,67.50
25,shvr,38,3620.000000,95.26,deepxgb,2,88.000000,44.00
26,shvr,38,3446.000000,90.68,deepxgb,2,64.000000,32.00
27,shvr,38,3592.000000,94.52,deepxgb,2,165.000000,82.50
28,shvr,38,5411.000000,142.39,deepxgb,2,147.000000,73.50
29,shvr,38,3656.000000,96.21,deepxgb,2,440.000000,220.00
30,shvr,38,4411.000000,116.07,deepxgb,2,333.000000,166.50
31,shvr,38,3455.000000,90.92,deepxgb,2,387.000000,193.50
32,shvr,38,5078.000000,133.63,deepxgb,2,470.000000,235.00
33,shvr,38,3887.000000,102.28,deepxgb,2,196.000000,98.00
34,shvr,38,5200.000000,136.84,deepxgb,2,317.000000,158.50
35,shvr,38,3652.000000,96.10,deepxgb,2,134.000000,67.00
36,shvr,38,4287.000000,112.81,deepxgb,2,272.000000,136.00
37,shvr,38,4739.000000,124.71,deepxgb,2,131.000000,65.50
38,shvr,38,4329.000000,113.92,deepxgb,2,155.000000,77.50
39,shvr,38,4177.000000,109.92,deepxgb,2,522.000000,261.00
40,shvr,38,3695.000000,97.23,deepxgb,2,230.000000,115.00
41,shvr,38,4133.000000,108.76,deepxgb,2,200.000000,100.00
42,shvr,38,5945.000000,156.44,deepxgb,2,312.000000,156.00
43,shvr,38,4250.000000,111.84,deepxgb,2,290.000000,145.00
44,shvr,38,4012.000000,105.57,deepxgb,2,607.000000,303.50
45,shvr,38,5119.000000,134.71,deepxgb,2,612.000000,306.00
46,shvr,38,5032.000000,132.42,deepxgb,2,212.000000,106.00
47,shvr,38,3840.000000,101.05,deepxgb,2,378.000000,189.00
48,shvr,38,4016.000000,105.68,deepxgb,2,251.000000,125.50
49,shvr,38,3937.000000,103.60,deepxgb,2,464.000000,232.00
50,shvr,38,4146.000000,109.10,deepxgb,2,39.000000,19.50
51,shvr,38,3854.000000,101.42,deepxgb,2,488.000000,244.00
52,shvr,38,3069.000000,80.76,deepxgb,2,256.000000,128.00
53,shvr,38,3287.000000,86.50,deepxgb,2,200.000000,100.00
54,shvr,38,4206.000000,110.68,deepxgb,2,135.000000,67.50
55,shvr,38,4016.000000,105.68,deepxgb,2,267.000000,133.50
56,shvr,38,2001.000000,52.65,deepxgb,2,156.000000,78.00
57,shvr,38,5221.000000,137.39,deepxgb,2,551.000000,275.50
58,shvr,38,4241.000000,111.60,deepxgb,2,166.000000,83.00
59,shvr,38,3461.000000,91.07,deepxgb,2,138.000000,69.00
60,shvr,38,2695.000000,70.92,deepxgb,2,215.000000,107.50
61,shvr,38,3953.000000,104.02,deepxgb,2,227.000000,113.50
62,shvr,38,2776.000000,73.05,deepxgb,2,301.000000,150.50
63,shvr,38,3565.000000,93.81,deepxgb,2,411.000000,205.50
64,shvr,38,2863.000000,75.34,deepxgb,2,350.000000,175.00
65,shvr,38,3398.000000,89.42,deepxgb,2,229.000000,114.50
66,shvr,38,4845.000000,127.50,deepxgb,2,413.000000,206.50
67,shvr,38,4278.000000,112.57,deepxgb,2,284.000000,142.00
68,shvr,38,4416.000000,116.21,deepxgb,2,623.000000,311.50
69,shvr,38,5071.000000,133.44,deepxgb,2,549.000000,274.50
70,shvr,38,4584.000000,120.63,deepxgb,2,351.000000,175.50
