trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,vwap,38,4897.000000,128.860000,deepxgb,2,417.000000,208.50
2,vwap,38,4546.000000,119.630000,deepxgb,2,394.000000,197.00
3,vwap,38,4656.000000,122.520000,deepxgb,2,369.000000,184.50
4,vwap,38,4747.000000,124.920000,deepxgb,2,142.000000,71.00
5,vwap,38,3870.000000,101.840000,deepxgb,2,143.000000,71.50
6,vwap,38,4505.000000,118.550000,deepxgb,2,341.000000,170.50
7,vwap,38,5283.000000,139.020000,deepxgb,2,469.000000,234.50
8,vwap,38,4646.000000,122.260000,deepxgb,2,395.000000,197.50
9,vwap,38,4004.000000,105.360000,deepxgb,2,436.000000,218.00
10,vwap,38,3150.000000,82.890000,deepxgb,2,145.000000,72.50
11,vwap,38,4630.000000,121.840000,deepxgb,2,227.000000,113.50
12,vwap,38,4400.000000,115.780000,deepxgb,2,138.000000,69.00
13,vwap,38,5016.000000,132.000000,deepxgb,2,317.000000,158.50
14,vwap,38,5414.000000,142.470000,deepxgb,2,216.000000,108.00
15,vwap,38,4597.000000,120.970000,deepxgb,2,535.000000,267.50
16,vwap,38,4364.000000,114.840000,deepxgb,2,299.000000,149.50
17,vwap,38,4430.000000,116.570000,deepxgb,2,371.000000,185.50
18,vwap,38,4994.000000,131.420000,deepxgb,2,200.000000,100.00
19,vwap,38,5379.000000,141.550000,deepxgb,2,428.000000,214.00
20,vwap,38,4234.000000,111.420000,deepxgb,2,167.000000,83.50
21,vwap,38,4304.000000,113.260000,deepxgb,2,52.000000,26.00
22,vwap,38,4163.000000,109.550000,deepxgb,2,143.000000,71.50
23,vwap,38,3985.000000,104.860000,deepxgb,2,405.000000,202.50
24,vwap,38,4270.000000,112.360000,deepxgb,2,314.000000,157.00
25,vwap,38,4799.000000,126.280000,deepxgb,2,367.000000,183.50
26,vwap,38,4011.000000,105.550000,deepxgb,2,116.000000,58.00
27,vwap,38,4804.000000,126.420000,deepxgb,2,378.000000,189.00
28,vwap,38,3897.000000,102.550000,deepxgb,2,306.000000,153.00
29,vwap,38,4517.000000,118.860000,deepxgb,2,233.000000,116.50
