trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zic,38,1926.000000,50.680000,deeplstm,2,97.000000,48.50
2,zic,38,1340.000000,35.260000,deeplstm,2,86.000000,43.00
3,zic,38,3660.000000,96.310000,deeplstm,2,189.000000,94.50
4,zic,38,2664.000000,70.100000,deeplstm,2,110.000000,55.00
5,zic,38,2427.000000,63.860000,deeplstm,2,221.000000,110.50
6,zic,38,2499.000000,65.760000,deeplstm,2,98.000000,49.00
7,zic,38,2017.000000,53.070000,deeplstm,2,171.000000,85.50
8,zic,38,2311.000000,60.810000,deeplstm,2,211.000000,105.50
9,zic,38,2555.000000,67.230000,deeplstm,2,202.000000,101.00
10,zic,38,2138.000000,56.260000,deeplstm,2,76.000000,38.00
11,zic,38,3060.000000,80.520000,deeplstm,2,129.000000,64.50
12,zic,38,2386.000000,62.780000,deeplstm,2,361.000000,180.50
13,zic,38,3018.000000,79.420000,deeplstm,2,70.000000,35.00
14,zic,38,2292.000000,60.310000,deeplstm,2,122.000000,61.00
15,zic,38,2024.000000,53.260000,deeplstm,2,218.000000,109.00
16,zic,38,2013.000000,52.970000,deeplstm,2,111.000000,55.50
17,zic,38,2629.000000,69.180000,deeplstm,2,122.000000,61.00
18,zic,38,3298.000000,86.780000,deeplstm,2,296.000000,148.00
19,zic,38,2192.000000,57.680000,deeplstm,2,147.000000,73.50
20,zic,38,1914.000000,50.360000,deeplstm,2,98.000000,49.00
21,zic,38,2591.000000,68.180000,deeplstm,2,91.000000,45.50
22,zic,38,2454.000000,64.570000,deeplstm,2,163.000000,81.50
23,zic,38,3074.000000,80.890000,deeplstm,2,89.000000,44.50
24,zic,38,2040.000000,53.680000,deeplstm,2,125.000000,62.50
25,zic,38,1310.000000,34.470000,deeplstm,2,141.000000,70.50
26,zic,38,2246.000000,59.100000,deeplstm,2,70.000000,35.00
27,zic,38,2477.000000,65.180000,deeplstm,2,142.000000,71.00
28,zic,38,3157.000000,83.070000,deeplstm,2,231.000000,115.50
29,zic,38,1854.000000,48.780000,deeplstm,2,81.000000,40.50
30,zic,38,2154.000000,56.680000,deeplstm,2,155.000000,77.50
31,zic,38,1208.000000,31.780000,deeplstm,2,158.000000,79.00
32,zic,38,1580.000000,41.570000,deeplstm,2,106.000000,53.00
33,zic,38,1523.000000,40.070000,deeplstm,2,203.000000,101.50
34,zic,38,1332.000000,35.050000,deeplstm,2,256.000000,128.00
35,zic,38,2097.000000,55.180000,deeplstm,2,241.000000,120.50
36,zic,38,1963.000000,51.650000,deeplstm,2,88.000000,44.00
37,zic,38,2531.000000,66.600000,deeplstm,2,75.000000,37.50
38,zic,38,3256.000000,85.680000,deeplstm,2,339.000000,169.50
39,zic,38,1540.000000,40.520000,deeplstm,2,72.000000,36.00
40,zic,38,1925.000000,50.650000,deeplstm,2,131.000000,65.50
41,zic,38,2449.000000,64.440000,deeplstm,2,296.000000,148.00
42,zic,38,2607.000000,68.600000,deeplstm,2,241.000000,120.50
43,zic,38,1423.000000,37.440000,deeplstm,2,100.000000,50.00
44,zic,38,2051.000000,53.970000,deeplstm,2,103.000000,51.50
45,zic,38,2477.000000,65.180000,deeplstm,2,207.000000,103.50
46,zic,38,2243.000000,59.020000,deeplstm,2,366.000000,183.00
47,zic,38,3282.000000,86.360000,deeplstm,2,252.000000,126.00
48,zic,38,2467.000000,64.920000,deeplstm,2,240.000000,120.00
49,zic,38,2861.000000,75.280000,deeplstm,2,112.000000,56.00
50,zic,38,2154.000000,56.680000,deeplstm,2,140.000000,70.00
51,zic,38,1974.000000,51.940000,deeplstm,2,218.000000,109.00
52,zic,38,2563.000000,67.440000,deeplstm,2,97.000000,48.50
53,zic,38,1456.000000,38.310000,deeplstm,2,142.000000,71.00
54,zic,38,2120.000000,55.780000,deeplstm,2,260.000000,130.00
55,zic,38,3068.000000,80.730000,deeplstm,2,398.000000,199.00
56,zic,38,1549.000000,40.760000,deeplstm,2,70.000000,35.00
57,zic,38,1161.000000,30.550000,deeplstm,2,70.000000,35.00
58,zic,38,2013.000000,52.970000,deeplstm,2,96.000000,48.00
59,zic,38,1557.000000,40.970000,deeplstm,2,169.000000,84.50
60,zic,38,1154.000000,30.360000,deeplstm,2,164.000000,82.00
61,zic,38,2438.000000,64.150000,deeplstm,2,92.000000,46.00
62,zic,38,2400.000000,63.150000,deeplstm,2,265.000000,132.50
63,zic,38,2001.000000,52.650000,deeplstm,2,134.000000,67.00
64,zic,38,2642.000000,69.520000,deeplstm,2,164.000000,82.00
65,zic,38,2240.000000,58.940000,deeplstm,2,348.000000,174.00
66,zic,38,1255.000000,33.020000,deeplstm,2,145.000000,72.50
67,zic,38,1735.000000,45.650000,deeplstm,2,209.000000,104.50
