trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zic,38,1393.000000,36.65,deepxgb,2,337.000000,168.50
2,zic,38,2228.000000,58.63,deepxgb,2,110.000000,55.00
3,zic,38,1546.000000,40.68,deepxgb,2,139.000000,69.50
4,zic,38,1008.000000,26.52,deepxgb,2,358.000000,179.00
5,zic,38,2299.000000,60.50,deepxgb,2,21.000000,10.50
6,zic,38,1431.000000,37.65,deepxgb,2,185.000000,92.50
7,zic,38,2505.000000,65.92,deepxgb,2,90.000000,45.00
8,zic,38,1360.000000,35.78,deepxgb,2,215.000000,107.50
9,zic,38,2117.000000,55.71,deepxgb,2,213.000000,106.50
10,zic,38,2047.000000,53.86,deepxgb,2,203.000000,101.50
11,zic,38,1720.000000,45.26,deepxgb,2,245.000000,122.50
12,zic,38,1603.000000,42.18,deepxgb,2,292.000000,146.00
13,zic,38,2363.000000,62.18,deepxgb,2,598.000000,299.00
14,zic,38,1795.000000,47.23,deepxgb,2,127.000000,63.50
15,zic,38,1815.000000,47.76,deepxgb,2,169.000000,84.50
16,zic,38,2210.000000,58.15,deepxgb,2,208.000000,104.00
17,zic,38,2488.000000,65.47,deepxgb,2,573.000000,286.50
18,zic,38,1825.000000,48.02,deepxgb,2,552.000000,276.00
19,zic,38,1885.000000,49.60,deepxgb,2,98.000000,49.00
20,zic,38,2283.000000,60.07,deepxgb,2,352.000000,176.00
21,zic,38,2359.000000,62.07,deepxgb,2,249.000000,124.50
22,zic,38,2373.000000,62.44,deepxgb,2,305.000000,152.50
23,zic,38,1618.000000,42.57,deepxgb,2,434.000000,217.00
24,zic,38,1580.000000,41.57,deepxgb,2,207.000000,103.50
25,zic,38,2468.000000,64.94,deepxgb,2,81.000000,40.50
26,zic,38,2420.000000,63.68,deepxgb,2,209.000000,104.50
27,zic,38,1850.000000,48.68,deepxgb,2,247.000000,123.50
28,zic,38,2306.000000,60.68,deepxgb,2,296.000000,148.00
29,zic,38,2805.000000,73.81,deepxgb,2,165.000000,82.50
30,zic,38,1344.000000,35.36,deepxgb,2,368.000000,184.00
31,zic,38,2135.000000,56.18,deepxgb,2,182.000000,91.00
32,zic,38,2685.000000,70.65,deepxgb,2,176.000000,88.00
33,zic,38,1985.000000,52.23,deepxgb,2,183.000000,91.50
34,zic,38,2445.000000,64.34,deepxgb,2,931.000000,465.50
35,zic,38,1823.000000,47.97,deepxgb,2,323.000000,161.50
36,zic,38,2083.000000,54.81,deepxgb,2,158.000000,79.00
37,zic,38,1926.000000,50.68,deepxgb,2,274.000000,137.00
38,zic,38,1421.000000,37.39,deepxgb,2,467.000000,233.50
39,zic,38,2097.000000,55.18,deepxgb,2,133.000000,66.50
40,zic,38,2383.000000,62.71,deepxgb,2,346.000000,173.00
41,zic,38,2195.000000,57.76,deepxgb,2,171.000000,85.50
42,zic,38,1166.000000,30.68,deepxgb,2,136.000000,68.00
43,zic,38,1366.000000,35.94,deepxgb,2,338.000000,169.00
44,zic,38,1897.000000,49.92,deepxgb,2,218.000000,109.00
45,zic,38,1646.000000,43.31,deepxgb,2,243.000000,121.50
46,zic,38,1026.000000,27.00,deepxgb,2,612.000000,306.00
47,zic,38,1213.000000,31.92,deepxgb,2,345.000000,172.50
48,zic,38,1744.000000,45.89,deepxgb,2,462.000000,231.00
49,zic,38,1325.000000,34.86,deepxgb,2,44.000000,22.00
50,zic,38,1694.000000,44.57,deepxgb,2,83.000000,41.50
51,zic,38,2764.000000,72.73,deepxgb,2,618.000000,309.00
52,zic,38,1008.000000,26.52,deepxgb,2,160.000000,80.00
53,zic,38,1867.000000,49.13,deepxgb,2,397.000000,198.50
54,zic,38,2383.000000,62.71,deepxgb,2,518.000000,259.00
55,zic,38,1628.000000,42.84,deepxgb,2,158.000000,79.00
56,zic,38,1522.000000,40.05,deepxgb,2,432.000000,216.00
57,zic,38,2628.000000,69.15,deepxgb,2,291.000000,145.50
58,zic,38,1259.000000,33.13,deepxgb,2,263.000000,131.50
59,zic,38,1838.000000,48.36,deepxgb,2,150.000000,75.00
60,zic,38,2360.000000,62.10,deepxgb,2,278.000000,139.00
61,zic,38,2037.000000,53.60,deepxgb,2,34.000000,17.00
62,zic,38,2234.000000,58.78,deepxgb,2,151.000000,75.50
63,zic,38,1263.000000,33.23,deepxgb,2,379.000000,189.50
64,zic,38,1577.000000,41.50,deepxgb,2,255.000000,127.50
65,zic,38,2229.000000,58.65,deepxgb,2,332.000000,166.00
66,zic,38,1906.000000,50.15,deepxgb,2,445.000000,222.50
67,zic,38,1866.000000,49.10,deepxgb,2,266.000000,133.00
68,zic,38,2345.000000,61.71,deepxgb,2,183.000000,91.50
69,zic,38,1668.000000,43.89,deepxgb,2,473.000000,236.50
70,zic,38,1407.000000,37.02,deepxgb,2,111.000000,55.50
71,zic,38,1805.000000,47.50,deepxgb,2,392.000000,196.00
72,zic,38,2558.000000,67.31,deepxgb,2,212.000000,106.00
73,zic,38,1451.000000,38.18,deepxgb,2,229.000000,114.50
74,zic,38,1026.000000,27.00,deepxgb,2,124.000000,62.00
75,zic,38,2238.000000,58.89,deepxgb,2,489.000000,244.50
76,zic,38,2487.000000,65.44,deepxgb,2,282.000000,141.00
77,zic,38,1367.000000,35.97,deepxgb,2,253.000000,126.50
78,zic,38,1361.000000,35.81,deepxgb,2,181.000000,90.50
79,zic,38,1931.000000,50.81,deepxgb,2,324.000000,162.00
80,zic,38,1615.000000,42.50,deepxgb,2,268.000000,134.00
81,zic,38,1510.000000,39.73,deepxgb,2,227.000000,113.50
82,zic,38,1752.000000,46.10,deepxgb,2,447.000000,223.50
83,zic,38,2151.000000,56.60,deepxgb,2,0,0
84,zic,38,1827.000000,48.07,deepxgb,2,325.000000,162.50
85,zic,38,1360.000000,35.78,deepxgb,2,113.000000,56.50
86,zic,38,2682.000000,70.57,deepxgb,2,271.000000,135.50
87,zic,38,1687.000000,44.39,deepxgb,2,48.000000,24.00
88,zic,38,2070.000000,54.47,deepxgb,2,231.000000,115.50
89,zic,38,2078.000000,54.68,deepxgb,2,83.000000,41.50
90,zic,38,2443.000000,64.28,deepxgb,2,82.000000,41.00
91,zic,38,2247.000000,59.13,deepxgb,2,469.000000,234.50
92,zic,38,1829.000000,48.13,deepxgb,2,112.000000,56.00
93,zic,38,1911.000000,50.28,deepxgb,2,277.000000,138.50
94,zic,38,1482.000000,39.00,deepxgb,2,232.000000,116.00
95,zic,38,1863.000000,49.02,deepxgb,2,397.000000,198.50
96,zic,38,1975.000000,51.97,deepxgb,2,227.000000,113.50
97,zic,38,1532.000000,40.31,deepxgb,2,488.000000,244.00
98,zic,38,1660.000000,43.68,deepxgb,2,321.000000,160.50
99,zic,38,1270.000000,33.42,deepxgb,2,197.000000,98.50
100,zic,38,1933.000000,50.86,deepxgb,2,89.000000,44.50
101,zic,38,2530.000000,66.57,deepxgb,2,473.000000,236.50
102,zic,38,2235.000000,58.81,deepxgb,2,384.000000,192.00
103,zic,38,2017.000000,53.07,deepxgb,2,262.000000,131.00
104,zic,38,1667.000000,43.86,deepxgb,2,87.000000,43.50
105,zic,38,2037.000000,53.60,deepxgb,2,244.000000,122.00
106,zic,38,2050.000000,53.94,deepxgb,2,178.000000,89.00
107,zic,38,1820.000000,47.89,deepxgb,2,114.000000,57.00
108,zic,38,1470.000000,38.68,deepxgb,2,164.000000,82.00
109,zic,38,3344.000000,88.00,deepxgb,2,38.000000,19.00
110,zic,38,2747.000000,72.28,deepxgb,2,199.000000,99.50
111,zic,38,3427.000000,90.18,deepxgb,2,370.000000,185.00
112,zic,38,1686.000000,44.36,deepxgb,2,119.000000,59.50
113,zic,38,1902.000000,50.05,deepxgb,2,490.000000,245.00
114,zic,38,1997.000000,52.55,deepxgb,2,119.000000,59.50
115,zic,38,1796.000000,47.26,deepxgb,2,443.000000,221.50
116,zic,38,2020.000000,53.15,deepxgb,2,230.000000,115.00
117,zic,38,1535.000000,40.39,deepxgb,2,163.000000,81.50
118,zic,38,2325.000000,61.18,deepxgb,2,180.000000,90.00
119,zic,38,1456.000000,38.31,deepxgb,2,316.000000,158.00
120,zic,38,2962.000000,77.94,deepxgb,2,340.000000,170.00
121,zic,38,2103.000000,55.34,deepxgb,2,163.000000,81.50
122,zic,38,1393.000000,36.65,deepxgb,2,227.000000,113.50
123,zic,38,2249.000000,59.18,deepxgb,2,366.000000,183.00
124,zic,38,2404.000000,63.26,deepxgb,2,431.000000,215.50
125,zic,38,1848.000000,48.63,deepxgb,2,284.000000,142.00
126,zic,38,2085.000000,54.86,deepxgb,2,116.000000,58.00
127,zic,38,1210.000000,31.84,deepxgb,2,250.000000,125.00
128,zic,38,1398.000000,36.78,deepxgb,2,368.000000,184.00
129,zic,38,1350.000000,35.52,deepxgb,2,405.000000,202.50
130,zic,38,2170.000000,57.10,deepxgb,2,257.000000,128.50
131,zic,38,1543.000000,40.60,deepxgb,2,290.000000,145.00
132,zic,38,1671.000000,43.97,deepxgb,2,632.000000,316.00
133,zic,38,1963.000000,51.65,deepxgb,2,117.000000,58.50
134,zic,38,2291.000000,60.28,deepxgb,2,433.000000,216.50
135,zic,38,2204.000000,58.00,deepxgb,2,519.000000,259.50
136,zic,38,1903.000000,50.07,deepxgb,2,349.000000,174.50
137,zic,38,2327.000000,61.23,deepxgb,2,390.000000,195.00
138,zic,38,1841.000000,48.44,deepxgb,2,258.000000,129.00
139,zic,38,1807.000000,47.55,deepxgb,2,3.000000,1.50
140,zic,38,2235.000000,58.81,deepxgb,2,363.000000,181.50
141,zic,38,1192.000000,31.36,deepxgb,2,163.000000,81.50
142,zic,38,1571.000000,41.34,deepxgb,2,251.000000,125.50
143,zic,38,1440.000000,37.89,deepxgb,2,356.000000,178.00
144,zic,38,2028.000000,53.36,deepxgb,2,275.000000,137.50
145,zic,38,1372.000000,36.10,deepxgb,2,250.000000,125.00
146,zic,38,1989.000000,52.34,deepxgb,2,219.000000,109.50
147,zic,38,2153.000000,56.65,deepxgb,2,20.000000,10.00
148,zic,38,1653.000000,43.50,deepxgb,2,78.000000,39.00
149,zic,38,1969.000000,51.81,deepxgb,2,55.000000,27.50
150,zic,38,1809.000000,47.60,deepxgb,2,401.000000,200.50
151,zic,38,1089.000000,28.65,deepxgb,2,73.000000,36.50
152,zic,38,1619.000000,42.60,deepxgb,2,85.000000,42.50
153,zic,38,2009.000000,52.86,deepxgb,2,314.000000,157.00
154,zic,38,2323.000000,61.13,deepxgb,2,552.000000,276.00
155,zic,38,2590.000000,68.15,deepxgb,2,225.000000,112.50
156,zic,38,1916.000000,50.42,deepxgb,2,350.000000,175.00
157,zic,38,2414.000000,63.52,deepxgb,2,259.000000,129.50
158,zic,38,1360.000000,35.78,deepxgb,2,349.000000,174.50
159,zic,38,2261.000000,59.50,deepxgb,2,168.000000,84.00
160,zic,38,1760.000000,46.31,deepxgb,2,192.000000,96.00
161,zic,38,1990.000000,52.36,deepxgb,2,275.000000,137.50
162,zic,38,2448.000000,64.42,deepxgb,2,428.000000,214.00
163,zic,38,1875.000000,49.34,deepxgb,2,451.000000,225.50
164,zic,38,1354.000000,35.63,deepxgb,2,5.000000,2.50
165,zic,38,2390.000000,62.89,deepxgb,2,257.000000,128.50
166,zic,38,2637.000000,69.39,deepxgb,2,510.000000,255.00
167,zic,38,2542.000000,66.89,deepxgb,2,58.000000,29.00
168,zic,38,2178.000000,57.31,deepxgb,2,552.000000,276.00
169,zic,38,1890.000000,49.73,deepxgb,2,183.000000,91.50
170,zic,38,1639.000000,43.13,deepxgb,2,150.000000,75.00
171,zic,38,1758.000000,46.26,deepxgb,2,185.000000,92.50
172,zic,38,1671.000000,43.97,deepxgb,2,400.000000,200.00
173,zic,38,2235.000000,58.81,deepxgb,2,96.000000,48.00
