trial,trader_type_1,num_traders_1,total_profit_1,avg_profit_per_trader_1,trader_type_2,num_traders_2,total_profit_2,avg_profit_per_trader_2
1,zip,38,3666.000000,96.47,deepxgb,2,214.000000,107.00
2,zip,38,3700.000000,97.36,deepxgb,2,142.000000,71.00
3,zip,38,2695.000000,70.92,deepxgb,2,89.000000,44.50
4,zip,38,4456.000000,117.26,deepxgb,2,276.000000,138.00
5,zip,38,4509.000000,118.65,deepxgb,2,220.000000,110.00
6,zip,38,3991.000000,105.02,deepxgb,2,167.000000,83.50
7,zip,38,3494.000000,91.94,deepxgb,2,250.000000,125.00
8,zip,38,4107.000000,108.07,deepxgb,2,288.000000,144.00
9,zip,38,3787.000000,99.65,deepxgb,2,143.000000,71.50
10,zip,38,3789.000000,99.71,deepxgb,2,184.000000,92.00
11,zip,38,3883.000000,102.18,deepxgb,2,484.000000,242.00
12,zip,38,4488.000000,118.10,deepxgb,2,166.000000,83.00
13,zip,38,3593.000000,94.55,deepxgb,2,383.000000,191.50
14,zip,38,4269.000000,112.34,deepxgb,2,143.000000,71.50
15,zip,38,3593.000000,94.55,deepxgb,2,256.000000,128.00
16,zip,38,4483.000000,117.97,deepxgb,2,184.000000,92.00
17,zip,38,3376.000000,88.84,deepxgb,2,56.000000,28.00
18,zip,38,3438.000000,90.47,deepxgb,2,201.000000,100.50
19,zip,38,3391.000000,89.23,deepxgb,2,270.000000,135.00
20,zip,38,3135.000000,82.50,deepxgb,2,225.000000,112.50
21,zip,38,3892.000000,102.42,deepxgb,2,163.000000,81.50
22,zip,38,3077.000000,80.97,deepxgb,2,165.000000,82.50
23,zip,38,4124.000000,108.52,deepxgb,2,305.000000,152.50
24,zip,38,3609.000000,94.97,deepxgb,2,181.000000,90.50
25,zip,38,3655.000000,96.18,deepxgb,2,400.000000,200.00
26,zip,38,3742.000000,98.47,deepxgb,2,269.000000,134.50
27,zip,38,3413.000000,89.81,deepxgb,2,82.000000,41.00
28,zip,38,4214.000000,110.89,deepxgb,2,9.000000,4.50
29,zip,38,3432.000000,90.31,deepxgb,2,304.000000,152.00
30,zip,38,5202.000000,136.89,deepxgb,2,10.000000,5.00
31,zip,38,3799.000000,99.97,deepxgb,2,231.000000,115.50
32,zip,38,2805.000000,73.81,deepxgb,2,121.000000,60.50
33,zip,38,4108.000000,108.10,deepxgb,2,129.000000,64.50
34,zip,38,4521.000000,118.97,deepxgb,2,303.000000,151.50
35,zip,38,3564.000000,93.78,deepxgb,2,320.000000,160.00
